assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,293.97852,2760.294,184.29976,94.0,BombsiteB,xertioN,76561198193174134,ct,146.58057,2961.811,161.53127,77,BombsiteB,Brollan,76561198138828475,ct,false,false,ct,20.967375,0,29,0,false,chest,false,false,0,0,t,false,6946,854.72076,2539.1145,140.0843,12,BombsiteB,flameZ,76561197978835160,t,usp_silencer,17293822569135734845,37193573977,"",0,1
false,,,,,,,,,716.5576,2248.5964,136.03139,62,Banana,apEX,76561197989744167,t,false,false,ct,14.876597,0,99,0,true,head,false,false,0,0,t,false,7062,789.9074,2834.0234,143.47398,89,BombsiteB,Spinx,76561198063336407,ct,glock,17293822569165815812,22270099526,"",0,1
false,,,,,,,,,794.7251,2626.9048,136.03148,66,BombsiteB,mezii,76561197973140692,t,false,false,ct,20.576242,0,92,0,true,head,false,false,0,0,t,false,7078,66.07632,2977.6428,161.03125,31,BombsiteB,Brollan,76561198138828475,ct,glock,17293822569125838852,40458558825,"",0,1
false,789.9074,2834.0234,143.47398,0.0,BombsiteB,Spinx,76561198063336407,ct,298.91656,2815.8826,184.29976,50,BombsiteB,xertioN,76561198193174134,ct,false,false,ct,13.608012,0,118,0,true,head,false,false,0,0,t,false,7112,802.9897,2640.8179,136.0315,66,BombsiteB,mezii,76561197973140692,t,elite,17293822569128656898,35652236039,"",0,1
false,789.9074,2834.0234,143.47398,0.0,BombsiteB,Spinx,76561198063336407,ct,275.86343,2779.7925,184.29976,24,BombsiteB,xertioN,76561198193174134,ct,false,false,ct,12.697684,0,120,0,true,head,false,false,0,0,t,false,7210,690.265,2501.8877,142.88748,62,BombsiteB,apEX,76561197989744167,t,elite,17293822569128656898,35652236039,"",0,1
false,,,,,,,,,282.17065,2789.1042,184.29976,11,BombsiteB,xertioN,76561198193174134,ct,false,false,ct,4.261986,0,141,0,true,head,false,false,0,0,t,false,7312,445.80588,2827.7,193.03125,100,BombsiteB,ropz,76561197991272318,t,elite,17293822569128656898,35652236039,"",0,1
false,312.7305,2776.649,184.29976,11.0,BombsiteB,xertioN,76561198193174134,ct,2011.2031,2810.771,124.031845,100,CTSpawn,torzsi,76561198355739212,ct,false,false,ct,35.736485,0,107,0,true,head,false,false,0,0,t,true,7472,604.5429,2665.9517,157.75754,48,BombsiteB,ZywOo,76561198113666193,t,usp_silencer,17293822569135734845,36583624212,"",0,1
false,1518.0775,1233.0956,175.7402,100.0,Arch,torzsi,76561198355739212,ct,1286.3064,797.8846,141.79253,88,TopofMid,Spinx,76561198063336407,ct,false,false,ct,6.404862,0,97,0,true,head,false,false,0,0,t,false,12620,1427.191,590.6969,117.80193,65,TopofMid,ZywOo,76561198113666193,t,mp9,17293822569170665506,24238800001,"",0,2
false,,,,,,,,,1446.4816,474.7083,120.00048,100,TopofMid,mezii,76561197973140692,t,false,false,ct,9.128391,28,50,0,true,head,false,false,0,0,t,false,12652,1281.247,793.75006,141.5314,3,TopofMid,Spinx,76561198063336407,ct,glock,17293822569125838852,40458558825,"",0,2
false,,,,,,,,,1524.7618,1232.3317,175.71269,62,Arch,torzsi,76561198355739212,ct,false,false,ct,23.947567,0,33,0,false,chest,false,false,0,0,t,true,12686,1330.5538,310.9737,128.03125,17,TopofMid,ropz,76561197991272318,t,m4a1_silencer,17293822569169354812,26497449213,"",0,2
false,,,,,,,,,148.2123,1315.6206,96.81947,51,Banana,Brollan,76561198138828475,ct,false,false,ct,11.445618,0,28,0,false,stomach,false,false,0,0,t,false,12891,37.640503,878.87695,80.03125,27,Middle,apEX,76561197989744167,t,mp9,17293822569132064802,22287701199,"",0,2
false,,,,,,,,,2383.666,928.3817,161.6368,100,BombsiteA,Jimpphat,76561198855375325,ct,false,false,ct,24.213602,0,34,0,false,stomach,false,false,0,0,t,false,13063,1472.7506,1209.4426,177.11806,19,TopofMid,mezii,76561197973140692,t,famas,17293822569102704650,0,"",0,2
