ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1264,2397.0,2079.0,132.76755,100,CTSpawn,Jimpphat,76561198855375325,ct,weapon_knife_karambit,1
ct,false,t,1492,-976.8653,539.75964,-43.2265,100,TSpawn,ZywOo,76561198113666193,t,weapon_knife_karambit,1
ct,false,t,1545,-912.8672,523.42065,-35.229736,100,TSpawn,flameZ,76561197978835160,t,weapon_knife_skeleton,1
ct,false,t,1571,-812.09955,536.0992,-32.39618,100,LowerMid,flameZ,76561197978835160,t,weapon_knife_skeleton,1
ct,false,t,1573,-685.06854,652.35486,-31.035767,100,LowerMid,ZywOo,76561198113666193,t,weapon_knife_karambit,1
ct,false,t,1631,-481.02063,750.30585,-33.532288,100,LowerMid,ZywOo,76561198113666193,t,weapon_knife_karambit,1
ct,false,t,1675,-319.23254,808.16583,12.734116,100,TRamp,ZywOo,76561198113666193,t,weapon_knife_karambit,1
ct,false,t,1701,-222.57117,839.3349,27.54658,100,TRamp,ZywOo,76561198113666193,t,weapon_knife_karambit,1
ct,false,t,1872,-386.67523,-58.14563,192.03125,100,Bridge,flameZ,76561197978835160,t,weapon_glock,1
ct,false,t,2048,-50.50354,256.8419,192.03125,100,Kitchen,ropz,76561197991272318,t,weapon_knife_skeleton,1
ct,false,t,4809,369.79135,1664.6205,144.625,100,Banana,mezii,76561197973140692,t,weapon_smokegrenade,1
ct,false,t,4988,973.0772,2751.6387,132.51373,100,BombsiteB,xertioN,76561198193174134,ct,weapon_smokegrenade,1
ct,false,t,5587,685.96844,2642.2485,142.88748,100,BombsiteB,xertioN,76561198193174134,ct,weapon_elite,1
ct,false,t,5595,684.81604,2642.2346,142.88748,100,BombsiteB,xertioN,76561198193174134,ct,weapon_elite,1
ct,false,t,5635,616.3333,2644.2803,154.72694,100,BombsiteB,xertioN,76561198193174134,ct,weapon_elite,1
ct,false,t,5643,606.6457,2641.1333,157.01476,100,BombsiteB,xertioN,76561198193174134,ct,weapon_elite,1
