entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
347,5099,6511,1071.222900390625,2702.132568359375,127.69229888916016,100,Ruins,xertioN,76561198193174134,ct,768.4849243164062,2274.907958984375,138.03146362304688,1
345,5121,6533,327.9001159667969,1752.2406005859375,126.38633728027344,100,Banana,mezii,76561197973140692,t,999.8025512695312,2638.955078125,244.14442443847656,1
350,6314,7726,2461.587646484375,-39.63409423828125,156.078125,100,Pit,Jimpphat,76561198855375325,ct,1401.1025390625,206.05319213867188,131.17037963867188,1
352,6491,,479.04754638671875,2016.9674072265625,136.0312042236328,100,Banana,mezii,76561197973140692,t,999.2362060546875,2639.265869140625,244.09877014160156,1
354,6556,,436.65911865234375,1977.029052734375,189.828125,100,Banana,flameZ,76561197978835160,t,477.8392028808594,3140.82275390625,162.08465576171875,1
229,10101,11513,581.7520751953125,2092.924072265625,140.1398162841797,100,Banana,xertioN,76561198193174134,ct,171.3546600341797,1038.34130859375,87.30796813964844,2
246,12293,,1637.758056640625,1197.7894287109375,177.03125,100,Arch,torzsi,76561198355739212,ct,1209.0634765625,524.4513549804688,115.87643432617188,2
181,16619,18031,507.7672119140625,3190.533203125,202.7630157470703,100,BombsiteB,Brollan,76561198138828475,ct,178.11679077148438,1421.784423828125,103.37544250488281,3
75,16989,18401,1742.475341796875,13.387716293334961,132.03125,100,BombsiteA,torzsi,76561198355739212,ct,1182.5977783203125,501.16143798828125,113.7591781616211,3
381,17190,18602,88.6031723022461,1020.344482421875,86.16111755371094,100,Banana,flameZ,76561197978835160,t,1370.5106201171875,928.9942016601562,155.7772674560547,3
110,17331,18743,861.4481201171875,2579.767333984375,140.0843048095703,93,BombsiteB,mezii,76561197973140692,t,1630.828857421875,2790.648193359375,126.0317611694336,3
1012,21490,22902,811.37353515625,2050.817138671875,136.03128051757812,100,Banana,xertioN,76561198193174134,ct,260.2452392578125,1757.3056640625,122.77297973632812,4
1017,21697,23109,1240.5107421875,298.8231201171875,128.03125,100,Apartments,Jimpphat,76561198855375325,ct,846.4033203125,479.5834045410156,98.03125,4
490,23558,24970,610.0137329101562,2636.963623046875,156.2528533935547,100,BombsiteB,xertioN,76561198193174134,ct,798.6341552734375,2281.156005859375,138.03146362304688,4
220,24689,26101,1727.5965576171875,1076.0,157.22190856933594,99,Arch,Spinx,76561198063336407,ct,1192.524169921875,501.71221923828125,114.55328369140625,4
203,25169,26581,369.9249267578125,2007.1510009765625,184.03125,100,Banana,apEX,76561197989744167,t,1001.2987670898438,2634.690185546875,244.77108764648438,4
251,25291,26703,603.4512329101562,2025.744140625,136.03123474121094,100,Banana,ZywOo,76561198113666193,t,451.23602294921875,3195.1455078125,162.20603942871094,4
1001,26504,27916,117.13243103027344,3100.75244140625,160.17922973632812,60,BombsiteB,mezii,76561197973140692,t,1108.1448974609375,2737.373779296875,127.81461334228516,4
986,26582,27994,314.9682922363281,2767.4716796875,184.2997589111328,50,BombsiteB,flameZ,76561197978835160,t,476.98565673828125,3262.2802734375,163.1136016845703,4
895,32790,34202,649.6593017578125,2087.179931640625,139.15219116210938,100,Banana,Brollan,76561198138828475,ct,410.31964111328125,1821.40966796875,226.98489379882812,5
899,33173,34585,831.8421020507812,297.0795593261719,92.96671295166016,100,SecondMid,ropz,76561197991272318,t,1434.9586181640625,1069.1710205078125,160.61851501464844,5
913,35294,36706,1160.5660400390625,-9.04217529296875,256.03125,100,Apartments,flameZ,76561197978835160,t,1373.188720703125,1064.35498046875,166.89730834960938,5
915,35589,37001,605.3369750976562,2065.331298828125,138.82688903808594,34,Banana,ZywOo,76561198113666193,t,976.597900390625,2727.279052734375,133.95849609375,5
917,37395,38807,538.663330078125,2937.529296875,200.921875,100,BombsiteB,flameZ,76561197978835160,t,458.5226745605469,2881.044189453125,163.53125,5
766,43241,44653,119.07982635498047,886.6531372070312,80.03125,100,Middle,mezii,76561197973140692,t,415.6787414550781,2028.3646240234375,138.02818298339844,6
793,43257,44669,-398.144775390625,803.7437133789062,-13.1732177734375,100,TRamp,flameZ,76561197978835160,t,1407.8302001953125,533.6696166992188,120.24455261230469,6
774,43341,44753,855.7166137695312,2142.69677734375,136.3662872314453,100,Banana,xertioN,76561198193174134,ct,251.6058349609375,1781.4393310546875,125.43333435058594,6
232,45027,46439,669.0899047851562,2602.462158203125,179.03125,100,BombsiteB,Brollan,76561198138828475,ct,410.2762145996094,1817.80078125,227.22543334960938,6
558,45376,46788,837.0057983398438,155.80252075195312,90.32841491699219,100,SecondMid,ropz,76561197991272318,t,1414.31884765625,1036.8291015625,157.6929473876953,6
789,46277,47689,839.11767578125,2312.43505859375,140.0843048095703,53,Banana,ZywOo,76561198113666193,t,981.8355712890625,2715.39111328125,133.66140747070312,6
791,47652,49064,518.3486328125,2014.5018310546875,136.0312042236328,66,Banana,apEX,76561197989744167,t,964.3326416015625,2737.54345703125,134.35757446289062,6
642,51977,53389,-648.8484497070312,634.4217529296875,-31.24639892578125,100,LowerMid,flameZ,76561197978835160,t,217.7341766357422,1706.427978515625,118.0013198852539,7
557,52082,53494,2309.94775390625,915.2901611328125,154.30435180664062,100,BombsiteA,torzsi,76561198355739212,ct,137.34527587890625,1036.9278564453125,86.11658477783203,7
544,52209,53621,-375.7630615234375,838.4674072265625,-6.81561279296875,100,TRamp,flameZ,76561197978835160,t,1414.63330078125,536.2997436523438,120.22341918945312,7
871,54316,55728,986.7971801757812,2745.33251953125,132.10610961914062,100,BombsiteB,xertioN,76561198193174134,ct,795.4638671875,2246.59814453125,138.03125,7
651,55304,56716,2479.830078125,-88.849853515625,101.82100677490234,100,Pit,Jimpphat,76561198855375325,ct,1847.0838623046875,-256.6624755859375,263.03125,7
209,55305,56717,1188.1146240234375,483.1029357910156,113.32051086425781,92,Middle,apEX,76561197989744167,t,2645.31005859375,1091.874267578125,162.90625,7
584,55445,56857,1484.96923828125,735.9265747070312,128.8590545654297,50,TopofMid,mezii,76561197973140692,t,1822.6522216796875,1393.9891357421875,162.03125,7
