tick,event,X,Y,Z,steamid,name,bombsite,round_num
103,drop,-332.0,-754.0,78.877106,76561198041683378,NiKo,,1
141,pickup,-493.0,-808.0,108.56338,76561198057282432,kyxsan,,1
1321,drop,-323.5775,-776.8602,74.94001,76561198057282432,kyxsan,,1
1429,pickup,-238.67767,-731.65076,60.433064,76561197983956651,Magisk,,1
3521,drop,1275.8773,1295.793,0.5845828,76561197983956651,Magisk,,1
3529,pickup,1285.8492,1215.6611,1.0312519,76561198057282432,kyxsan,,1
5066,plant,1089.8203,2494.2996,95.85724,76561198057282432,kyxsan,BombsiteA,1
5710,pickup,442.37488,2020.8077,132.53125,76561197983956651,Magisk,,2
6550,drop,-367.0,-808.0,83.744965,76561197983956651,Magisk,,2
6565,pickup,-493.0,-808.0,108.56338,76561198041683378,NiKo,,2
7356,drop,366.3898,-209.52948,-3.027771,76561198041683378,NiKo,,2
7452,pickup,313.2912,-262.14722,-0.16625977,76561198057282432,kyxsan,,2
9318,drop,302.75833,1486.7341,1.0921516,76561198057282432,kyxsan,,2
9651,pickup,361.7441,1583.109,3.2678642,76561197996678278,TeSeS,,2
13146,drop,482.95053,1841.4752,96.722,76561197996678278,TeSeS,,2
13169,pickup,315.10587,1734.1836,77.68813,76561198074762801,m0NESY,,2
14103,plant,1089.4818,2491.5947,95.78712,76561198074762801,m0NESY,BombsiteA,2
15238,defuse,1123.847,2541.4683,95.67766,76561197973140692,mezii,BombsiteA,2
15558,pickup,-134.81573,457.60043,-0.70336914,76561198041683378,NiKo,,3
15708,drop,-1181.0,-754.0,120.18125,76561198041683378,NiKo,,3
16930,pickup,-994.7372,-781.87573,117.84383,76561197983956651,Magisk,,3
19064,drop,-489.96173,1539.069,-123.9303,76561197983956651,Magisk,,3
19084,pickup,-351.7965,1538.5103,-126.109924,76561198057282432,kyxsan,,3
19225,drop,-449.82263,1679.8749,-125.07825,76561198057282432,kyxsan,,3
19232,pickup,-489.9679,1647.0167,-123.232605,76561198041683378,NiKo,,3
22196,drop,1048.7192,2484.305,170.03125,76561198041683378,NiKo,,3
22516,pickup,-71.76892,2155.7925,-127.512085,76561197996678278,TeSeS,,4
26973,drop,40.803905,1451.5939,-0.53393555,76561197996678278,TeSeS,,4
26980,pickup,106.285484,1451.4708,-0.13934326,76561198057282432,kyxsan,,4
28390,drop,-357.30164,1671.226,-127.32605,76561198057282432,kyxsan,,4
28710,pickup,-357.15228,1671.3105,-127.31909,76561198057282432,kyxsan,,5
28803,drop,-1015.0,-808.0,116.08262,76561198057282432,kyxsan,,5
28810,pickup,-980.0,-754.0,120.18125,76561198074762801,m0NESY,,5
36109,plant,-1366.0323,2565.9688,4.6349416,76561198074762801,m0NESY,BombsiteB,5
38304,pickup,-47.21167,2087.364,-125.46045,76561198074762801,m0NESY,,6
38944,drop,-428.0,-843.0,95.29629,76561198074762801,m0NESY,,6
38951,pickup,-493.0,-808.0,108.56338,76561198041683378,NiKo,,6
42136,drop,-38.398254,379.3975,-1.4030762,76561198041683378,NiKo,,6
44042,pickup,-79.56958,445.3621,-0.9133301,76561198041683378,NiKo,,6
47264,pickup,694.36206,955.44006,-0.25439453,76561197983956651,Magisk,,7
47911,drop,-428.0,-843.0,95.29629,76561197983956651,Magisk,,7
47918,pickup,-493.0,-808.0,108.56338,76561197996678278,TeSeS,,7
48999,drop,497.96683,85.26178,-4.9507446,76561197996678278,TeSeS,,7
49067,pickup,477.50027,-1.9118652,-4.8656006,76561198041683378,NiKo,,7
49196,drop,661.26166,380.36172,0.9161484,76561198041683378,NiKo,,7
50902,pickup,698.5919,562.14594,0.61855984,76561198057282432,kyxsan,,7
53592,drop,-1843.764,1914.1743,0.06137657,76561198057282432,kyxsan,,7
53943,pickup,-1997.0275,2037.9224,-1.1160278,76561198041683378,NiKo,,7
54051,drop,-1619.9966,2032.3284,13.453125,76561198041683378,NiKo,,7
54248,pickup,-1416.4274,2406.7756,2.140946,76561198041683378,NiKo,,7
54536,plant,-1366.0312,2565.9685,4.6350026,76561198041683378,NiKo,BombsiteB,7
56215,defuse,-1425.315,2560.834,3.2372751,76561197989744167,apEX,BombsiteB,7
59775,pickup,-866.6726,-743.668,120.09387,76561198041683378,NiKo,,8
60048,drop,125.270065,-553.5767,0.68576384,76561198041683378,NiKo,,8
60224,pickup,331.60217,-505.82965,-0.3076172,76561198057282432,kyxsan,,8
60676,drop,614.16144,249.70906,0.20335007,76561198057282432,kyxsan,,8
62200,pickup,692.0405,479.81085,0.70086527,76561197983956651,Magisk,,8
62684,drop,170.03835,410.4919,-0.35046387,76561197983956651,Magisk,,8
62702,pickup,274.86316,444.75183,0.1608038,76561198041683378,NiKo,,8
62793,drop,230.7516,405.31647,-0.3665161,76561198041683378,NiKo,,8
62816,pickup,47.801094,320.03244,-0.1281128,76561198074762801,m0NESY,,8
66324,drop,432.6251,2154.6216,95.79749,76561198074762801,m0NESY,,8
67415,pickup,1558.4596,1386.5278,1.03125,76561197996678278,TeSeS,,9
68450,drop,-760.66296,-836.174,117.07177,76561197996678278,TeSeS,,9
68715,pickup,-980.43463,-816.7072,115.82242,76561198057282432,kyxsan,,9
70850,drop,-160.86401,1136.0988,17.640625,76561198057282432,kyxsan,,9
72406,pickup,-484.05554,1144.3788,-83.812805,76561198074762801,m0NESY,,9
73287,drop,317.79425,1742.3724,104.875,76561198074762801,m0NESY,,9
73368,pickup,300.9352,2233.3477,98.31839,76561198041683378,NiKo,,9
74021,pickup,301.311,2202.8135,98.28132,76561198057282432,kyxsan,,10
80760,plant,1235.9688,2460.9666,97.89512,76561198057282432,kyxsan,BombsiteA,10
83384,detonate,-164.84741,1038.2449,1.4036512,76561198057282432,kyxsan,,10
83704,pickup,-101.03613,435.00558,-1.052063,76561198074762801,m0NESY,,11
83835,drop,-1076.0,-843.0,116.78947,76561198074762801,m0NESY,,11
85102,pickup,-865.884,-798.9999,117.301186,76561197983956651,Magisk,,11
87412,drop,-1800.1564,982.0311,40.435287,76561197983956651,Magisk,,11
87599,pickup,-1593.4786,1006.1219,34.60531,76561197996678278,TeSeS,,11
89077,drop,-630.612,1360.719,-111.08063,76561197996678278,TeSeS,,11
89089,pickup,-698.23346,1475.4241,-111.79242,76561198041683378,NiKo,,11
89207,drop,-789.45,1450.7772,-112.021545,76561198041683378,NiKo,,11
89220,pickup,-899.64716,1408.4624,-111.96875,76561198074762801,m0NESY,,11
92085,plant,1051.2638,2586.6897,96.44009,76561198074762801,m0NESY,BombsiteA,11
94709,detonate,-593.1877,1361.0868,-110.97998,76561198074762801,m0NESY,,11
