armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
95,546.8096,640.09735,1.3823242,100.0,LongDoors,m0NESY,76561198074762801,t,ct,5,9,91,left_arm,t,2175,1533.3792,1456.0896,1.0312514,100,LongA,apEX,76561197989744167,ct,glock,9,1
100,1295.2123,679.0452,-27.426758,100.0,Pit,flameZ,76561197978835160,ct,ct,0,123,0,head,t,2231,639.3123,868.9098,0.012173176,100,LongDoors,TeSeS,76561197996678278,t,hkp2000,100,1
100,615.0964,930.15936,-0.03125,100.0,LongDoors,NiKo,76561198041683378,t,ct,0,94,6,head,t,2271,1302.4758,681.787,-26.48291,100,Pit,flameZ,76561197978835160,ct,glock,94,1
96,1019.1529,724.6304,6.9664373,100.0,LongDoors,m0NESY,76561198074762801,t,ct,4,8,92,chest,t,2797,1752.5684,2147.4158,3.2407727,100,LongA,ZywOo,76561198113666193,ct,glock,8,1
92,999.2888,733.96747,7.015528,100.0,LongDoors,m0NESY,76561198074762801,t,ct,4,8,84,chest,t,2852,1763.4493,2141.84,3.503343,92,LongA,ZywOo,76561198113666193,ct,glock,8,1
92,1040.903,755.29584,9.031248,100.0,LongDoors,kyxsan,76561198057282432,t,ct,0,72,12,head,t,2937,1751.4845,2149.2102,3.2145176,84,LongA,ZywOo,76561198113666193,ct,glock,72,1
88,1040.5348,757.0232,9.031248,100.0,LongDoors,kyxsan,76561198057282432,t,ct,4,8,4,chest,t,3007,1748.0245,2151.87,3.1278257,12,LongA,ZywOo,76561198113666193,ct,glock,8,1
100,1277.2596,941.7646,-0.30810547,100.0,LongA,NiKo,76561198041683378,t,ct,0,17,0,right_leg,t,3097,1332.4758,278.11932,-171.62128,6,Pit,flameZ,76561197978835160,ct,glock,6,1
88,1061.3324,746.4643,7.0944796,100.0,LongDoors,kyxsan,76561198057282432,t,ct,0,72,0,head,t,3129,1720.199,2171.1785,2.42868,4,LongA,ZywOo,76561198113666193,ct,glock,4,1
95,1299.2421,1188.9922,1.03125,100.0,LongA,Magisk,76561197983956651,t,ct,0,68,23,head,t,3145,1334.6587,2921.6096,129.03125,91,ARamp,apEX,76561197989744167,ct,glock,68,1
94,1657.6613,854.82697,-10.101318,100.0,Side,m0NESY,76561198074762801,t,ct,6,12,88,chest,t,3997,1143.0161,2410.933,96.03636,100,BombsiteA,mezii,76561197973140692,ct,hkp2000,12,1
88,1635.4891,847.70276,-10.911133,100.0,Side,m0NESY,76561198074762801,t,ct,6,12,76,chest,t,4013,1123.6428,2404.514,95.98079,88,BombsiteA,mezii,76561197973140692,ct,hkp2000,12,1
82,1657.2803,854.63336,-10.11853,100.0,Side,m0NESY,76561198074762801,t,ct,6,12,64,chest,t,4030,1104.2944,2397.855,105.875,76,BombsiteA,mezii,76561197973140692,ct,hkp2000,12,1
76,1289.7795,1963.3004,1.031249,100.0,LongA,kyxsan,76561198057282432,t,ct,6,11,53,chest,t,4095,1024.0732,2380.4553,127.03125,64,BombsiteA,mezii,76561197973140692,ct,glock,11,1
70,1295.8916,1967.4518,1.031249,100.0,LongA,kyxsan,76561198057282432,t,ct,6,11,42,chest,t,4116,1000.3238,2372.2751,126.15625,53,UnderA,mezii,76561197973140692,ct,glock,11,1
0,397.70856,2042.1244,96.03125,100.0,ExtendedA,ropz,76561197991272318,ct,ct,0,29,71,chest,t,4172,1387.5564,2176.5571,-5.19928,100,LongA,Magisk,76561197983956651,t,hkp2000,29,1
95,1393.42,2274.9075,3.4190521,71.0,LongA,Magisk,76561197983956651,t,ct,5,10,90,chest,t,4249,398.41452,2024.7473,96.03125,100,ExtendedA,ropz,76561197991272318,ct,glock,10,1
95,1334.9896,2584.4053,86.66791,100.0,ARamp,NiKo,76561198041683378,t,ct,0,91,0,head,t,4724,506.90152,2700.9268,95.61015,23,ExtendedA,apEX,76561197989744167,ct,glock,23,1
0,338.67313,1974.5718,96.9764,90.0,ExtendedA,ropz,76561197991272318,ct,ct,0,28,72,chest,t,4727,1235.5688,2562.5579,127.03125,100,BombsiteA,kyxsan,76561198057282432,t,hkp2000,28,1
70,1696.2946,1999.1398,60.480545,100.0,LongA,m0NESY,76561198074762801,t,ct,0,21,21,left_leg,t,4766,594.31824,2372.3108,67.03125,42,UnderA,mezii,76561197973140692,ct,hkp2000,21,1
69,1478.3094,2823.0007,115.93811,71.0,ARamp,Magisk,76561197983956651,t,ct,1,3,18,chest,t,4783,597.4997,2363.8582,67.03125,21,UnderA,mezii,76561197973140692,ct,glock,3,1
69,1706.987,2029.6809,60.63279,100.0,LongA,m0NESY,76561198074762801,t,ct,0,21,0,left_leg,t,4795,600.2544,2355.8347,67.03125,18,UnderA,mezii,76561197973140692,ct,hkp2000,18,1
98,1480.6064,2819.79,115.82495,71.0,ARamp,Magisk,76561197983956651,t,ct,2,4,96,chest,t,4813,1317.8319,2749.9602,114.27385,100,ARamp,NiKo,76561198041683378,t,glock,4,1
89,849.2031,2402.9167,127.03125,96.0,BombsiteA,NiKo,76561198041683378,t,ct,6,11,79,right_arm,t,5207,294.58353,1875.0874,97.74245,90,ShortStairs,ropz,76561197991272318,ct,glock,11,1
83,835.763,2405.3435,127.03125,96.0,BombsiteA,NiKo,76561198041683378,t,ct,6,11,68,chest,t,5217,304.5252,1865.2482,97.523,79,ShortStairs,ropz,76561197991272318,ct,glock,11,1
91,310.25864,1859.3584,97.3544,68.0,ShortStairs,ropz,76561197991272318,ct,ct,7,15,81,right_arm,t,5224,832.8383,2406.2563,127.03125,96,BombsiteA,NiKo,76561198041683378,t,hkp2000,15,1
77,830.6003,2408.1855,127.03125,81.0,BombsiteA,NiKo,76561198041683378,t,ct,6,11,57,chest,t,5226,311.8195,1857.8184,97.30873,68,ShortStairs,ropz,76561197991272318,ct,glock,11,1
84,317.52798,1845.8885,97.00313,57.0,ShortStairs,ropz,76561197991272318,ct,ct,7,15,66,chest,t,5239,810.32776,2414.018,127.05617,81,BombsiteA,NiKo,76561198041683378,t,hkp2000,15,1
82,1222.207,3010.29,128.46724,100.0,BombsiteA,m0NESY,76561198074762801,t,ct,2,5,61,right_arm,t,5274,787.87445,2424.0662,138.28125,66,ExtendedA,NiKo,76561198041683378,t,hkp2000,5,1
75,1222.207,3010.29,128.46724,100.0,BombsiteA,m0NESY,76561198074762801,t,ct,2,5,52,chest,t,5274,342.645,1822.0161,95.782776,57,ShortStairs,ropz,76561197991272318,ct,hkp2000,5,1
68,650.64813,2407.5212,127.03125,61.0,ExtendedA,NiKo,76561198041683378,t,ct,7,13,39,stomach,t,5377,284.18112,1733.8125,77.45977,52,ShortStairs,ropz,76561197991272318,ct,glock,13,1
68,642.742,2404.9932,127.03125,61.0,ExtendedA,NiKo,76561198041683378,t,ct,0,93,0,head,t,5390,292.9211,1728.0039,73.885254,39,ShortStairs,ropz,76561197991272318,ct,glock,39,1
76,-618.03174,2469.816,-83.78351,100.0,MidDoors,ZywOo,76561198113666193,ct,ct,24,275,0,head,t,8018,-133.53278,457.5525,-0.7040405,100,TopofMid,NiKo,76561198041683378,t,ssg08,100,2
94,-510.38745,2100.8552,-122.64172,100.0,MidDoors,mezii,76561197973140692,ct,ct,6,70,30,chest,t,8033,-218.75494,500.2167,-1.1158447,100,TopofMid,TeSeS,76561197996678278,t,ssg08,70,2
0,-213.08978,501.43784,-0.97229004,30.0,TopofMid,TeSeS,76561197996678278,t,ct,0,14,86,chest,t,8047,-499.87482,2102.6228,-123.65466,100,MidDoors,mezii,76561197973140692,ct,mac10,14,2
94,679.12897,2387.9314,127.03125,100.0,UnderA,ZywOo,76561198113666193,ct,ct,6,71,29,chest,t,9246,167.89621,1334.4875,1.0837631,100,Catwalk,Magisk,76561197983956651,t,ssg08,71,2
97,168.06416,1334.6008,1.0837631,29.0,Catwalk,Magisk,76561197983956651,t,ct,3,26,74,right_arm,t,9260,681.966,2388.483,127.03125,100,UnderA,ZywOo,76561198113666193,ct,ak47,26,2
99,287.30713,1777.0535,96.03124,100.0,ShortStairs,apEX,76561197989744167,ct,ct,1,25,75,chest,t,9313,295.5972,1486.9387,1.0660143,100,ShortStairs,kyxsan,76561198057282432,t,fiveseven,25,2
94,478.24722,2353.9448,96.7719,100.0,ExtendedA,flameZ,76561197978835160,ct,ct,5,144,0,head,t,9318,302.75833,1486.7341,1.0921516,75,ShortStairs,kyxsan,76561198057282432,t,deagle,75,2
94,257.34253,1507.5697,1.7369871,30.0,ShortStairs,TeSeS,76561197996678278,t,ct,6,18,82,stomach,t,9361,273.03168,1777.5568,96.03124,100,ShortStairs,apEX,76561197989744167,ct,mac10,18,2
88,671.99725,2394.341,127.03125,74.0,UnderA,ZywOo,76561198113666193,ct,ct,6,71,0,right_arm,t,9361,168.83977,1336.1046,1.0837631,29,Catwalk,Magisk,76561197983956651,t,ssg08,29,2
88,313.4351,1503.9984,1.7661438,30.0,ShortStairs,TeSeS,76561197996678278,t,ct,6,18,64,stomach,t,9376,275.12958,1777.48,96.03124,82,ShortStairs,apEX,76561197989744167,ct,mac10,18,2
83,341.51492,1504.2286,1.7865353,30.0,ShortStairs,TeSeS,76561197996678278,t,ct,5,14,50,right_arm,t,9385,284.35336,1777.6189,96.03124,64,ShortStairs,apEX,76561197989744167,ct,mac10,14,2
77,350.32407,1504.4574,1.7810993,30.0,ShortStairs,TeSeS,76561197996678278,t,ct,6,18,32,stomach,t,9390,284.71213,1777.3646,96.03124,50,ShortStairs,apEX,76561197989744167,ct,mac10,18,2
71,363.02206,1505.5328,1.7647035,30.0,ShortStairs,TeSeS,76561197996678278,t,ct,6,18,14,stomach,t,9400,275.46317,1774.8721,96.03124,32,ShortStairs,apEX,76561197989744167,ct,mac10,18,2
66,374.31213,1507.5707,1.8118193,30.0,ShortStairs,TeSeS,76561197996678278,t,ct,5,14,0,chest,t,9409,273.03168,1773.8818,96.03124,14,ShortStairs,apEX,76561197989744167,ct,mac10,14,2
97,659.213,2389.873,127.03125,74.0,UnderA,ZywOo,76561198113666193,ct,ct,3,40,60,chest,t,9465,251.584,1395.6768,0.12157583,100,Catwalk,m0NESY,76561198074762801,t,ssg08,40,2
97,289.3883,1405.2856,0.17161226,60.0,ShortStairs,m0NESY,76561198074762801,t,ct,3,27,73,chest,t,9508,356.19226,2188.9165,96.676704,100,ExtendedA,flameZ,76561197978835160,ct,ak47,27,2
97,374.21606,1536.8428,2.439074,30.0,ShortStairs,TeSeS,76561197996678278,t,ct,0,86,0,head,t,9518,367.61377,2188.158,96.376595,73,ExtendedA,flameZ,76561197978835160,ct,mac10,73,2
93,-323.5431,2187.8416,-126.16742,86.0,MidDoors,mezii,76561197973140692,ct,ct,4,48,12,chest,t,10548,-479.08887,1380.8524,-113.79889,60,Middle,m0NESY,76561198074762801,t,ssg08,48,2
0,-431.18976,1452.9629,-126.49982,12.0,Middle,m0NESY,76561198074762801,t,ct,0,49,37,head,t,10794,-315.6618,2190.1592,-126.02551,86,MidDoors,mezii,76561197973140692,ct,ak47,49,2
84,-379.42932,1454.1493,-126.04828,12.0,Middle,m0NESY,76561198074762801,t,ct,16,110,0,head,t,11203,-432.4403,1750.1459,-126.14111,100,MidDoors,ropz,76561197991272318,ct,ak47,100,2
94,425.87955,2032.587,132.53125,30.0,ExtendedA,TeSeS,76561197996678278,t,ct,3,27,47,chest,t,11722,933.4379,2172.5706,-8.740967,74,UnderA,ZywOo,76561198113666193,ct,ak47,27,2
94,426.12347,2031.7965,132.53125,30.0,ExtendedA,TeSeS,76561197996678278,t,ct,0,26,21,left_leg,t,11754,933.4623,2182.304,-7.9023438,47,UnderA,ZywOo,76561198113666193,ct,ak47,26,2
87,933.13556,2183.524,-7.8518677,21.0,UnderA,ZywOo,76561198113666193,ct,ct,7,15,15,chest,t,11758,426.3331,2031.0802,132.53125,30,ExtendedA,TeSeS,76561197996678278,t,hkp2000,15,2
91,426.67273,2029.8925,132.53125,15.0,ExtendedA,TeSeS,76561197996678278,t,ct,3,27,0,chest,t,11760,932.91785,2184.2842,-7.8234253,21,UnderA,ZywOo,76561198113666193,ct,ak47,21,2
84,295.52762,1701.1464,57.35753,37.0,ShortStairs,mezii,76561197973140692,ct,ct,3,22,0,chest,t,13780,388.63004,2459.636,95.75706,15,ExtendedA,TeSeS,76561197996678278,t,galilar,15,2
90,441.89658,2026.1584,132.53125,37.0,ExtendedA,mezii,76561197973140692,ct,ct,3,22,0,chest,t,14176,1103.8927,2604.7139,96.5034,12,BombsiteA,m0NESY,76561198074762801,t,galilar,12,2
0,-1425.7988,2052.5146,3.4870315,100.0,BombsiteB,ropz,76561197991272318,ct,ct,0,86,14,generic,t,20267,-563.8257,2096.521,-118.60138,100,MidDoors,kyxsan,76561198057282432,t,hegrenade,86,3
81,-1425.7988,2052.5146,3.4870315,100.0,BombsiteB,ropz,76561197991272318,ct,ct,19,29,71,generic,t,20267,-569.23773,1982.1202,-117.26947,100,MidDoors,NiKo,76561198041683378,t,hegrenade,29,3
84,-1425.7988,2052.5146,3.4870315,100.0,BombsiteB,ropz,76561197991272318,ct,ct,16,25,75,generic,t,20267,-387.96423,2011.7197,-127.380554,100,MidDoors,TeSeS,76561197996678278,t,hegrenade,25,3
93,-1425.7988,2052.5146,3.4870315,100.0,BombsiteB,ropz,76561197991272318,ct,ct,7,10,90,generic,t,20267,-539.49225,1892.3257,-119.854065,100,MidDoors,Magisk,76561197983956651,t,hegrenade,10,3
98,-1425.7988,2052.5146,3.4870315,100.0,BombsiteB,ropz,76561197991272318,ct,ct,2,3,97,generic,t,20267,-340.0298,1888.4545,-120.50842,100,MidDoors,m0NESY,76561198074762801,t,hegrenade,3,3
0,1362.3542,2266.0398,3.9784307,100.0,LongA,ZywOo,76561198113666193,ct,ct,0,22,0,left_leg,t,20270,-562.6911,2107.2422,-118.88568,14,MidDoors,kyxsan,76561198057282432,t,m4a1,14,3
86,-569.8673,1990.0137,-117.24939,71.0,MidDoors,NiKo,76561198041683378,t,ct,14,103,0,head,t,20291,1362.3542,2266.0398,3.9784307,100,LongA,ZywOo,76561198113666193,ct,ak47,100,3
81,1317.5568,2501.1716,68.78035,100.0,ARamp,apEX,76561197989744167,ct,ct,17,80,17,head,t,21235,328.12207,1958.2861,97.83507,97,ShortStairs,m0NESY,76561198074762801,t,m4a1,80,3
77,1316.8547,2502.1462,69.25217,100.0,ARamp,apEX,76561197989744167,ct,ct,4,23,0,chest,t,21242,331.49152,1951.9316,97.58178,17,ShortStairs,m0NESY,76561198074762801,t,m4a1,17,3
88,1310.1859,2651.6702,99.826126,100.0,ARamp,apEX,76561197989744167,ct,ct,5,23,67,chest,t,21369,309.87814,2436.7693,97.417885,90,ExtendedA,Magisk,76561197983956651,t,m4a1,23,3
83,1310.3494,2651.0354,99.705215,100.0,ARamp,apEX,76561197989744167,ct,ct,5,23,44,chest,t,21376,307.56082,2431.5972,97.4515,67,ExtendedA,Magisk,76561197983956651,t,m4a1,23,3
69,1432.7942,1979.6383,-9.647888,100.0,LongA,flameZ,76561197978835160,ct,ct,14,44,0,head,t,21383,309.6154,2436.8408,97.42307,44,ExtendedA,Magisk,76561197983956651,t,mp9,44,3
97,-40.138794,2214.6284,-129.61816,75.0,CTSpawn,TeSeS,76561197996678278,t,ct,3,27,73,chest,t,21417,-797.1942,2081.4094,-104.45911,100,BDoors,ropz,76561197991272318,ct,ak47,27,3
93,-40.445923,2216.3726,-129.6836,75.0,CTSpawn,TeSeS,76561197996678278,t,ct,4,33,40,stomach,t,21424,-797.8176,2086.6067,-104.352356,73,BDoors,ropz,76561197991272318,ct,ak47,33,3
90,-40.184204,2214.3042,-129.60327,75.0,CTSpawn,TeSeS,76561197996678278,t,ct,3,27,13,chest,t,21437,-798.1721,2088.859,-104.291626,40,BDoors,ropz,76561197991272318,ct,ak47,27,3
80,-798.26416,2089.4104,-104.27588,13.0,BDoors,ropz,76561197991272318,ct,ct,4,12,63,chest,t,21449,-39.822083,2211.909,-129.51184,75,CTSpawn,TeSeS,76561197996678278,t,mp9,12,3
76,-798.2607,2089.3872,-104.27649,13.0,BDoors,ropz,76561197991272318,ct,ct,4,12,51,chest,t,21453,-39.927124,2212.531,-129.53528,63,CTSpawn,TeSeS,76561197996678278,t,mp9,12,3
87,-40.030212,2213.1191,-129.55737,51.0,CTSpawn,TeSeS,76561197996678278,t,ct,3,27,0,chest,t,21456,-798.2436,2089.2664,-104.27942,13,BDoors,ropz,76561197991272318,ct,ak47,13,3
73,-1149.761,2366.9165,16.877796,100.0,BDoors,mezii,76561197973140692,ct,ct,3,26,25,chest,t,21541,-69.73889,2160.7957,-127.62463,51,CTSpawn,TeSeS,76561197996678278,t,ak47,26,3
70,-1150.486,2363.0405,16.127462,100.0,BDoors,mezii,76561197973140692,ct,ct,3,26,0,chest,t,21547,-71.786316,2155.685,-127.51001,25,CTSpawn,TeSeS,76561197996678278,t,ak47,25,3
77,1282.2269,2762.998,127.03125,100.0,ARamp,apEX,76561197989744167,ct,ct,4,22,49,neck,t,21694,330.62717,1977.0553,97.63322,71,ExtendedA,NiKo,76561198041683378,t,m4a1,22,3
85,332.94492,1973.9093,97.44401,49.0,ExtendedA,NiKo,76561198041683378,t,ct,15,106,0,head,t,21696,1282.5146,2763.0205,127.03125,100,ARamp,apEX,76561197989744167,ct,ak47,100,3
72,1279.2893,1971.9539,0.5430169,100.0,LongA,flameZ,76561197978835160,ct,ct,5,16,33,stomach,t,22183,1043.8773,2497.1665,170.03125,49,BombsiteA,NiKo,76561198041683378,t,mp9,16,3
72,1276.864,1971.9929,0.54190326,100.0,LongA,flameZ,76561197978835160,ct,ct,0,16,17,left_leg,t,22187,1046.5458,2489.9236,170.03125,33,BombsiteA,NiKo,76561198041683378,t,mp9,16,3
67,1275.4003,1968.929,0.6394119,100.0,LongA,flameZ,76561197978835160,ct,ct,5,16,1,stomach,t,22192,1047.7698,2486.7793,170.03125,17,BombsiteA,NiKo,76561198041683378,t,mp9,16,3
62,1275.0284,1968.0798,0.66647005,100.0,LongA,flameZ,76561197978835160,ct,ct,5,16,0,stomach,t,22196,1048.7192,2484.305,170.03125,1,BombsiteA,NiKo,76561198041683378,t,mp9,1,3
0,1551.0812,1321.6238,1.0312519,100.0,LongA,apEX,76561197989744167,ct,ct,0,52,48,head,t,24486,612.0056,686.2819,1.0108776,100,LongDoors,NiKo,76561198041683378,t,m4a1,52,4
0,1550.7212,1322.1597,1.0312519,100.0,LongA,apEX,76561197989744167,ct,ct,0,33,15,chest,t,24498,612.5439,685.60645,1.008357,48,LongDoors,NiKo,76561198041683378,t,m4a1,33,4
0,1002.2907,2621.0757,96.53125,100.0,BombsiteA,apEX,76561197989744167,ct,ct,0,2,98,generic,t,27526,309.82242,1623.0337,9.288195,100,ShortStairs,kyxsan,76561198057282432,t,hegrenade,2,4
0,1064.2368,2626.6445,96.53125,100.0,BombsiteA,apEX,76561197989744167,ct,ct,0,77,21,generic,t,27544,302.2248,1631.8389,14.70676,98,ShortStairs,kyxsan,76561198057282432,t,hegrenade,77,4
0,740.95526,2338.2888,-46.08539,100.0,UnderA,ZywOo,76561198113666193,ct,ct,0,41,59,stomach,t,28095,-347.76318,2042.3646,-70.046875,100,MidDoors,m0NESY,76561198074762801,t,m4a1,41,4
0,741.16895,2337.4673,-46.08246,100.0,UnderA,ZywOo,76561198113666193,ct,ct,0,41,18,stomach,t,28102,-347.32056,2068.8728,-75.53125,59,MidDoors,m0NESY,76561198074762801,t,m4a1,41,4
0,741.3664,2336.6753,-46.08142,100.0,UnderA,ZywOo,76561198113666193,ct,ct,0,41,0,stomach,t,28108,-346.94116,2091.594,-78.859375,18,MidDoors,m0NESY,76561198074762801,t,m4a1,18,4
0,748.5504,2307.9058,-46.648376,100.0,UnderA,ZywOo,76561198113666193,ct,ct,0,32,68,chest,t,28199,-559.5278,2118.9976,-119.37616,100,MidDoors,TeSeS,76561197996678278,t,m4a1,32,4
0,-789.2603,2130.4233,-108.263306,100.0,BDoors,ropz,76561197991272318,ct,ct,0,97,0,head,t,28202,-557.42944,2127.3364,-119.798584,68,MidDoors,TeSeS,76561197996678278,t,mp9,68,4
0,732.8092,2336.5962,-47.914124,100.0,UnderA,ZywOo,76561198113666193,ct,ct,0,31,69,chest,t,28281,-604.3946,1907.1066,-117.1048,100,MidDoors,Magisk,76561197983956651,t,m4a1,31,4
0,732.5087,2337.538,-47.929382,100.0,UnderA,ZywOo,76561198113666193,ct,ct,0,31,38,chest,t,28287,-605.8722,1911.7529,-116.89679,69,MidDoors,Magisk,76561197983956651,t,m4a1,31,4
0,732.61505,2339.205,-47.819946,100.0,UnderA,ZywOo,76561198113666193,ct,ct,0,31,7,chest,t,28294,-605.96875,1911.9688,-116.88672,38,MidDoors,Magisk,76561197983956651,t,m4a1,31,4
0,733.9684,2335.0146,-47.74872,100.0,UnderA,ZywOo,76561198113666193,ct,ct,0,39,0,stomach,t,28300,-605.96875,1911.9688,-116.88672,7,MidDoors,Magisk,76561197983956651,t,m4a1,7,4
0,-660.6697,2210.4805,-120.65106,100.0,MidDoors,ropz,76561197991272318,ct,ct,0,22,0,chest,t,28368,-351.86255,1740.3127,-122.76721,15,MidDoors,NiKo,76561198041683378,t,mp9,15,4
74,-354.97424,1672.2522,-127.22821,21.0,MidDoors,kyxsan,76561198057282432,t,ct,26,46,54,head,t,28380,-661.73285,2209.9517,-120.60913,100,MidDoors,ropz,76561197991272318,ct,glock,46,4
48,-357.44006,1671.1477,-127.33252,21.0,MidDoors,kyxsan,76561198057282432,t,ct,26,46,8,head,t,28389,-663.7449,2208.6624,-120.519775,54,MidDoors,ropz,76561197991272318,ct,glock,46,4
0,-663.85626,2208.598,-120.51587,8.0,MidDoors,ropz,76561197991272318,ct,ct,0,87,0,head,t,28390,-357.30164,1671.226,-127.32605,21,MidDoors,kyxsan,76561198057282432,t,mp9,21,4
95,589.434,2372.785,67.03125,100.0,UnderA,flameZ,76561197978835160,ct,ct,5,16,84,stomach,t,32842,412.75275,1749.3301,102.5683,100,ShortStairs,NiKo,76561198041683378,t,mp9,16,5
90,569.18567,2378.979,67.03125,100.0,UnderA,flameZ,76561197978835160,ct,ct,5,16,68,stomach,t,32851,413.7855,1753.2489,103.03125,84,ShortStairs,NiKo,76561198041683378,t,mp9,16,5
86,569.10156,2378.389,67.03125,100.0,UnderA,flameZ,76561197978835160,ct,ct,4,13,55,chest,t,32860,418.9223,1751.7211,103.03125,68,ShortStairs,NiKo,76561198041683378,t,mp9,13,5
97,419.69946,1751.5114,103.03125,55.0,ShortStairs,NiKo,76561198041683378,t,ct,3,27,73,chest,t,32861,570.6794,2377.9536,67.03125,100,UnderA,flameZ,76561197978835160,ct,ak47,27,5
82,575.4301,2376.6543,67.03125,73.0,UnderA,flameZ,76561197978835160,ct,ct,4,13,42,chest,t,32864,420.25803,1751.3389,103.03125,55,ShortStairs,NiKo,76561198041683378,t,mp9,13,5
77,581.3794,2375.0327,67.03125,73.0,UnderA,flameZ,76561197978835160,ct,ct,5,16,26,stomach,t,32869,420.45587,1751.2981,103.03125,42,ShortStairs,NiKo,76561198041683378,t,mp9,16,5
73,586.7908,2373.5383,67.03125,73.0,UnderA,flameZ,76561197978835160,ct,ct,4,13,13,chest,t,32873,421.4021,1751.098,103.03125,26,ShortStairs,NiKo,76561198041683378,t,mp9,13,5
69,594.0458,2371.468,67.03125,73.0,UnderA,flameZ,76561197978835160,ct,ct,4,13,0,chest,t,32878,421.4021,1751.098,103.03125,13,ShortStairs,NiKo,76561198041683378,t,mp9,13,5
97,-1521.0632,1822.8386,0.031248093,100.0,BombsiteB,ropz,76561197991272318,ct,ct,3,27,73,chest,t,35256,-2033.1407,1953.4761,0.060833216,100,BombsiteB,TeSeS,76561197996678278,t,ak47,27,5
82,-1522.3346,1821.343,0.031248093,100.0,BombsiteB,ropz,76561197991272318,ct,ct,15,109,0,head,t,35262,-2033.3525,1952.5508,0.06706047,73,BombsiteB,TeSeS,76561197996678278,t,ak47,73,5
82,49.462715,1348.0295,0.13261175,100.0,Catwalk,kyxsan,76561198057282432,t,ct,15,109,0,head,t,35328,347.82135,1598.0645,3.487904,73,ShortStairs,flameZ,76561197978835160,ct,ak47,73,5
97,-1530.9609,1821.1714,0.03125,100.0,BombsiteB,ropz,76561197991272318,ct,ct,3,27,73,chest,t,35347,-1887.0206,1921.3934,0.06532383,100,BombsiteB,m0NESY,76561198074762801,t,ak47,27,5
33,-1887.9054,1920.8049,0.06532097,73.0,BombsiteB,m0NESY,76561198074762801,t,ct,15,109,0,head,t,35354,-1531.8755,1818.0671,0.03125,100,BombsiteB,ropz,76561197991272318,ct,ak47,100,5
