assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,1295.2123,679.0452,-27.426758,100,Pit,flameZ,76561197978835160,ct,false,false,ct,17.319399,0,123,0,true,head,false,false,0,0,t,false,2231,639.3123,868.9098,0.012173176,100,LongDoors,TeSeS,76561197996678278,t,usp_silencer,17293822569135734845,34768257646,"",0,1
false,,,,,,,,,1277.2596,941.7646,-0.30810547,100,LongA,NiKo,76561198041683378,t,false,false,ct,17.469881,0,17,0,false,right_leg,false,false,0,0,t,false,3097,1332.4758,278.11932,-171.62128,6,Pit,flameZ,76561197978835160,ct,glock,17293822569105195012,4054334611,"",0,1
false,,,,,,,,,1061.3324,746.4643,7.0944796,100,LongDoors,kyxsan,76561198057282432,t,false,false,ct,39.870335,0,72,0,true,head,false,false,0,0,t,false,3129,1720.199,2171.1785,2.42868,4,LongA,ZywOo,76561198113666193,ct,glock,17293822569167454212,40738391855,"",0,1
false,1385.315,2725.3577,102.92543,71.0,ARamp,Magisk,76561197983956651,t,1334.9896,2584.4053,86.66791,100,ARamp,NiKo,76561198041683378,t,false,false,ct,21.230078,0,91,0,true,head,false,false,0,0,t,false,4724,506.90152,2700.9268,95.61015,23,ExtendedA,apEX,76561197989744167,ct,glock,17293822569105195012,4054334611,"",0,1
false,,,,,,,,,1706.987,2029.6809,60.63279,100,LongA,m0NESY,76561198074762801,t,false,false,ct,29.35076,0,21,0,false,left_leg,false,false,0,0,t,true,4795,600.2544,2355.8347,67.03125,18,UnderA,mezii,76561197973140692,ct,usp_silencer,17293822569135734845,34768257646,"",0,1
false,,,,,,,,,642.742,2404.9932,127.03125,61,ExtendedA,NiKo,76561198041683378,t,false,false,ct,19.42789,0,93,0,true,head,false,false,0,0,t,false,5390,292.9211,1728.0039,73.885254,39,ShortStairs,ropz,76561197991272318,ct,glock,17293822569105195012,4054334611,"",0,1
false,,,,,,,,,-618.03174,2469.816,-83.78351,100,MidDoors,ZywOo,76561198113666193,ct,false,false,ct,52.63323,24,275,0,true,head,false,false,0,0,t,true,8018,-133.53278,457.5525,-0.7040405,100,TopofMid,NiKo,76561198041683378,t,ssg08,17293822569174859816,23426802137,"",0,2
false,,,,,,,,,478.24722,2353.9448,96.7719,100,ExtendedA,flameZ,76561197978835160,ct,false,false,ct,22.62575,5,144,0,true,head,false,false,0,0,t,false,9318,302.75833,1486.7341,1.0921516,75,ShortStairs,kyxsan,76561198057282432,t,deagle,17293822569174138881,43901946676,"",0,2
false,,,,,,,,,671.99725,2394.341,127.03125,74,UnderA,ZywOo,76561198113666193,ct,false,false,ct,29.946774,6,71,0,false,right_arm,false,false,0,0,t,false,9361,168.83977,1336.1046,1.0837631,29,Catwalk,Magisk,76561197983956651,t,ssg08,17293822569174859816,23426802137,"",0,2
false,,,,,,,,,374.31213,1507.5707,1.8118193,30,ShortStairs,TeSeS,76561197996678278,t,false,false,ct,7.646351,5,14,0,false,chest,false,false,0,0,t,false,9409,273.03168,1773.8818,96.03124,14,ShortStairs,apEX,76561197989744167,ct,mac10,17293822569176825873,34190034644,"",0,2
false,286.7487,1405.6123,0.16640854,60.0,ShortStairs,m0NESY,76561198074762801,t,374.21606,1536.8428,2.439074,30,ShortStairs,TeSeS,76561197996678278,t,false,false,ct,16.712427,0,86,0,true,head,false,false,0,0,t,false,9518,367.61377,2188.158,96.376595,73,ExtendedA,flameZ,76561197978835160,ct,mac10,17293822569176825873,34190034644,"",0,2
false,,,,,,,,,-379.42932,1454.1493,-126.04828,12,Middle,m0NESY,76561198074762801,t,false,false,ct,7.639398,16,110,0,true,head,false,false,0,0,t,false,11203,-432.4403,1750.1459,-126.14111,100,MidDoors,ropz,76561197991272318,ct,ak47,17293822569121185799,39561621428,"",0,2
false,168.01286,1336.5531,1.0837631,0.0,Catwalk,Magisk,76561197983956651,t,426.67273,2029.8925,132.53125,15,ExtendedA,TeSeS,76561197996678278,t,false,false,ct,13.977314,3,27,0,false,chest,false,false,0,0,t,false,11760,932.91785,2184.2842,-7.8234253,21,UnderA,ZywOo,76561198113666193,ct,ak47,17293822569121185799,31980002385,"",0,2
false,,,,,,,,,295.52762,1701.1464,57.35753,37,ShortStairs,mezii,76561197973140692,ct,false,false,ct,19.457315,3,22,0,false,chest,false,false,0,0,t,false,13780,388.63004,2459.636,95.75706,15,ExtendedA,TeSeS,76561197996678278,t,galilar,17293822569166405645,29744098366,"",0,2
false,932.91785,2184.2842,-7.8234253,0.0,UnderA,ZywOo,76561198113666193,ct,441.89658,2026.1584,132.53125,37,ExtendedA,mezii,76561197973140692,ct,false,false,ct,22.331476,3,22,0,false,chest,false,false,0,0,t,false,14176,1103.8927,2604.7139,96.5034,12,BombsiteA,m0NESY,76561198074762801,t,galilar,17293822569166405645,29744098366,"",0,2
false,-1423.6588,2047.0702,3.6166682,100.0,BombsiteB,ropz,76561197991272318,ct,1362.3542,2266.0398,3.9784307,100,LongA,ZywOo,76561198113666193,ct,false,false,ct,49.199497,0,22,0,false,left_leg,false,false,0,0,t,true,20270,-562.6911,2107.2422,-118.88568,14,MidDoors,kyxsan,76561198057282432,t,m4a1_silencer,17293822569179840572,40518827427,"",0,3
false,,,,,,,,,-569.8673,1990.0137,-117.24939,71,MidDoors,NiKo,76561198041683378,t,false,false,ct,49.668972,14,103,0,true,head,false,false,0,0,t,true,20291,1362.3542,2266.0398,3.9784307,100,LongA,ZywOo,76561198113666193,ct,ak47,17293822569146941447,39817899730,"",0,3
false,,,,,,,,,1316.8547,2502.1462,69.25217,100,ARamp,apEX,76561197989744167,ct,false,false,ct,28.676956,4,23,0,false,chest,false,false,0,0,t,false,21242,331.49152,1951.9316,97.58178,17,ShortStairs,m0NESY,76561198074762801,t,m4a1_silencer,17293822569131868220,43761314923,"",0,3
false,1310.4073,2650.7695,99.65458,100.0,ARamp,apEX,76561197989744167,ct,1432.7942,1979.6383,-9.647888,100,LongA,flameZ,76561197978835160,ct,false,false,ct,30.89821,14,44,0,true,head,false,false,0,0,t,false,21383,309.6154,2436.8408,97.42307,44,ExtendedA,Magisk,76561197983956651,t,mp9,17293822569149562914,27512960954,"",0,3
false,,,,,,,,,-40.030212,2213.1191,-129.55737,51,CTSpawn,TeSeS,76561197996678278,t,false,false,ct,19.522478,3,27,0,false,chest,false,false,0,0,t,false,21456,-798.2436,2089.2664,-104.27942,13,BDoors,ropz,76561197991272318,ct,ak47,17293822569165553671,23868618176,"",0,3
false,-798.2436,2089.2664,-104.27942,0.0,BDoors,ropz,76561197991272318,ct,-1150.486,2363.0405,16.127462,100,BDoors,mezii,76561197973140692,ct,false,false,ct,28.137714,3,26,0,false,chest,false,false,0,0,t,false,21547,-71.786316,2155.685,-127.51001,25,CTSpawn,TeSeS,76561197996678278,t,ak47,17293822569121185799,31980002385,"",0,3
false,,,,,,,,,332.94492,1973.9093,97.44401,49,ExtendedA,NiKo,76561198041683378,t,false,false,ct,31.361456,15,106,0,true,head,false,false,0,0,t,false,21696,1282.5146,2763.0205,127.03125,100,ARamp,apEX,76561197989744167,ct,ak47,17293822569146941447,39817899730,"",0,3
false,-798.2436,2089.2664,-104.27942,0.0,BDoors,ropz,76561197991272318,ct,1275.0284,1968.0798,0.66647005,100,LongA,flameZ,76561197978835160,ct,false,false,ct,14.979657,5,16,0,false,stomach,false,false,0,0,t,false,22196,1048.7192,2484.305,170.03125,1,BombsiteA,NiKo,76561198041683378,t,mp9,17293822569149562914,27512960954,"",0,3
false,,,,,,,,,741.3664,2336.6753,-46.08142,100,UnderA,ZywOo,76561198113666193,ct,false,false,ct,28.389736,0,41,0,false,stomach,false,false,0,0,t,false,28108,-346.94116,2091.594,-78.859375,18,MidDoors,m0NESY,76561198074762801,t,m4a1_silencer,17293822569179840572,41455687841,"",0,4
false,748.5504,2307.9058,-46.648376,100.0,UnderA,ZywOo,76561198113666193,ct,-789.2603,2130.4233,-108.263306,100,BDoors,ropz,76561197991272318,ct,false,false,ct,5.876906,0,97,0,true,head,false,false,0,0,t,false,28202,-557.42944,2127.3364,-119.798584,68,MidDoors,TeSeS,76561197996678278,t,mp9,17293822569104867362,43487623394,"",0,4
false,,,,,,,,,733.9684,2335.0146,-47.74872,100,UnderA,ZywOo,76561198113666193,ct,false,false,ct,35.75164,0,39,0,false,stomach,false,false,0,0,t,false,28300,-605.96875,1911.9688,-116.88672,7,MidDoors,Magisk,76561197983956651,t,m4a1_silencer,17293822569179840572,41455687841,"",0,4
false,1357.5897,2535.082,67.02835,100.0,ARamp,apEX,76561197989744167,ct,-660.6697,2210.4805,-120.65106,100,MidDoors,ropz,76561197991272318,ct,false,false,ct,14.322375,0,22,0,false,chest,false,false,0,0,t,false,28368,-351.86255,1740.3127,-122.76721,15,MidDoors,NiKo,76561198041683378,t,mp9,17293822569104867362,43487623394,"",0,4
false,1323.0858,2511.2522,70.34449,100.0,ARamp,apEX,76561197989744167,ct,-663.85626,2208.598,-120.51587,8,MidDoors,ropz,76561197991272318,ct,false,false,ct,15.715763,0,87,0,true,head,false,false,0,0,t,false,28390,-357.30164,1671.226,-127.32605,21,MidDoors,kyxsan,76561198057282432,t,mp9,17293822569104867362,43487623394,"",0,4
false,,,,,,,,,594.0458,2371.468,67.03125,73,UnderA,flameZ,76561197978835160,ct,false,false,ct,16.381548,4,13,0,false,chest,false,false,0,0,t,false,32878,421.4021,1751.098,103.03125,13,ShortStairs,NiKo,76561198041683378,t,mp9,17293822569104867362,43487623394,"",0,5
