ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1352,616.0527,2230.8525,-72.96875,100,UnderA,flameZ,76561197978835160,ct,weapon_knife_m9_bayonet,1
ct,false,t,1450,774.9694,2141.92,-52.954468,100,UnderA,ZywOo,76561198113666193,ct,weapon_knife_karambit,1
ct,false,t,1475,870.05457,2119.6543,-28.889832,100,UnderA,ZywOo,76561198113666193,ct,weapon_knife_karambit,1
ct,false,t,1501,968.9438,2096.5007,-8.271851,100,UnderA,ZywOo,76561198113666193,ct,weapon_knife_karambit,1
ct,false,t,1818,-1551.5225,2197.4082,-1.9396973,100,BombsiteB,ropz,76561197991272318,ct,weapon_knife_skeleton,1
ct,false,t,2043,363.96866,-388.88464,10.921875,100,OutsideLong,kyxsan,76561198057282432,t,weapon_flashbang,1
ct,false,t,2052,234.03049,-67.784,6.4292774,100,OutsideLong,Magisk,76561197983956651,t,weapon_smokegrenade,1
ct,false,t,2097,1475.4843,1733.6864,-7.656433,100,LongA,ZywOo,76561198113666193,ct,weapon_knife_karambit,1
ct,true,t,2160,1536.4418,1452.4312,1.0312514,100,LongA,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,true,t,2173,1531.8102,1457.9343,1.0312514,100,LongA,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,false,t,2175,546.8096,640.09735,1.3823242,100,LongDoors,m0NESY,76561198074762801,t,weapon_glock,1
ct,true,t,2184,1536.4452,1452.4978,1.0312514,91,LongA,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,false,t,2193,620.81,734.3735,0.9382677,100,LongDoors,NiKo,76561198041683378,t,weapon_glock,1
ct,true,t,2195,1524.7456,1466.3088,0.13189793,91,LongA,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,true,t,2231,1295.2123,679.0452,-27.426758,100,Pit,flameZ,76561197978835160,ct,weapon_usp_silencer,1
ct,false,t,2271,615.0964,930.15936,-0.03125,100,LongDoors,NiKo,76561198041683378,t,weapon_glock,1
ct,true,t,2273,1301.8636,680.06995,-27.074036,6,Pit,flameZ,76561197978835160,ct,weapon_usp_silencer,1
ct,false,t,2283,599.60474,920.01404,0.21861076,100,LongDoors,NiKo,76561198041683378,t,weapon_glock,1
ct,false,t,2378,586.78625,468.77032,1.2571344,100,LongDoors,kyxsan,76561198057282432,t,weapon_flashbang,1
ct,false,t,2431,544.01324,687.4094,1.3737326,100,LongDoors,Magisk,76561197983956651,t,weapon_glock,1
ct,false,t,2449,553.1443,675.27783,1.3308516,100,LongDoors,Magisk,76561197983956651,t,weapon_glock,1
ct,false,t,2526,621.5619,1128.0955,1.6726179,100,LongDoors,m0NESY,76561198074762801,t,weapon_molotov,1
ct,false,t,2797,1019.1529,724.6304,6.9664373,100,LongDoors,m0NESY,76561198074762801,t,weapon_glock,1
ct,true,t,2804,1747.6958,2149.9324,3.1175299,92,LongA,ZywOo,76561198113666193,ct,weapon_usp_silencer,1
ct,false,t,2809,1006.14105,731.1687,6.8998446,100,LongDoors,m0NESY,76561198074762801,t,weapon_glock,1
ct,false,t,2852,999.2888,733.96747,7.015528,100,LongDoors,m0NESY,76561198074762801,t,weapon_glock,1
ct,true,t,2854,1760.73,2143.3064,3.4405613,84,LongA,ZywOo,76561198113666193,ct,weapon_usp_silencer,1
ct,false,t,2863,986.33655,741.0755,7.1725492,100,LongDoors,m0NESY,76561198074762801,t,weapon_glock,1
ct,false,t,2924,1021.4639,706.5247,6.9227295,100,LongDoors,m0NESY,76561198074762801,t,weapon_glock,1
