entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
168,2447,3859,552.0028076171875,676.7718505859375,1.3362226486206055,100,LongDoors,Magisk,76561197983956651,t,1169.854248046875,2137.79150390625,3.1805427074432373,1
113,3657,5069,1268.03173828125,1403.2764892578125,0.7493467330932617,100,LongA,kyxsan,76561198057282432,t,1110.8369140625,2140.276611328125,3.187354803085327,1
505,7490,8902,403.8434143066406,206.47508239746094,-1.4129638671875,100,OutsideLong,NiKo,76561198041683378,t,1226.64453125,1168.46923828125,158.79283142089844,2
393,7778,9190,1042.162109375,749.4046630859375,8.184568405151367,100,LongDoors,apEX,76561197989744167,ct,645.2413940429688,677.079345703125,2.754824638366699,2
420,7799,9211,207.4397430419922,99.11192321777344,6.845604419708252,100,OutsideLong,Magisk,76561197983956651,t,-465.0142822265625,1595.3599853515625,49.8220329284668,2
437,9464,10876,-1435.316650390625,2146.525390625,55.125,100,BombsiteB,ropz,76561197991272318,ct,-1922.7733154296875,1540.6485595703125,38.275699615478516,2
422,9785,11197,1125.3837890625,2111.49267578125,1.0271964073181152,74,UnderA,ZywOo,76561198113666193,ct,383.2444152832031,1963.9697265625,98.03125,2
415,10638,12050,-559.658935546875,1408.8614501953125,-113.4788818359375,12,LowerTunnel,m0NESY,76561198074762801,t,-156.4815673828125,2214.14404296875,-53.94011306762695,2
277,17056,18468,-267.4619140625,2213.695068359375,-124.94378662109375,100,MidDoors,mezii,76561197973140692,ct,-432.91326904296875,2240.916259765625,-118.92971801757812,3
358,17572,18984,1569.4346923828125,1616.0225830078125,1.0312490463256836,100,LongA,ZywOo,76561198113666193,ct,541.6427001953125,681.074951171875,3.3080267906188965,3
443,18689,20101,-275.0306396484375,1447.99755859375,-27.96875,100,Middle,kyxsan,76561198057282432,t,-558.5704956054688,2186.2314453125,-121.58522033691406,3
394,19176,20588,1508.5196533203125,1915.5587158203125,-10.09637451171875,100,LongA,apEX,76561197989744167,ct,578.3703002929688,581.4490356445312,3.1629292964935303,3
231,19780,21192,-489.9661865234375,1647.0174560546875,-123.23272705078125,100,MidDoors,NiKo,76561198041683378,t,-206.66094970703125,2194.2529296875,-123.44915771484375,3
442,19812,21224,-1392.2774658203125,2132.25537109375,1.7124924659729004,100,BombsiteB,ropz,76561197991272318,ct,-1942.2677001953125,1593.7530517578125,35.31929016113281,3
508,24480,25892,1251.9808349609375,2038.03271484375,2.009094715118408,100,LongA,ZywOo,76561198113666193,ct,556.9318237304688,682.2876586914062,3.223971366882324,4
441,27684,,1473.207275390625,1636.6016845703125,-8.82891845703125,100,LongA,flameZ,76561197978835160,ct,559.4761962890625,611.532470703125,3.247574806213379,4
168,27924,,1260.8094482421875,2778.429443359375,127.03125,100,BombsiteA,apEX,76561197989744167,ct,461.24163818359375,1895.0074462890625,97.83891296386719,4
430,28082,,-1752.0709228515625,2772.973876953125,88.515625,100,BombsiteB,mezii,76561197973140692,ct,-1993.1556396484375,1540.735595703125,32.9229850769043,4
277,30199,31611,-304.041015625,2247.7373046875,-121.95269775390625,100,MidDoors,mezii,76561197973140692,ct,-353.8827209472656,2243.263671875,-120.80023193359375,5
164,30617,32029,304.6842041015625,-97.39599609375,-2.39434814453125,100,OutsideLong,kyxsan,76561198057282432,t,1422.1700439453125,1296.0830078125,-9.656817436218262,5
235,30869,32281,283.30401611328125,-117.2177734375,-0.910400390625,100,OutsideLong,Magisk,76561197983956651,t,-463.3164367675781,1595.452880859375,49.973514556884766,5
387,30938,32350,1541.838623046875,1406.83642578125,49.15625,100,LongA,flameZ,76561197978835160,ct,534.5369262695312,655.8106079101562,2.5835113525390625,5
393,32981,34393,-1534.0849609375,2141.495361328125,-2.23944091796875,100,BombsiteB,ropz,76561197991272318,ct,-1993.7508544921875,1653.7965087890625,32.99638366699219,5
168,33253,34665,1305.2239990234375,2497.26708984375,70.87913513183594,100,ARamp,ZywOo,76561198113666193,ct,432.76422119140625,1956.6861572265625,98.03125,5
342,34737,36149,-367.023681640625,1535.249755859375,-126.250244140625,100,MidDoors,kyxsan,76561198057282432,t,-154.29931640625,2209.298828125,-53.939971923828125,5
163,34847,36259,46.27626037597656,2080.483642578125,-124.2574462890625,100,CTSpawn,apEX,76561197989744167,ct,-473.80963134765625,2095.167236328125,-125.25074005126953,5
450,35666,37078,-1878.03125,1814.0313720703125,79.03125,100,BombsiteB,Magisk,76561197983956651,t,-1313.2637939453125,2273.910888671875,4.128096103668213,5
291,39932,41344,354.39324951171875,-393.8126220703125,2.260448455810547,100,OutsideLong,NiKo,76561198041683378,t,-449.8724670410156,1646.701416015625,-124.0116958618164,6
438,40083,41495,600.9112548828125,503.27960205078125,1.1650090217590332,100,LongDoors,m0NESY,76561198074762801,t,745.3604736328125,537.9494018554688,2.303748846054077,6
417,40202,41614,1267.912841796875,2052.54248046875,1.4717230796813965,100,LongA,ZywOo,76561198113666193,ct,546.8836669921875,719.329345703125,3.26025128364563,6
449,40313,41725,214.3143768310547,241.7270965576172,5.886157035827637,100,OutsideLong,kyxsan,76561198057282432,t,1341.2637939453125,1277.15966796875,-7.193785667419434,6
208,40545,41957,685.9655151367188,1188.8604736328125,4.119516372680664,89,LongDoors,Magisk,76561197983956651,t,571.8665771484375,1105.4884033203125,4.609329700469971,6
431,41390,42802,1559.677734375,1171.45703125,1.0312519073486328,100,LongA,flameZ,76561197978835160,ct,598.687255859375,656.3248291015625,3.0154383182525635,6
432,43185,44597,-1584.3619384765625,2427.787353515625,-0.03125,100,BombsiteB,mezii,76561197973140692,ct,-2005.021728515625,1577.2022705078125,33.29030227661133,6
84,43288,44700,-2174.958984375,1154.1881103515625,35.375099182128906,27,UpperTunnel,TeSeS,76561197996678278,t,-2005.852294921875,1841.273193359375,10.03124713897705,6
354,45043,46455,-1435.73779296875,1959.8807373046875,5.051035404205322,100,BombsiteB,ropz,76561197991272318,ct,-2034.7747802734375,1619.4754638671875,34.23870849609375,6
181,48788,50200,-263.2054443359375,2199.726806640625,-125.70770263671875,100,MidDoors,mezii,76561197973140692,ct,-415.3150634765625,2236.65380859375,-119.76200103759766,7
450,48974,50386,465.18255615234375,-1.4791259765625,-4.50537109375,100,OutsideLong,TeSeS,76561197996678278,t,1297.6534423828125,1126.66259765625,-1.0990993976593018,7
291,49072,50484,599.5185546875,599.0835571289062,1.1233749389648438,100,LongDoors,Magisk,76561197983956651,t,667.8369140625,606.1361083984375,2.6738696098327637,7
104,50462,51874,957.6690063476562,2205.246826171875,-0.73504638671875,100,UnderA,ZywOo,76561198113666193,ct,1410.6064453125,1443.296875,-6.476296424865723,7
372,51751,53163,-491.9683837890625,-304.7864990234375,26.3125,100,TopofMid,NiKo,76561198041683378,t,-393.45947265625,1640.420166015625,-125.44229888916016,7
442,51846,53258,-1693.9114990234375,2095.20068359375,-6.30841064453125,100,BombsiteB,ropz,76561197991272318,ct,-2030.532470703125,1624.73681640625,34.15623092651367,7
125,51924,53336,618.0906982421875,674.443603515625,0.984504222869873,100,LongDoors,Magisk,76561197983956651,t,1102.837890625,2147.523681640625,3.3291690349578857,7
276,59886,61298,-243.3035888671875,2068.9267578125,-127.0904541015625,100,CTSpawn,mezii,76561197973140692,ct,-386.77667236328125,2247.363037109375,-119.0239486694336,8
443,60180,61592,1307.227294921875,1365.7408447265625,1.03125,100,LongA,flameZ,76561197978835160,ct,1251.0286865234375,929.5780639648438,1.3389840126037598,8
89,60370,61782,671.5753173828125,516.384033203125,0.7875685691833496,100,LongDoors,Magisk,76561197983956651,t,533.2698974609375,697.9609375,3.34458065032959,8
364,60473,61885,683.96875,-407.9681396484375,58.296875,100,OutsideLong,kyxsan,76561198057282432,t,1373.0726318359375,1230.1630859375,-8.16790771484375,8
344,60848,62260,-549.9630737304688,2389.225830078125,-101.0120849609375,100,MidDoors,ropz,76561197991272318,ct,-2040.6402587890625,1593.969970703125,34.40310287475586,8
352,62268,63680,992.6624145507812,2332.447265625,22.21339988708496,99,UnderA,flameZ,76561197978835160,ct,1375.852783203125,1353.3255615234375,-8.667440414428711,8
126,63203,64615,192.43118286132812,95.64075469970703,8.005632400512695,100,OutsideLong,kyxsan,76561198057282432,t,-460.29583740234375,1602.6279296875,50.05855178833008,8
375,63582,64994,1156.7481689453125,2071.593017578125,1.365128517150879,99,UnderA,flameZ,76561197978835160,ct,1367.369140625,1343.5072021484375,-8.543139457702637,8
126,69112,70524,363.968505859375,-386.2752685546875,60.546875,100,OutsideLong,Magisk,76561197983956651,t,1247.190673828125,1136.40478515625,1.441361665725708,9
141,69388,70800,1508.5567626953125,1852.5206298828125,-8.27642822265625,100,LongA,ZywOo,76561198113666193,ct,545.289794921875,372.7154541015625,3.4409079551696777,9
366,70218,71630,1577.6002197265625,1131.0771484375,0.844435453414917,100,LongA,flameZ,76561197978835160,ct,527.641845703125,650.5012817382812,3.397372245788574,9
359,70686,72098,-1727.6103515625,993.9179077148438,36.36367416381836,100,UpperTunnel,TeSeS,76561197996678278,t,-1960.09814453125,1841.9296875,10.03124713897705,9
379,72170,73582,471.7400817871094,1645.0755615234375,2.7576260566711426,100,ShortStairs,kyxsan,76561198057282432,t,520.54833984375,2085.95556640625,126.51189422607422,9
365,72260,73672,-1469.6697998046875,2418.395263671875,-0.1688232421875,100,BombsiteB,mezii,76561197973140692,ct,-2010.234375,1665.3251953125,33.650508880615234,9
422,73072,,391.53631591796875,2482.4990234375,-119.94573974609375,100,CTSpawn,apEX,76561197989744167,ct,-448.54986572265625,1648.04443359375,-123.94530487060547,9
412,75768,77180,643.5061645507812,299.51861572265625,1.0489068031311035,100,LongDoors,Magisk,76561197983956651,t,555.7152099609375,523.8628540039062,3.3116261959075928,10
408,76003,77415,-1554.2779541015625,1793.0496826171875,0.03124856948852539,100,BombsiteB,ropz,76561197991272318,ct,-2044.7645263671875,1573.4185791015625,34.96222686767578,10
82,76335,77747,985.5751953125,856.8145751953125,0.8487534523010254,100,LongDoors,flameZ,76561197978835160,ct,758.9327392578125,541.5172119140625,2.2299859523773193,10
232,76929,78341,164.0817413330078,133.92088317871094,8.031251907348633,100,OutsideLong,kyxsan,76561198057282432,t,-458.4532470703125,1602.5223388671875,50.1693229675293,10
425,78301,79713,-645.4359741210938,2519.52099609375,-79.36395263671875,100,MidDoors,mezii,76561197973140692,ct,-386.05853271484375,1627.9869384765625,-125.41753387451172,10
89,78633,80045,1569.5028076171875,1444.6287841796875,1.0312519073486328,100,LongA,ZywOo,76561198113666193,ct,532.5672607421875,612.688720703125,3.3905014991760254,10
288,79053,80465,-359.5372314453125,1332.525390625,-124.72552490234375,99,Middle,TeSeS,76561197996678278,t,-404.33306884765625,1632.0635986328125,-124.70128631591797,10
384,79872,81284,1232.2154541015625,2997.226318359375,128.4016876220703,100,BombsiteA,NiKo,76561198041683378,t,581.6341552734375,2205.4169921875,-108.9539566040039,10
428,86172,87584,-491.96826171875,-349.8619384765625,0.8636488914489746,100,TopofMid,kyxsan,76561198057282432,t,-449.2236022949219,1644.4488525390625,-124.02684783935547,11
71,89052,90464,-634.5700073242188,1484.88671875,-111.71343994140625,1,LowerTunnel,NiKo,76561198041683378,t,-427.7896728515625,1631.9151611328125,-124.20542907714844,11
296,89660,91072,876.972900390625,2253.458251953125,-15.2763671875,100,UnderA,mezii,76561197973140692,ct,339.35089111328125,1939.56640625,98.07711029052734,11
137,91424,92836,341.0666198730469,2166.533203125,97.1553955078125,100,ExtendedA,m0NESY,76561198074762801,t,449.2955627441406,1615.047607421875,4.126861095428467,11
384,92216,93628,342.46282958984375,2505.343994140625,96.81590270996094,83,ExtendedA,TeSeS,76561197996678278,t,105.19869995117188,1505.5465087890625,2.545990228652954,11
80,93882,,837.6949462890625,2559.362060546875,94.36846923828125,94,BombsiteA,Magisk,76561197983956651,t,584.9942016601562,2183.369140625,-110.42832946777344,11
380,98626,100038,528.7680053710938,2257.965087890625,-113.2633056640625,100,CTSpawn,ZywOo,76561198113666193,ct,-426.1709289550781,2136.7744140625,-126.19454193115234,12
277,99198,100610,1484.6871337890625,1768.1318359375,-7.55389404296875,100,LongA,ZywOo,76561198113666193,ct,545.2899780273438,691.3734130859375,3.2832589149475098,12
