tick,event,X,Y,Z,steamid,name,bombsite,round_num
389,drop,-1916.0,1456.2332,-171.96875,76561197978835160,flameZ,,1
396,pickup,-1925.0,1394.0,-171.96875,76561198113666193,ZywOo,,1
1624,drop,-1542.3578,1398.6855,-171.96875,76561198113666193,ZywOo,,1
1631,pickup,-1461.0483,1365.9218,-171.96875,76561197989744167,apEX,,1
2600,drop,-1238.0331,-432.5166,-98.53052,76561197989744167,apEX,,1
6236,pickup,-1182.4857,-379.86902,-132.96875,76561197973140692,mezii,,1
7874,plant,229.03464,-1293.8092,-350.96875,76561197973140692,mezii,BombsiteB,1
9672,defuse,238.29572,-1352.904,-350.96875,76561198041683378,NiKo,BombsiteB,1
9992,pickup,-1284.8153,-595.1837,-88.96875,76561197991272318,ropz,,2
11634,drop,-908.45435,1284.8329,-213.96875,76561197991272318,ropz,,2
11722,pickup,-687.37463,1423.3617,-215.96875,76561197989744167,apEX,,2
13554,drop,-116.39838,440.08173,-215.96875,76561197989744167,apEX,,2
13886,pickup,-418.74805,-175.27124,-215.96875,76561198113666193,ZywOo,,3
15567,drop,-739.2373,1286.7797,-215.96875,76561198113666193,ZywOo,,3
15574,pickup,-677.60895,1324.8617,-215.96875,76561197978835160,flameZ,,3
19688,drop,-962.48303,-781.9078,-153.96875,76561197978835160,flameZ,,3
20505,pickup,-591.8909,-518.1984,-35.72766,76561197973140692,mezii,,4
22059,drop,-968.3162,1450.8611,-215.96875,76561197973140692,mezii,,4
22082,pickup,-1084.8995,1321.6642,-215.96875,76561198113666193,ZywOo,,4
26074,plant,-313.0321,-1264.5872,-350.96875,76561198113666193,ZywOo,BombsiteB,4
27347,pickup,-560.10486,-846.9309,-318.96875,76561197989744167,apEX,,5
30550,drop,-889.71606,478.28918,-215.96875,76561197989744167,apEX,,5
36307,pickup,-822.6253,-1671.0321,-153.96875,76561197978835160,flameZ,,6
36443,drop,-1955.0,1326.0,-171.96875,76561197978835160,flameZ,,6
36450,pickup,-1925.0,1394.0,-171.96875,76561198113666193,ZywOo,,6
36593,drop,-1925.0,1394.0,-171.96875,76561198113666193,ZywOo,,6
37666,pickup,-1793.0963,1367.669,-171.96875,76561197973140692,mezii,,6
37950,drop,-708.2203,1458.2195,-215.96875,76561197973140692,mezii,,6
40048,pickup,-532.683,1315.2297,-210.46875,76561197989744167,apEX,,6
43303,drop,-113.92578,-159.20789,-215.96875,76561197989744167,apEX,,6
43623,pickup,-70.58154,-37.171875,-215.96875,76561197991272318,ropz,,6
43922,pickup,677.275,-115.73633,-215.96875,76561197991272318,ropz,,7
47609,drop,-1295.781,1342.4463,-164.96875,76561197991272318,ropz,,7
48362,pickup,-1092.6837,1294.0602,-215.96875,76561197989744167,apEX,,7
50093,plant,659.0341,-94.24933,-215.96875,76561197989744167,apEX,BombsiteA,7
52717,detonate,-1205.0803,1304.2515,-208.67188,76561197989744167,apEX,,7
53037,pickup,-279.6281,588.2605,-215.96875,76561198113666193,ZywOo,,8
56702,drop,-978.48553,-1086.5968,-153.96875,76561198113666193,ZywOo,,8
56727,pickup,-917.422,-872.3388,-153.96875,76561197973140692,mezii,,8
57942,plant,-313.04248,-1289.7273,-350.96875,76561197973140692,mezii,BombsiteB,8
58109,pickup,-178.78857,-936.9623,-318.96875,76561197973140692,mezii,,9
62060,drop,-709.0108,1348.6075,-215.96875,76561197973140692,mezii,,9
62842,pickup,-551.7046,1281.6005,-210.46875,76561197978835160,flameZ,,9
62942,drop,-466.18713,1390.369,-210.46875,76561197978835160,flameZ,,9
63038,pickup,-448.13623,1384.0314,-211.26715,76561197978835160,flameZ,,9
63066,drop,-450.34003,1384.0317,-211.26709,76561197978835160,flameZ,,9
65203,pickup,-425.84125,1424.0299,-215.97546,76561197973140692,mezii,,9
66378,drop,-355.76282,1457.389,-216.08533,76561197973140692,mezii,,9
66780,pickup,-208.8775,1531.8287,-197.67188,76561197989744167,apEX,,9
67660,drop,-516.24457,517.9671,-215.96875,76561197989744167,apEX,,9
68093,pickup,-515.42285,517.9666,-215.96875,76561197989744167,apEX,,10
72202,drop,1219.48,582.1163,-211.96875,76561197989744167,apEX,,10
73022,pickup,-439.0542,440.02502,-215.96875,76561197978835160,flameZ,,11
74655,drop,-946.8646,934.116,-113.96948,76561197978835160,flameZ,,11
74710,pickup,-944.9734,872.3235,-67.95947,76561198113666193,ZywOo,,11
78322,plant,-313.0326,-1286.9319,-350.96875,76561198113666193,ZywOo,BombsiteB,11
80628,defuse,-313.03125,-1286.3337,-350.96875,76561198057282432,kyxsan,BombsiteB,11
80948,pickup,-1138.8092,-660.4351,-91.212585,76561197991272318,ropz,,12
84840,drop,-935.28906,1053.761,-170.96875,76561197991272318,ropz,,12
84865,pickup,-932.7693,1041.9547,-170.96875,76561198113666193,ZywOo,,12
89221,drop,-276.71545,-1000.94727,-193.86829,76561198113666193,ZywOo,,12
106618,drop,672.312,-83.47583,-215.96875,76561198057282432,kyxsan,,13
107850,pickup,655.3317,-254.24219,-215.96875,76561197983956651,Magisk,,13
108137,plant,524.86426,-196.03217,-215.96875,76561197983956651,Magisk,BombsiteA,13
109791,defuse,564.4869,-225.56598,-215.96875,76561197989744167,apEX,BombsiteA,13
110111,pickup,150.99059,335.38525,-215.96875,76561198041683378,NiKo,,14
110321,drop,-1916.0,1456.2332,-171.96875,76561198041683378,NiKo,,14
111521,pickup,-1820.1909,1371.8419,-171.96875,76561197996678278,TeSeS,,14
111718,drop,-1058.1956,1405.6145,-215.96875,76561197996678278,TeSeS,,14
112034,pickup,-887.4079,1285.0181,-199.90625,76561198057282432,kyxsan,,14
113810,drop,-945.4146,-46.732666,16.03125,76561198057282432,kyxsan,,14
113829,pickup,-896.9269,-209.99023,16.03125,76561198041683378,NiKo,,14
116367,drop,-651.021,-363.8474,-213.46875,76561198041683378,NiKo,,14
116374,pickup,-568.03125,-300.0335,-213.46875,76561198074762801,m0NESY,,14
118259,plant,193.96916,-1278.9952,-278.83466,76561198074762801,m0NESY,BombsiteB,14
120639,pickup,-185.00012,149.5944,-215.96875,76561197983956651,Magisk,,15
120812,drop,-1850.0,1256.0,-171.96875,76561197983956651,Magisk,,15
120835,pickup,-1925.0,1394.0,-171.96875,76561198041683378,NiKo,,15
121054,drop,-1925.0,1394.0,-171.96875,76561198041683378,NiKo,,15
122143,drop,-1026.7316,1314.2871,-215.96875,76561197983956651,Magisk,,15
122397,pickup,-603.81793,1301.3525,-215.96875,76561197996678278,TeSeS,,15
122980,drop,-603.7505,1298.5652,-215.96875,76561197996678278,TeSeS,,15
122994,pickup,-738.2549,1301.0494,-215.96875,76561198057282432,kyxsan,,15
125024,plant,-313.05078,-1300.1514,-350.96875,76561198057282432,kyxsan,BombsiteB,15
127648,detonate,1728.6829,-1619.4874,-275.79688,76561198057282432,kyxsan,,15
127968,pickup,1765.9688,-1296.0333,-320.02448,76561198057282432,kyxsan,,16
128195,drop,-2000.0,1434.2332,-171.96875,76561198057282432,kyxsan,,16
128202,pickup,-1925.0,1394.0,-171.96875,76561198041683378,NiKo,,16
128708,drop,-1925.0,1394.0,-171.96875,76561198041683378,NiKo,,16
128715,pickup,-1955.0,1326.0,-171.96875,76561198074762801,m0NESY,,16
132382,drop,-30.315674,-39.689087,-215.96875,76561198074762801,m0NESY,,16
132517,pickup,-52.93463,406.6284,-215.96875,76561197996678278,TeSeS,,17
136010,drop,-1649.1423,1416.2335,-171.96875,76561197996678278,TeSeS,,17
136064,pickup,-1730.6426,1393.0702,-171.96875,76561198057282432,kyxsan,,17
136268,drop,-1276.8787,1419.776,-175.29431,76561198057282432,kyxsan,,17
137356,pickup,-791.41406,1323.1338,-215.96875,76561198057282432,kyxsan,,17
138226,drop,-685.0992,1464.2375,-190.32812,76561198057282432,kyxsan,,17
138271,pickup,-413.5271,1596.0797,-216.60211,76561198074762801,m0NESY,,17
142042,drop,654.93823,200.24544,-215.96875,76561198074762801,m0NESY,,17
142635,pickup,654.93823,200.24544,-215.96875,76561198074762801,m0NESY,,18
148861,drop,-443.3581,-354.05627,-214.96875,76561198074762801,m0NESY,,18
149009,pickup,-297.63483,-130.01971,-215.96875,76561198057282432,kyxsan,,18
149410,drop,218.56932,-21.968506,-215.96875,76561198057282432,kyxsan,,18
150148,pickup,303.69943,-1.1235352,-215.96875,76561198074762801,m0NESY,,18
150660,plant,659.03284,-112.824524,-215.96875,76561198074762801,m0NESY,BombsiteA,18
151142,pickup,-432.3402,-1017.5845,-350.96875,76561198041683378,NiKo,,19
151246,drop,-1925.0,1394.0,-171.96875,76561198041683378,NiKo,,19
152491,pickup,-1778.3218,1414.0028,-171.96875,76561198074762801,m0NESY,,19
152799,drop,-929.91534,1142.729,-181.41876,76561198074762801,m0NESY,,19
152906,pickup,-910.0508,1095.8264,-170.96875,76561197983956651,Magisk,,19
152935,drop,-943.72,989.2792,-155.04333,76561197983956651,Magisk,,19
153695,pickup,-979.4927,984.0996,-151.1867,76561198057282432,kyxsan,,19
156690,plant,89.86489,-1378.0327,-350.96875,76561198057282432,kyxsan,BombsiteB,19
