armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
0,-1096.7546,-301.99243,-188.84937,100.0,LongDog,m0NESY,76561198074762801,ct,ct,0,34,66,chest,t,2577,-1240.4336,-430.13135,-100.22333,100,LongDog,apEX,76561197989744167,t,elite,34,1
0,-1093.174,-302.62787,-191.58154,100.0,LongDog,m0NESY,76561198074762801,ct,ct,0,34,32,chest,t,2584,-1238.678,-427.08508,-102.38513,66,LongDog,apEX,76561197989744167,t,elite,34,1
0,-1103.1814,-312.80933,-183.9455,100.0,LongDog,m0NESY,76561198074762801,ct,ct,0,34,0,chest,t,2600,-1238.0331,-432.5166,-98.53052,32,LongDog,apEX,76561197989744167,t,elite,32,1
93,-1317.75,-450.8103,-88.96875,100.0,LongDog,ropz,76561197991272318,t,ct,7,13,87,chest,t,2620,-1159.8329,-302.87506,-140.7185,100,LongDog,m0NESY,76561198074762801,ct,glock,13,1
86,-1312.2728,-466.6751,-88.96875,100.0,LongDog,ropz,76561197991272318,t,ct,7,13,74,left_arm,t,2630,-1177.5742,-300.0321,-132.96875,87,LongDog,m0NESY,76561198074762801,ct,glock,13,1
94,-1078.3906,-300.0327,-202.8617,100.0,LongDog,Magisk,76561197983956651,ct,ct,6,18,82,chest,t,2637,-1309.8615,-486.3894,-88.96875,100,LongDog,ropz,76561197991272318,t,elite,18,1
87,-1175.2063,-308.87347,-132.96875,74.0,LongDog,m0NESY,76561198074762801,ct,ct,7,19,63,chest,t,2642,-1308.4602,-497.03516,-88.96875,82,LongDog,ropz,76561197991272318,t,elite,19,1
80,-1171.488,-313.34198,-132.96875,74.0,LongDog,m0NESY,76561198074762801,ct,ct,7,19,44,chest,t,2649,-1310.6693,-502.75555,-88.96875,63,LongDog,ropz,76561197991272318,t,elite,19,1
86,-1312.6631,-503.66394,-88.96875,44.0,LongDog,ropz,76561197991272318,t,ct,0,111,0,head,t,2653,-1172.9548,-311.44604,-132.96875,74,LongDog,m0NESY,76561198074762801,ct,glock,74,1
73,-1215.9359,-302.6676,-132.96875,100.0,LongDog,Magisk,76561197983956651,ct,ct,7,19,25,right_arm,t,2910,-1241.3518,-594.99426,-88.96875,44,LongDog,ropz,76561197991272318,t,elite,19,1
