round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1264,9672,9992,ct,bomb_defused,7874,bombsite_b
2,9992,11272,13566,13886,ct,t_killed,,not_planted
3,13886,15166,20185,20505,ct,t_killed,,not_planted
4,20505,21785,27027,27347,t,ct_killed,26074,bombsite_b
5,27347,28627,35987,36307,ct,time_ran_out,,not_planted
6,36307,37587,43602,43922,t,ct_killed,,not_planted
7,43922,47413,52717,53037,t,bomb_exploded,50093,bombsite_b
8,53037,54317,57789,58109,t,ct_killed,,not_planted
9,58109,61531,67773,68093,ct,t_killed,,not_planted
10,68093,69373,72702,73022,ct,t_killed,,not_planted
11,73022,74302,80628,80948,ct,bomb_defused,78322,bombsite_b
12,80948,84497,89598,90142,ct,t_killed,,not_planted
13,90142,105177,109791,110111,ct,bomb_defused,108137,bombsite_b
14,110111,111391,120319,120639,t,ct_killed,118259,bombsite_b
15,120639,121919,127648,127968,t,bomb_exploded,125024,bombsite_b
16,127968,129248,132197,132517,t,ct_killed,,not_planted
17,132517,135915,142315,142635,ct,t_killed,,not_planted
18,142635,143915,150822,151142,t,ct_killed,150660,bombsite_b
19,151142,152422,158136,158136,t,ct_killed,156690,bombsite_b
