ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1511,930.2916,-840.99536,-266.85938,100,BombsiteB,m0NESY,76561198074762801,ct,weapon_knife_butterfly,1
ct,false,t,1724,-937.82764,816.10547,-26.100159,100,TStairs,ropz,76561197991272318,t,weapon_knife_skeleton,1
ct,false,t,1758,-943.9204,684.4699,-0.96875,100,TSideUpper,ropz,76561197991272318,t,weapon_knife_skeleton,1
ct,false,t,2120,490.11343,-245.16101,-215.96875,100,BombsiteA,kyxsan,76561198057282432,ct,weapon_knife_m9_bayonet,1
ct,false,t,2154,-958.2449,-285.87158,20.03125,100,TSideUpper,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2167,-976.7642,-297.51703,20.03125,100,TSideUpper,ropz,76561197991272318,t,weapon_glock,1
ct,true,t,2291,-930.7576,-1758.9547,-153.96875,100,BackofB,NiKo,76561198041683378,ct,weapon_usp_silencer,1
ct,false,t,2294,-990.96295,55.7149,16.03125,100,TSideUpper,ZywOo,76561198113666193,t,weapon_p250,1
ct,false,t,2297,-1001.1867,-538.7268,-88.96875,100,BackofB,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2308,-1004.14966,-525.8527,-87.65527,100,BackofB,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2577,-1096.7546,-301.99243,-188.84937,100,LongDog,m0NESY,76561198074762801,ct,weapon_elite,1
ct,false,t,2584,-1093.174,-302.62787,-191.58154,100,LongDog,m0NESY,76561198074762801,ct,weapon_elite,1
ct,false,t,2592,-1092.7163,-311.23108,-191.93073,100,LongDog,m0NESY,76561198074762801,ct,weapon_elite,1
ct,false,t,2598,-1238.0321,-430.33252,-100.08057,32,LongDog,apEX,76561197989744167,t,weapon_p250,1
ct,false,t,2600,-1103.1814,-312.80933,-183.9455,100,LongDog,m0NESY,76561198074762801,ct,weapon_elite,1
ct,false,t,2601,-1310.2056,-468.87024,-88.96875,100,LongDog,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2602,-1045.3827,-300.19263,-213.46875,100,LongDog,Magisk,76561197983956651,ct,weapon_elite,1
ct,false,t,2610,-1127.5645,-307.30676,-165.34045,100,LongDog,m0NESY,76561198074762801,ct,weapon_elite,1
ct,false,t,2611,-1315.5791,-456.43207,-88.96875,100,LongDog,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2612,-1034.4253,-307.54712,-213.46875,100,LongDog,Magisk,76561197983956651,ct,weapon_elite,1
ct,false,t,2617,-1150.0388,-305.2306,-148.19177,100,LongDog,m0NESY,76561198074762801,ct,weapon_elite,1
ct,false,t,2620,-1317.75,-450.8103,-88.96875,100,LongDog,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2620,-1038.2416,-304.15906,-213.46875,100,LongDog,Magisk,76561197983956651,ct,weapon_elite,1
ct,false,t,2625,-1170.3926,-300.0321,-132.96875,87,LongDog,m0NESY,76561198074762801,ct,weapon_elite,1
ct,false,t,2629,-1056.3225,-303.05347,-213.46875,100,LongDog,Magisk,76561197983956651,ct,weapon_elite,1
ct,false,t,2630,-1312.2728,-466.6751,-88.96875,100,LongDog,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2633,-1179.6565,-301.01434,-132.96875,74,LongDog,m0NESY,76561198074762801,ct,weapon_elite,1
