tick,event,X,Y,Z,steamid,name,bombsite,round_num
4323,drop,1759.181,43.823837,128.93433,76561197983956651,Magisk,,1
4586,pickup,1960.5922,81.06315,126.73885,76561198057282432,kyxsan,,1
4671,drop,2035.8008,295.66553,160.03125,76561198057282432,kyxsan,,1
4990,pickup,1759.5844,47.552086,128.94048,76561197983956651,Magisk,,2
13131,drop,746.26483,2381.0222,136.03146,76561197983956651,Magisk,,2
13458,pickup,811.5236,2400.0234,136.03146,76561197996678278,TeSeS,,3
14215,drop,-1586.52,440.79,-63.96875,76561197996678278,TeSeS,,3
14222,pickup,-1657.23,419.577,-63.96875,76561198057282432,kyxsan,,3
16881,drop,1930.2892,-195.91125,260.03125,76561198057282432,kyxsan,,3
20088,pickup,1932.4347,-196.79602,260.03125,76561198057282432,kyxsan,,4
20224,drop,-1520.06,430.891,-63.96875,76561198057282432,kyxsan,,4
20231,pickup,-1586.52,440.79,-63.96875,76561198041683378,NiKo,,4
20481,drop,-1586.52,440.79,-63.96875,76561198041683378,NiKo,,4
21409,pickup,-1593.4182,270.93085,-63.96875,76561197996678278,TeSeS,,4
22140,drop,-551.69775,274.6026,128.96916,76561197996678278,TeSeS,,4
23293,pickup,-537.66077,111.73925,210.0,76561198074762801,m0NESY,,4
25551,drop,242.90619,1677.8552,115.22876,76561198074762801,m0NESY,,4
27185,pickup,365.4166,1683.5698,134.03128,76561197983956651,Magisk,,4
27345,drop,293.97217,1829.5468,128.02495,76561197983956651,Magisk,,4
27665,pickup,244.61758,1676.3608,115.20132,76561198074762801,m0NESY,,5
31389,drop,-774.05334,591.0629,-31.022278,76561198074762801,m0NESY,,5
32570,pickup,-382.56232,713.99817,-19.206665,76561198057282432,kyxsan,,5
32912,drop,-132.0658,895.6437,52.361336,76561198057282432,kyxsan,,5
33037,pickup,-160.66553,798.9492,46.167698,76561198057282432,kyxsan,,5
33817,drop,-86.89508,906.9302,64.94621,76561198057282432,kyxsan,,5
34243,pickup,145.30424,721.3106,83.03125,76561198074762801,m0NESY,,5
37349,drop,736.62695,2866.3657,139.72493,76561198074762801,m0NESY,,5
38111,pickup,629.1548,2933.881,201.03125,76561198041683378,NiKo,,6
38267,drop,-1657.23,419.577,-63.96875,76561198041683378,NiKo,,6
38274,pickup,-1586.52,440.79,-63.96875,76561198057282432,kyxsan,,6
38412,drop,-1586.52,440.79,-63.96875,76561198057282432,kyxsan,,6
38419,pickup,-1657.23,419.577,-63.96875,76561198041683378,NiKo,,6
39363,drop,-1657.23,419.577,-63.96875,76561198041683378,NiKo,,6
39370,pickup,-1586.52,440.79,-63.96875,76561198057282432,kyxsan,,6
42033,drop,1622.6525,1070.6077,157.96103,76561198057282432,kyxsan,,6
42169,pickup,1740.0015,1040.9379,158.59273,76561197996678278,TeSeS,,6
42265,drop,1985.937,1057.622,169.95598,76561197996678278,TeSeS,,6
43646,pickup,2404.9016,806.44617,162.12433,76561197983956651,Magisk,,7
44124,drop,-1675.62,351.695,-63.96875,76561197983956651,Magisk,,7
44131,pickup,-1662.18,288.762,-63.96875,76561198057282432,kyxsan,,7
45171,drop,-970.96954,537.75635,-33.3125,76561198057282432,kyxsan,,7
47357,pickup,-452.29724,676.47516,-30.531189,76561197996678278,TeSeS,,7
48530,plant,545.6861,2935.796,161.53123,76561197996678278,TeSeS,BombsiteB,7
51154,detonate,61.105995,2497.5115,161.03125,76561197996678278,TeSeS,,7
51474,pickup,61.033638,2497.7998,161.03125,76561197996678278,TeSeS,,8
51940,drop,-1662.18,288.762,-63.96875,76561197996678278,TeSeS,,8
51947,pickup,-1675.62,351.695,-63.96875,76561198057282432,kyxsan,,8
53109,drop,-726.1359,606.78424,-31.932983,76561198057282432,kyxsan,,8
53140,pickup,-464.19983,646.86163,4.3125,76561198074762801,m0NESY,,8
53190,drop,-422.73285,723.0052,-26.501404,76561198074762801,m0NESY,,8
53382,pickup,-467.48303,643.6433,-31.135742,76561197996678278,TeSeS,,8
54135,drop,45.501396,847.5221,119.390625,76561197996678278,TeSeS,,8
54436,pickup,143.25592,952.76984,82.03227,76561198057282432,kyxsan,,8
55378,drop,99.67533,755.18713,80.45353,76561198057282432,kyxsan,,8
56056,pickup,140.7188,765.40643,80.03125,76561197996678278,TeSeS,,8
58034,plant,544.52264,2927.8657,161.53123,76561197996678278,TeSeS,BombsiteB,8
60658,detonate,-406.2948,613.58234,33.078125,76561197996678278,TeSeS,,8
60978,pickup,818.70447,2375.8904,136.03146,76561198057282432,kyxsan,,9
61180,drop,-1662.18,288.762,-63.96875,76561198057282432,kyxsan,,9
61187,pickup,-1675.62,351.695,-63.96875,76561198041683378,NiKo,,9
63715,drop,-1675.62,351.695,-63.96875,76561198041683378,NiKo,,9
63722,pickup,-1662.18,288.762,-63.96875,76561198057282432,kyxsan,,9
63849,drop,-1662.18,288.762,-63.96875,76561198057282432,kyxsan,,9
