armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
100,2561.57,-81.70398,95.36666,100.0,Pit,mezii,76561197973140692,ct,ct,0,112,0,head,t,4157,1383.0875,61.659096,132.03125,100,TopofMid,NiKo,76561198041683378,t,hkp2000,100,1
93,1989.0325,-165.08496,256.03125,100.0,Balcony,ropz,76561197991272318,ct,ct,7,20,80,chest,t,4207,1834.3733,-265.15222,261.03125,100,Apartments,TeSeS,76561197996678278,t,elite,20,1
93,1997.777,-178.92749,256.03125,100.0,Balcony,ropz,76561197991272318,ct,ct,0,139,0,head,t,4215,1835.811,-262.5785,261.03125,80,Apartments,TeSeS,76561197996678278,t,elite,80,1
93,2567.4465,-52.02069,96.92586,100.0,Pit,mezii,76561197973140692,ct,ct,7,15,85,right_arm,t,4273,1872.1895,16.082811,125.28641,100,BombsiteA,m0NESY,76561198074762801,t,hkp2000,15,1
93,2033.257,-183.53015,262.03125,100.0,Balcony,ropz,76561197991272318,ct,ct,0,133,0,head,t,4286,1895.9697,22.493528,125.075676,85,BombsiteA,m0NESY,76561198074762801,t,elite,85,1
0,2566.7905,-62.685303,96.18701,100.0,Pit,mezii,76561197973140692,ct,ct,0,120,0,head,t,4323,1759.181,43.823837,128.93433,100,BombsiteA,Magisk,76561197983956651,t,hkp2000,100,1
98,1932.6133,18.593369,125.2616,100.0,BombsiteA,kyxsan,76561198057282432,t,ct,2,5,95,chest,t,4382,2564.5918,-80.38306,95.18439,100,Pit,mezii,76561197973140692,ct,glock,5,1
0,2562.9163,-91.564575,94.62209,95.0,Pit,mezii,76561197973140692,ct,ct,0,31,69,chest,t,4404,1942.4226,9.927811,125.286415,100,BombsiteA,kyxsan,76561198057282432,t,hkp2000,31,1
93,1948.8063,-1.9647217,125.29862,69.0,BombsiteA,kyxsan,76561198057282432,t,ct,7,13,87,chest,t,4461,2025.381,-173.60345,262.03125,100,Balcony,ropz,76561197991272318,ct,glock,13,1
0,2019.861,-177.14075,261.96542,87.0,Balcony,ropz,76561197991272318,ct,ct,0,34,35,chest,t,4467,1947.6672,-0.66778564,125.297295,69,BombsiteA,kyxsan,76561198057282432,t,elite,34,1
93,1951.9688,-1.9660645,125.29862,35.0,BombsiteA,kyxsan,76561198057282432,t,ct,0,111,0,head,t,4483,2009.88,-182.13776,256.97495,87,Balcony,ropz,76561197991272318,ct,glock,87,1
0,2535.4275,1299.0118,160.03125,100.0,Library,ZywOo,76561198113666193,ct,ct,0,11,89,chest,t,4633,2430.3594,1113.1289,169.03125,100,Library,apEX,76561197989744167,ct,hkp2000,11,1
0,2535.4275,1299.0118,160.03125,100.0,Library,ZywOo,76561198113666193,ct,ct,0,28,7,right_arm,t,4654,2014.094,293.69675,160.03125,35,BombsiteA,kyxsan,76561198057282432,t,hkp2000,28,1
0,2534.0774,1296.3795,160.03125,100.0,Library,ZywOo,76561198113666193,ct,ct,0,35,0,stomach,t,4671,2035.8008,295.66553,160.03125,7,BombsiteA,kyxsan,76561198057282432,t,hkp2000,7,1
0,710.0102,2121.8645,136.03133,100.0,Banana,flameZ,76561197978835160,ct,ct,0,51,49,generic,t,11013,179.96753,1079.0005,121.234375,100,Banana,kyxsan,76561198057282432,t,hegrenade,51,2
0,710.0102,2121.8645,136.03133,100.0,Banana,flameZ,76561197978835160,ct,ct,0,2,98,generic,t,11013,-45.882263,912.87384,78.05541,100,TRamp,NiKo,76561198041683378,t,hegrenade,2,2
0,776.06744,2729.2998,136.03108,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,59,41,generic,t,12106,614.13,2119.7454,140.13982,100,Banana,m0NESY,76561198074762801,t,hegrenade,59,2
0,776.06744,2729.2998,136.03108,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,32,68,generic,t,12106,481.1568,1981.5422,136.03123,100,Banana,Magisk,76561197983956651,t,hegrenade,32,2
0,776.06744,2729.2998,136.03108,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,6,43,generic,t,12106,905.6249,1980.8143,136.03128,49,Banana,kyxsan,76561198057282432,t,hegrenade,6,2
0,776.06744,2729.2998,136.03108,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,1,99,generic,t,12106,926.9678,2203.9688,136.36629,100,Banana,TeSeS,76561197996678278,t,hegrenade,1,2
0,874.2052,2743.2703,135.3957,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,26,42,stomach,t,12464,634.6945,1981.3907,136.03125,68,Banana,Magisk,76561197983956651,t,mp9,26,2
0,634.29486,2666.4841,150.82738,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,22,21,right_arm,t,12563,926.96814,2136.7507,133.8207,43,Banana,kyxsan,76561198057282432,t,mp9,22,2
0,619.1772,2660.1545,154.32092,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,88,0,head,t,12568,926.96814,2136.7507,133.8207,21,Banana,kyxsan,76561198057282432,t,mp9,21,2
0,904.18823,2762.5332,134.53325,100.0,BombsiteB,mezii,76561197973140692,ct,ct,0,21,77,chest,t,12753,666.25916,2072.715,138.82689,98,Banana,NiKo,76561198041683378,t,mp9,21,2
0,917.8115,2757.4883,134.157,100.0,BombsiteB,mezii,76561197973140692,ct,ct,0,89,0,head,t,12764,700.20795,2267.2537,136.03146,41,Banana,m0NESY,76561198074762801,t,mp9,41,2
95,665.84576,2076.9485,138.82689,77.0,Banana,NiKo,76561198041683378,t,ct,5,152,0,head,t,12766,920.70807,2756.379,134.07002,100,BombsiteB,mezii,76561197973140692,ct,deagle,100,2
0,532.77527,2682.7031,161.53123,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,27,72,stomach,t,12860,906.6949,2186.5215,136.36629,99,Banana,TeSeS,76561197996678278,t,mp9,27,2
0,529.79944,2680.5247,161.53123,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,21,51,chest,t,12864,903.3577,2183.6667,136.36629,72,Banana,TeSeS,76561197996678278,t,mp9,21,2
0,528.41156,2679.6267,161.53123,100.0,BombsiteB,apEX,76561197989744167,ct,ct,0,21,30,right_arm,t,12886,888.7267,2172.262,136.36629,51,Banana,TeSeS,76561197996678278,t,mp9,21,2
99,803.6191,2291.3052,136.03146,77.0,Banana,NiKo,76561198041683378,t,ct,1,42,58,right_arm,t,12887,528.8276,2679.92,161.53123,100,BombsiteB,apEX,76561197989744167,ct,deagle,42,2
0,528.65015,2679.8186,161.53123,58.0,BombsiteB,apEX,76561197989744167,ct,ct,0,22,55,chest,t,12891,804.94696,2296.562,136.03148,77,Banana,NiKo,76561198041683378,t,mp9,22,2
0,528.65015,2679.8186,161.53123,58.0,BombsiteB,apEX,76561197989744167,ct,ct,0,2,28,stomach,t,12891,891.5421,2174.2395,136.36629,30,Banana,TeSeS,76561197996678278,t,mp9,2,2
0,892.69244,2175.0527,136.36629,28.0,Banana,TeSeS,76561197996678278,t,ct,0,37,18,head,t,12893,804.0774,2297.4888,136.03148,55,Banana,NiKo,76561198041683378,t,glock,37,2
98,892.69244,2175.0527,136.36629,28.0,Banana,TeSeS,76561197996678278,t,ct,1,3,55,chest,t,12893,527.3144,2678.9207,161.53123,58,BombsiteB,apEX,76561197989744167,ct,glock,3,2
92,878.69836,2164.6636,136.36629,28.0,Banana,TeSeS,76561197996678278,t,ct,6,11,44,chest,t,12926,518.6805,2672.6748,161.53123,55,BombsiteB,apEX,76561197989744167,ct,glock,11,2
86,876.6095,2164.3657,136.36629,28.0,Banana,TeSeS,76561197996678278,t,ct,6,11,33,chest,t,12938,507.58557,2664.2979,161.53123,44,BombsiteB,apEX,76561197989744167,ct,glock,11,2
99,863.3575,2382.0432,140.0843,18.0,BombsiteB,NiKo,76561198041683378,t,ct,1,51,49,stomach,t,13081,447.81076,2713.1277,193.03125,100,BombsiteB,flameZ,76561197978835160,ct,deagle,51,2
0,451.0852,2717.1855,193.03125,49.0,BombsiteB,flameZ,76561197978835160,ct,ct,0,89,0,head,t,13083,863.77594,2382.656,140.0843,18,BombsiteB,NiKo,76561198041683378,t,mp9,18,2
0,469.7885,2731.2427,193.03125,49.0,BombsiteB,flameZ,76561197978835160,ct,ct,0,91,0,head,t,13131,746.26483,2381.0222,136.03146,42,BombsiteB,Magisk,76561197983956651,t,mp9,42,2
0,475.0791,2735.835,193.03125,49.0,BombsiteB,flameZ,76561197978835160,ct,ct,0,22,6,chest,t,13136,805.252,2395.238,136.03146,28,BombsiteB,TeSeS,76561197996678278,t,mp9,22,2
0,474.92892,2735.67,193.03125,49.0,BombsiteB,flameZ,76561197978835160,ct,ct,0,8,0,generic,t,13138,810.8342,2399.491,136.03146,6,BombsiteB,TeSeS,76561197996678278,t,inferno,6,2
78,1474.717,131.01468,177.53125,100.0,TopofMid,ropz,76561197991272318,ct,ct,22,33,67,generic,t,15881,1065.3987,-670.68274,121.85327,100,Apartments,Magisk,76561197983956651,t,hegrenade,33,3
99,27.855286,894.5821,80.33325,100.0,TRamp,NiKo,76561198041683378,t,ct,0,26,74,right_leg,t,15914,301.4879,1693.3502,148.76562,100,Banana,flameZ,76561197978835160,ct,ak47,26,3
73,2322.651,799.4859,154.25139,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,5,23,44,chest,t,16666,2073.005,-208.79053,262.03125,67,Balcony,Magisk,76561197983956651,t,m4a1,23,3
97,2077.1768,-210.33606,259.7272,44.0,Balcony,Magisk,76561197983956651,t,ct,3,27,73,chest,t,16669,1744.0789,78.63335,130.00964,100,BombsiteA,ropz,76561197991272318,ct,ak47,27,3
94,2079.9517,-209.45685,259.00778,44.0,Balcony,Magisk,76561197983956651,t,ct,3,27,46,chest,t,16676,1738.0143,77.47311,129.96457,73,BombsiteA,ropz,76561197991272318,ct,ak47,27,3
68,2322.1157,793.916,154.35005,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,5,23,21,chest,t,16679,2079.6067,-209.95312,259.09723,44,Balcony,Magisk,76561197983956651,t,m4a1,23,3
62,2319.8503,794.3514,154.18733,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,6,29,0,stomach,t,16685,2079.3164,-210.305,259.1725,21,Balcony,Magisk,76561197983956651,t,m4a1,21,3
91,2036.8556,-183.64319,262.03125,100.0,Balcony,TeSeS,76561197996678278,t,ct,3,27,19,chest,t,16731,1704.2526,91.963715,131.1976,46,BombsiteA,ropz,76561197991272318,ct,ak47,27,3
95,2350.7102,783.4642,157.91269,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,5,23,77,chest,t,16736,2036.7013,-183.82947,262.03125,100,Balcony,TeSeS,76561197996678278,t,m4a1,23,3
88,2036.7013,-183.82947,262.03125,77.0,Balcony,TeSeS,76561197996678278,t,ct,3,27,0,chest,t,16737,1701.2699,91.96803,131.28487,19,BombsiteA,ropz,76561197991272318,ct,ak47,19,3
90,2351.3064,783.2509,157.99152,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,5,23,54,left_arm,t,16748,2032.8822,-188.2893,262.03125,77,Balcony,TeSeS,76561197996678278,t,m4a1,23,3
85,2351.3064,783.2509,157.99152,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,5,23,31,chest,t,16755,2030.213,-191.16296,262.03125,54,Balcony,TeSeS,76561197996678278,t,m4a1,23,3
80,2351.3064,783.2509,157.99152,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,5,23,8,chest,t,16761,2027.1399,-194.35492,262.03125,31,Balcony,TeSeS,76561197996678278,t,m4a1,23,3
75,2351.3064,783.2509,157.99152,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,5,23,0,chest,t,16768,2024.8213,-196.54828,262.03125,8,Balcony,TeSeS,76561197996678278,t,m4a1,8,3
95,2404.5132,751.749,172.03125,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,5,23,77,chest,t,16811,1935.4478,-193.8883,260.03125,100,Apartments,kyxsan,76561198057282432,t,m4a1,23,3
88,1928.2009,-190.92975,260.03125,77.0,Apartments,kyxsan,76561198057282432,t,ct,12,89,11,head,t,16826,2403.4792,752.2579,172.03125,100,BombsiteA,ZywOo,76561198113666193,ct,galilar,89,3
78,2395.728,757.9477,172.03125,11.0,BombsiteA,ZywOo,76561198113666193,ct,ct,17,81,0,head,t,16881,1930.2892,-195.91125,260.03125,77,Apartments,kyxsan,76561198057282432,t,m4a1,77,3
73,2070.6753,179.72087,160.03125,100.0,BombsiteA,m0NESY,76561198074762801,t,ct,15,109,0,head,t,17285,1846.635,608.1082,159.96051,11,BombsiteA,ZywOo,76561198113666193,ct,ak47,11,3
82,2392.7449,438.47058,150.06024,100.0,BombsiteA,mezii,76561197973140692,ct,ct,18,88,12,head,t,17340,2163.071,144.49075,154.34593,100,BombsiteA,m0NESY,76561198074762801,t,m4a1,88,3
97,2160.6191,147.55035,157.02309,12.0,BombsiteA,m0NESY,76561198074762801,t,ct,3,27,73,chest,t,17348,2391.627,438.26205,150.04459,100,BombsiteA,mezii,76561197973140692,ct,ak47,27,3
77,2388.9026,440.31833,150.19902,73.0,BombsiteA,mezii,76561197973140692,ct,ct,5,25,0,chest,t,17353,2158.8093,149.15247,158.42493,12,BombsiteA,m0NESY,76561198074762801,t,m4a1,12,3
84,-387.38885,912.72815,-4.788574,100.0,TRamp,NiKo,76561198041683378,t,ct,15,109,0,head,t,17367,130.16115,907.1748,85.8125,74,Middle,flameZ,76561197978835160,ct,ak47,74,3
85,2088.0413,-303.88147,256.91046,73.0,Balcony,mezii,76561197973140692,ct,ct,15,105,0,head,t,19768,2263.009,1070.1852,163.32199,100,BombsiteA,NiKo,76561198041683378,t,ak47,100,3
98,1430.7664,393.01593,129.03125,100.0,TopofMid,ropz,76561197991272318,ct,ct,2,13,87,stomach,t,22568,116.68985,774.2633,80.14033,100,Middle,NiKo,76561198041683378,t,m4a1,13,4
98,1462.8965,226.38795,128.71791,100.0,TopofMid,ropz,76561197991272318,ct,ct,0,0,87,generic,t,22786,152.9684,771.71234,80.03334,87,Middle,NiKo,76561198041683378,t,hegrenade,0,4
75,861.2995,2605.7917,192.375,100.0,BombsiteB,apEX,76561197989744167,ct,ct,23,35,52,generic,t,24067,54.301605,1370.8707,103.15636,87,Banana,NiKo,76561198041683378,t,hegrenade,35,4
95,861.2995,2605.7917,192.375,100.0,BombsiteB,apEX,76561197989744167,ct,ct,5,7,93,generic,t,24067,179.04126,1073.0876,88.38058,100,Banana,kyxsan,76561198057282432,t,hegrenade,7,4
99,861.2995,2605.7917,192.375,100.0,BombsiteB,apEX,76561197989744167,ct,ct,1,2,98,generic,t,24067,96.12227,985.5675,83.884186,100,Banana,TeSeS,76561197996678278,t,hegrenade,2,4
91,752.9154,2139.2131,136.03131,100.0,Banana,flameZ,76561197978835160,ct,ct,4,13,80,chest,t,25174,276.21353,1853.1713,129.43233,93,Banana,kyxsan,76561198057282432,t,mp9,13,4
87,770.2169,2110.2395,136.03131,100.0,Banana,flameZ,76561197978835160,ct,ct,4,13,67,chest,t,25183,273.7592,1858.7357,129.52515,80,Banana,kyxsan,76561198057282432,t,mp9,13,4
83,777.32385,2097.0305,136.03131,100.0,Banana,flameZ,76561197978835160,ct,ct,4,13,54,chest,t,25187,271.7283,1862.2975,129.57391,67,Banana,kyxsan,76561198057282432,t,mp9,13,4
79,799.9225,2049.6575,136.0313,100.0,Banana,flameZ,76561197978835160,ct,ct,4,13,41,chest,t,25201,269.7378,1865.7589,129.96646,54,Banana,kyxsan,76561198057282432,t,mp9,13,4
76,838.68884,2229.8408,140.0843,100.0,Banana,mezii,76561197973140692,ct,ct,3,27,14,left_arm,t,25212,267.31583,1873.0789,132.44843,41,Banana,kyxsan,76561198057282432,t,ak47,27,4
72,809.5225,2004.4675,136.03128,100.0,Banana,flameZ,76561197978835160,ct,ct,4,13,1,chest,t,25214,267.6468,1871.95,132.05658,14,Banana,kyxsan,76561198057282432,t,mp9,13,4
99,267.84122,1871.2831,131.82489,1.0,Banana,kyxsan,76561198057282432,t,ct,1,23,77,chest,t,25215,809.0581,2001.0168,136.03128,100,Banana,flameZ,76561197978835160,ct,tec9,23,4
68,807.0367,1991.398,136.03128,77.0,Banana,flameZ,76561197978835160,ct,ct,4,13,0,chest,t,25219,268.1484,1870.2349,131.46103,1,Banana,kyxsan,76561198057282432,t,mp9,1,4
85,305.85034,1759.4109,123.23596,98.0,Banana,TeSeS,76561197996678278,t,ct,1,38,62,chest,t,25273,855.95917,2317.5835,140.0843,100,BombsiteB,apEX,76561197989744167,ct,deagle,38,4
95,857.43463,2315.9587,140.0843,62.0,BombsiteB,apEX,76561197989744167,ct,ct,4,33,65,stomach,t,25328,353.16376,1818.1577,128.2342,98,Banana,TeSeS,76561197996678278,t,ak47,33,4
