tick,event,X,Y,Z,steamid,name,bombsite,round_num
598,drop,-1520.06,430.891,-63.96875,76561198850020186,latto,,1
5571,drop,2442.7249,2340.0464,129.3463,76561198074017668,lux,,1
6607,pickup,2441.268,2337.4158,129.49446,76561198074017668,lux,,2
7533,drop,-1675.62,351.695,-63.96875,76561198074017668,lux,,2
7540,pickup,-1662.18,288.762,-63.96875,76561198850020186,latto,,2
7734,drop,-1662.18,288.762,-63.96875,76561198850020186,latto,,2
13633,drop,1348.1656,277.70853,128.03125,76561198100494962,saadzin,,2
13953,pickup,2008.4794,-27.889404,220.03125,76561198850020186,latto,,3
16951,drop,41.56961,1339.6119,102.75942,76561198850020186,latto,,3
17271,pickup,-333.63892,892.4742,3.559578,76561198061763596,n1ssim,,3
