armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
100,1455.8109,371.26392,128.03125,100,TopofMid,saadzin,76561198100494962,t,ct,0,1,99,generic,t,4763,2442.8848,-268.615,97.638626,100,Pit,flameZ,76561197978835160,ct,inferno,1,1
94,2069.301,1792.1616,141.17735,100,CTSpawn,latto,76561198850020186,t,ct,6,12,88,chest,t,5269,1618.7806,1925.2815,173.51888,100,CTSpawn,ropz,76561197991272318,ct,glock,12,1
88,2098.3125,1810.6201,137.75565,100,CTSpawn,latto,76561198850020186,t,ct,6,12,76,chest,t,5288,1625.7317,1946.8862,176.03125,88,CTSpawn,ropz,76561197991272318,ct,glock,12,1
82,1857.7367,1494.1539,160.03125,100,Arch,saadzin,76561198100494962,t,ct,6,11,65,chest,t,5292,1628.68,1951.7136,176.03125,76,CTSpawn,ropz,76561197991272318,ct,glock,11,1
0,1636.7946,1961.9036,176.03125,65,CTSpawn,ropz,76561197991272318,ct,ct,0,119,0,head,t,5305,1844.1869,1494.3118,160.03125,100,Arch,saadzin,76561198100494962,t,elite,100,1
100,1656.1029,2391.0737,160.03125,65,CTSpawn,ropz,76561197991272318,ct,ct,0,105,0,head,t,5571,2442.7249,2340.0464,129.3463,100,CTSpawn,lux,76561198074017668,t,elite,100,1
93,1919.5474,2740.365,124.031845,100,CTSpawn,apEX,76561197989744167,ct,ct,7,15,85,chest,t,5650,2542.903,2238.3538,136.6115,100,CTSpawn,latto,76561198850020186,t,hkp2000,15,1
84,1914.2089,2733.2266,124.031845,100,CTSpawn,apEX,76561197989744167,ct,ct,9,18,67,stomach,t,5665,2528.3193,2217.7683,134.9574,85,CTSpawn,latto,76561198850020186,t,hkp2000,18,1
79,1707.5177,2510.691,160.03125,65,CTSpawn,ropz,76561197991272318,ct,ct,5,14,53,chest,t,5677,2519.8352,2207.5706,133.67749,67,CTSpawn,latto,76561198850020186,t,elite,14,1
72,2323.8489,1464.0657,159.93294,100,Library,ZywOo,76561198113666193,ct,ct,7,15,38,chest,t,5697,2526.6003,2215.2825,134.76086,53,CTSpawn,latto,76561198850020186,t,hkp2000,15,1
