ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1381,-1485.0354,-85.81775,-63.96875,100,TSpawn,n1ssim,76561198061763596,t,weapon_knife_butterfly,1
ct,false,t,1440,2403.9927,1457.0741,158.07329,100,Library,flameZ,76561197978835160,ct,weapon_knife_butterfly,1
ct,false,t,1473,2496.836,1372.5645,158.9564,100,Library,flameZ,76561197978835160,ct,weapon_knife_butterfly,1
ct,false,t,1524,1804.8138,1259.3579,169.53125,100,Arch,mezii,76561197973140692,ct,weapon_knife_m9_bayonet,1
ct,false,t,1675,2241.8772,806.1458,154.8244,100,BombsiteA,ZywOo,76561198113666193,ct,weapon_knife_karambit,1
ct,false,t,1696,-935.8481,584.35565,-29.746277,100,TSpawn,lux,76561198074017668,t,weapon_decoy,1
ct,false,t,1701,2201.593,712.9142,155.971,100,BombsiteA,ZywOo,76561198113666193,ct,weapon_knife_karambit,1
ct,false,t,1740,-238.10449,872.5541,36.984375,100,TRamp,dumau,76561198194325317,t,weapon_bayonet,1
ct,false,t,1972,-561.2404,229.05127,159.33672,100,Upstairs,lux,76561198074017668,t,weapon_knife_butterfly,1
ct,false,t,2191,-404.54498,-76.78943,192.03125,100,Bridge,lux,76561198074017668,t,weapon_glock,1
ct,false,t,2210,-400.50854,-144.40253,192.03125,100,Bridge,lux,76561198074017668,t,weapon_glock,1
ct,false,t,2325,969.59064,3354.6086,128.03125,100,Ruins,apEX,76561197989744167,ct,weapon_knife_outdoor,1
ct,false,t,2350,1028.4846,3280.5461,128.03125,100,Ruins,apEX,76561197989744167,ct,weapon_knife_outdoor,1
ct,false,t,2492,73.33353,1382.2914,102.36095,100,Banana,dumau,76561198194325317,t,weapon_decoy,1
ct,false,t,2839,956.47626,3228.4324,128.03125,100,Ruins,apEX,76561197989744167,ct,weapon_knife_outdoor,1
ct,false,t,4135,1164.4789,447.02875,111.42966,100,Middle,n1ssim,76561198061763596,t,weapon_smokegrenade,1
ct,false,t,4217,1126.0414,550.244,116.726845,100,Middle,n1ssim,76561198061763596,t,weapon_flashbang,1
ct,false,t,4325,1106.8403,447.03412,106.879974,100,Middle,saadzin,76561198100494962,t,weapon_smokegrenade,1
ct,false,t,4361,1396.7015,597.8919,126.59375,100,TopofMid,lux,76561198074017668,t,weapon_glock,1
ct,false,t,4477,1213.7844,571.45416,123.4763,100,Middle,n1ssim,76561198061763596,t,weapon_flashbang,1
ct,false,t,4561,1251.4977,465.24655,118.39116,100,Middle,n1ssim,76561198061763596,t,weapon_glock,1
