assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-1520.06,430.891,-63.96875,100.0,TSpawn,latto,76561198850020186,t,false,false,ct,0.0,0,101,0,false,head,false,false,0,0,t,false,4,-1520.06,430.891,-63.96875,100,TSpawn,latto,76561198850020186,t,world,"","","",0,1
false,,,,,,,,,-1662.18,288.762,-63.96875,100.0,TSpawn,saadzin,76561198100494962,t,false,false,ct,0.0,0,101,0,false,head,false,false,0,0,t,false,4,-1662.18,288.762,-63.96875,100,TSpawn,saadzin,76561198100494962,t,world,"","","",0,1
false,,,,,,,,,-1586.52,440.79,-63.96875,100.0,TSpawn,dumau,76561198194325317,t,false,false,ct,0.0,0,101,0,false,head,false,false,0,0,t,false,4,-1586.52,440.79,-63.96875,100,TSpawn,dumau,76561198194325317,t,world,"","","",0,1
false,,,,,,,,,-1675.62,351.695,-63.96875,100.0,TSpawn,lux,76561198074017668,t,false,false,ct,0.0,0,101,0,false,generic,false,false,0,0,t,false,4,-1675.62,351.695,-63.96875,100,TSpawn,lux,76561198074017668,t,world,"","","",0,1
false,,,,,,,,,-1657.23,419.577,-63.96875,100.0,TSpawn,n1ssim,76561198061763596,t,false,false,ct,0.0,0,101,0,false,head,false,false,0,0,t,false,4,-1657.23,419.577,-63.96875,100,TSpawn,n1ssim,76561198061763596,t,world,"","","",0,1
false,,,,,,,,,2292.06,2027.69,135.95695,100.0,CTSpawn,mezii,76561197973140692,ct,false,false,ct,0.0,1,101,0,false,chest,false,false,0,0,t,false,4,2292.06,2027.69,135.95695,100,CTSpawn,mezii,76561197973140692,ct,world,"","","",0,1
false,,,,,,,,,2493.0,2090.0,132.55138,100.0,CTSpawn,ZywOo,76561198113666193,ct,false,false,ct,0.0,0,101,0,false,-1,false,false,0,0,t,false,4,2493.0,2090.0,132.55138,100,CTSpawn,ZywOo,76561198113666193,ct,world,"","","",0,1
false,,,,,,,,,2456.83,2153.16,132.07718,100.0,CTSpawn,apEX,76561197989744167,ct,false,false,ct,0.0,6,101,0,false,chest,false,false,0,0,t,false,4,2456.83,2153.16,132.07718,100,CTSpawn,apEX,76561197989744167,ct,world,"","","",0,1
false,,,,,,,,,2353.0,1977.0,135.51888,100.0,CTSpawn,ropz,76561197991272318,ct,false,false,ct,0.0,6,101,0,false,chest,false,false,0,0,t,false,4,2353.0,1977.0,135.51888,100,CTSpawn,ropz,76561197991272318,ct,world,"","","",0,1
false,,,,,,,,,2397.0,2079.0,132.76755,100.0,CTSpawn,flameZ,76561197978835160,ct,false,false,ct,0.0,25,101,0,false,head,false,false,0,0,t,false,4,2397.0,2079.0,132.76755,100,CTSpawn,flameZ,76561197978835160,ct,world,"","","",0,1
true,695.79956,2694.4463,142.88748,40.0,BombsiteB,apEX,76561197989744167,ct,765.42914,1924.7389,136.03125,97.0,Banana,flameZ,76561197978835160,ct,false,false,ct,10.339982,5,17,0,false,stomach,false,false,0,0,t,false,3677,406.99542,2117.6125,139.96266,1,Banana,dumau,76561198194325317,t,mp9,17293822569149562914,27512960954,"",0,1
false,,,,,,,,,327.00458,1971.6565,137.74367,52.0,Banana,saadzin,76561198100494962,t,false,false,ct,11.511042,15,109,0,true,head,false,false,0,0,t,false,3728,777.40564,1922.0466,136.03125,97,Banana,flameZ,76561197978835160,ct,ak47,17293822569179971591,44004937740,"",0,1
