round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,4,1579,7634,7954,t,bomb_exploded,5010,bombsite_b
2,7954,9234,14075,14395,ct,t_killed,,not_planted
3,14395,15675,20332,20652,ct,t_killed,,not_planted
4,20652,21932,26573,26893,t,ct_killed,25827,bombsite_b
5,26893,28173,33071,33391,t,ct_killed,,not_planted
6,33391,36817,44314,44634,ct,bomb_defused,42808,bombsite_b
7,44634,45914,50343,50663,ct,t_killed,,not_planted
8,50663,54073,60447,60767,t,ct_killed,58701,bombsite_b
9,60767,62047,68859,69403,t,ct_killed,68414,bombsite_b
10,69403,83737,89999,90319,t,bomb_exploded,87375,bombsite_b
11,90319,91599,97064,97384,t,ct_killed,94609,bombsite_b
12,97384,98664,105644,105964,t,bomb_exploded,103020,bombsite_b
13,105964,110279,117506,117826,t,bomb_exploded,114882,bombsite_b
14,117826,119106,126932,127252,t,ct_killed,125081,bombsite_b
15,127252,128532,134535,134535,t,ct_killed,132972,bombsite_b
