tick,event,X,Y,Z,steamid,name,bombsite,round_num
1200,drop,-822.3652,-795.6421,117.264,76561197978835160,flameZ,,1
6352,plant,1095.9839,2521.1182,96.03126,76561197991272318,ropz,BombsiteA,1
8976,detonate,1122.7927,553.2769,33.0,76561197991272318,ropz,,1
9296,pickup,968.0314,215.03125,13.133326,76561197991272318,ropz,,2
9972,drop,-1181.0,-754.0,120.18125,76561197991272318,ropz,,2
10010,pickup,-980.0,-754.0,120.18125,76561197973140692,mezii,,2
15831,drop,1446.2911,2573.219,66.48245,76561197973140692,mezii,,2
16326,pickup,1374.0654,2669.743,93.32046,76561198113666193,ZywOo,,2
16934,plant,1088.577,2484.3245,95.59868,76561198113666193,ZywOo,BombsiteA,2
17954,pickup,1292.0342,553.8399,-44.796875,76561198113666193,ZywOo,,3
19613,drop,-1624.0768,487.7303,29.891365,76561198113666193,ZywOo,,3
19752,pickup,-1510.4545,649.0875,32.49716,76561197978835160,flameZ,,3
21856,plant,-1684.0345,2529.1714,8.1156225,76561197978835160,flameZ,BombsiteB,3
24480,detonate,485.47784,2443.594,-36.109375,76561197978835160,flameZ,,3
24800,pickup,-429.51172,-1051.9707,170.47043,76561197989744167,apEX,,4
30245,drop,-1849.7004,150.96645,3.347354,76561197989744167,apEX,,4
30360,pickup,-1566.6301,178.79367,2.2467382,76561198113666193,ZywOo,,4
32549,plant,-1685.6799,2549.903,7.2444124,76561198113666193,ZywOo,BombsiteB,4
35173,detonate,1413.5669,1966.6882,-9.07312,76561198113666193,ZywOo,,4
35493,pickup,-1942.1213,1667.9059,33.98448,76561197978835160,flameZ,,5
36221,drop,-980.0,-754.0,120.18125,76561197978835160,flameZ,,5
36247,pickup,-822.3652,-795.6421,117.264,76561198113666193,ZywOo,,5
36789,drop,-798.70276,-784.561,117.61784,76561198113666193,ZywOo,,5
36831,pickup,-812.38416,-706.40985,129.03125,76561197978835160,flameZ,,5
38028,drop,911.8453,1063.4523,0.92210007,76561197978835160,flameZ,,5
38046,pickup,946.0772,1184.9584,36.03125,76561197973140692,mezii,,5
40706,plant,1235.9688,2561.0312,99.602425,76561197973140692,mezii,BombsiteA,5
43330,detonate,1768.9493,793.0322,1.8465514,76561197973140692,mezii,,5
43650,pickup,1768.9717,818.62115,1.8470049,76561197973140692,mezii,,6
45776,drop,285.8082,-220.13867,-0.24871826,76561197973140692,mezii,,6
46448,pickup,234.40973,67.074,3.03125,76561197989744167,apEX,,6
46507,drop,143.1509,258.09338,3.0601664,76561197989744167,apEX,,6
