armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
100,-478.15686,-402.81628,0.99695015,100.0,TopofMid,apEX,76561197989744167,t,ct,0,1,99,generic,t,1734,-318.4569,1351.9208,-68.8125,100,Middle,lux,76561198074017668,ct,smokegrenade,1,1
0,514.80096,2097.6018,127.03125,99.0,ExtendedA,lux,76561198074017668,ct,ct,0,22,78,left_leg,t,4420,409.9678,1365.1122,56.03125,100,ShortStairs,mezii,76561197973140692,t,hkp2000,22,1
100,246.23444,1468.9258,0.34421468,100.0,Catwalk,ZywOo,76561198113666193,t,ct,0,131,0,head,t,4429,507.40088,2098.5132,127.03125,99,ExtendedA,lux,76561198074017668,ct,p250,99,1
100,1179.8845,2617.8118,96.569336,100.0,BombsiteA,dumau,76561198194325317,ct,ct,0,1,99,generic,t,5118,374.69006,1678.5187,52.901966,100,ShortStairs,ropz,76561197991272318,t,hegrenade,1,1
63,1176.731,2602.9434,96.59485,100.0,BombsiteA,dumau,76561198194325317,ct,ct,37,55,44,generic,t,5124,378.8149,1675.1144,50.514233,99,ShortStairs,ropz,76561197991272318,t,hegrenade,55,1
81,1176.731,2602.9434,96.59485,100.0,BombsiteA,dumau,76561198194325317,ct,ct,19,29,71,generic,t,5124,428.5129,1768.7649,103.20752,100,ShortStairs,flameZ,76561197978835160,t,hegrenade,29,1
81,1176.731,2602.9434,96.59485,100.0,BombsiteA,dumau,76561198194325317,ct,ct,19,29,71,generic,t,5124,287.23813,1604.8439,3.6675081,100,ShortStairs,ZywOo,76561198113666193,t,hegrenade,29,1
0,1176.731,2602.9434,96.59485,100.0,BombsiteA,dumau,76561198194325317,ct,ct,0,18,60,generic,t,5124,275.36328,1817.1302,96.73784,78,ShortStairs,mezii,76561197973140692,t,hegrenade,18,1
0,273.03293,1836.2986,98.39879,60.0,ShortStairs,mezii,76561197973140692,t,ct,0,1,99,generic,t,5328,1226.4854,2578.8408,149.95312,100,BombsiteA,dumau,76561198194325317,ct,inferno,1,1
0,1771.0842,2019.9362,3.5428712,100.0,LongA,saadzin,76561198100494962,ct,ct,0,29,71,chest,t,5375,1288.1436,1192.2162,1.03125,100,LongA,apEX,76561197989744167,t,hkp2000,29,1
0,1260.9387,1181.406,0.033489704,71.0,LongA,apEX,76561197989744167,t,ct,0,18,81,chest,t,5393,1375.9263,2673.673,94.041626,99,ARamp,dumau,76561198194325317,ct,glock,18,1
96,306.14178,2284.363,97.972176,71.0,ExtendedA,flameZ,76561197978835160,t,ct,4,8,92,chest,t,5623,1786.678,1912.223,2.9967446,100,LongA,saadzin,76561198100494962,ct,glock,8,1
