assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,246.23444,1468.9258,0.34421468,100,Catwalk,ZywOo,76561198113666193,t,false,false,ct,17.606411,0,131,0,true,head,false,false,0,0,t,false,4429,507.40088,2098.5132,127.03125,99,ExtendedA,lux,76561198074017668,ct,p250,17293822569129181220,40458558824,"",0,1
false,,,,,,,,,371.43298,2519.4668,96.110985,71,ExtendedA,flameZ,76561197978835160,t,false,false,ct,39.512653,4,8,0,false,chest,false,false,0,0,t,false,5728,1786.9539,1881.5283,2.7133408,2,LongA,saadzin,76561198100494962,ct,glock,17293822569105850372,34768596195,"",0,1
false,,,,,,,,,1397.0824,2613.003,78.775856,81,ARamp,dumau,76561198194325317,ct,false,false,ct,25.785002,0,115,0,true,head,false,false,0,0,t,false,5757,384.61258,2555.2507,95.78716,57,ExtendedA,flameZ,76561197978835160,t,usp_silencer,17293822569135734845,36877795651,"",0,1
false,1244.8342,928.5128,-0.4505005,71.0,LongDoors,apEX,76561197989744167,t,712.48505,2639.1646,94.07167,34,ExtendedA,mezii,76561197973140692,t,false,false,ct,15.676129,0,24,0,false,chest,false,false,0,0,t,false,5933,1321.8721,2540.3857,76.84537,6,ARamp,dumau,76561198194325317,ct,glock,17293822569125838852,40458558825,"",0,1
false,,,,,,,,,629.14874,2415.5625,127.03125,10,ExtendedA,ropz,76561197991272318,t,false,false,ct,17.52189,0,96,0,true,head,false,false,0,0,t,false,8245,361.47052,1780.4438,100.09921,48,ShortStairs,n1ssim,76561198061763596,ct,glock,17293822569105195012,30219531045,"",0,1
false,,,,,,,,,1366.3009,1450.6888,-7.567322,75,LongA,apEX,76561197989744167,t,false,false,ct,12.039968,13,91,0,true,head,false,false,0,0,t,false,15188,1448.2638,1916.7963,-10.8845215,72,LongA,dumau,76561198194325317,ct,galilar,17293822569102704653,0,"",0,2
false,,,,,,,,,1121.1714,2706.6243,95.90521,100,BombsiteA,latto,76561198850020186,ct,false,false,ct,5.804614,6,18,0,false,stomach,false,false,0,0,t,false,15524,1313.509,2583.082,86.372635,16,ARamp,flameZ,76561197978835160,t,mp9,17293822569102704674,0,"",0,2
false,,,,,,,,,1778.7488,1990.4011,3.592546,35,LongA,apEX,76561197989744167,t,false,false,ct,24.744286,12,89,0,true,head,false,false,0,0,t,false,15709,1148.0155,2725.4297,97.81974,1,BombsiteA,latto,76561198850020186,ct,galilar,17293822569102704653,0,"",0,2
false,1447.8861,1916.6296,-10.877869,0.0,LongA,dumau,76561198194325317,ct,438.5098,2011.7593,132.53125,100,ExtendedA,saadzin,76561198100494962,ct,false,false,ct,29.27774,1,33,0,false,chest,false,false,0,0,t,false,15831,1446.2911,2573.219,66.48245,25,ARamp,mezii,76561197973140692,t,deagle,17293822569144975361,26179941714,"",0,2
false,1357.178,2071.9524,-6.390442,24.0,LongA,apEX,76561197989744167,t,1561.9066,1684.6802,1.0312481,100,LongA,ropz,76561197991272318,t,false,false,ct,22.653193,4,33,0,false,stomach,false,false,0,0,t,true,16168,956.65497,2339.8945,8.976158,17,UnderA,lux,76561198074017668,ct,ak47,17293822569144582151,40342529944,"",0,2
false,,,,,,,,,1766.8353,2047.2777,3.4838405,36,LongA,ropz,76561197991272318,t,false,false,ct,35.107143,15,105,0,true,head,false,false,0,0,t,false,16523,1152.6096,809.2343,2.9443417,100,LongDoors,n1ssim,76561198061763596,ct,ak47,17293822569144582151,40342529944,"",0,2
false,1381.0231,1565.3464,-6.4541016,100.0,LongA,ZywOo,76561198113666193,t,1292.7411,687.7733,-24.422058,36,Pit,ropz,76561197991272318,t,false,false,ct,6.099291,0,142,0,true,head,false,false,0,0,t,false,17634,1059.2183,716.717,6.6804333,26,LongDoors,saadzin,76561198100494962,ct,ak47,17293822569144582151,40342529944,"",0,2
false,,,,,,,,,74.962296,-513.28656,1.528728,77,OutsideLong,ropz,76561197991272318,t,false,false,ct,12.852511,0,141,0,true,head,false,false,0,0,t,false,21156,-430.06085,-535.821,1.1993804,100,TopofMid,dumau,76561198194325317,ct,ak47,17293822569144582151,40342529944,"",0,3
false,,,,,,,,,-2011.1989,1720.3138,32.329796,100,UpperTunnel,ZywOo,76561198113666193,t,false,false,ct,30.386808,0,114,0,true,head,false,false,0,0,t,false,21327,-1307.8463,2682.9949,130.03125,75,Hole,n1ssim,76561198061763596,ct,galilar,17293822569128787981,40458558867,"",0,3
false,,,,,,,,,-468.0774,-639.96796,157.24101,57,TSpawn,ropz,76561197991272318,t,false,false,ct,10.837306,0,26,0,false,left_leg,false,false,0,0,t,false,22802,-79.3219,-545.1304,1.7641382,21,TopofMid,lux,76561198074017668,ct,ak47,17293822569144582151,40342529944,"",0,3
false,,,,,,,,,-570.7616,2398.862,-99.27478,66,MidDoors,flameZ,76561197978835160,t,false,false,ct,43.702152,0,54,0,true,head,false,false,0,0,t,false,23825,-248.96094,711.4219,1.3640108,45,TopofMid,saadzin,76561198100494962,ct,mac10,17293822569131081745,26446185551,"",0,3
false,-2064.1047,2926.1511,33.748474,100.0,BombsiteB,latto,76561198850020186,ct,-2151.3867,1935.7817,4.0303726,100,BombsiteB,n1ssim,76561198061763596,ct,false,false,ct,8.783395,19,90,0,true,head,false,false,0,0,t,true,27649,-1942.1213,1667.9059,33.98448,21,UpperTunnel,flameZ,76561197978835160,t,m4a1,17293822569184952336,39772326261,"",0,4
true,-1947.0127,1374.4408,30.880238,100.0,UpperTunnel,ropz,76561197991272318,t,-1944.5061,1505.3905,36.317997,100,UpperTunnel,apEX,76561197989744167,t,false,false,ct,36.123936,15,105,0,true,head,false,false,0,0,t,true,27681,-2048.1213,2923.6897,33.392746,100,BombsiteB,latto,76561198850020186,ct,ak47,17293822569150152711,30576196202,"",0,4
false,-2048.2014,2923.6838,33.395058,0.0,BombsiteB,latto,76561198850020186,ct,-779.1956,-728.116,126.18725,78,TSpawn,dumau,76561198194325317,ct,false,false,ct,22.13364,6,29,0,false,stomach,false,false,0,0,t,false,28743,-1636.0978,-884.96326,116.35564,18,TSpawn,mezii,76561197973140692,t,m4a1_silencer,17293822569135276092,43737766283,"",0,4
false,,,,,,,,,-1790.5311,-750.4707,120.269485,97,TRamp,apEX,76561197989744167,t,false,false,ct,25.667837,0,138,0,true,head,false,false,0,0,t,false,28767,-780.65814,-717.3719,129.03125,45,TSpawn,dumau,76561198194325317,ct,ak47,17293822569150152711,30576196202,"",0,4
false,,,,,,,,,-1999.1123,1673.1218,31.839293,74,UpperTunnel,apEX,76561197989744167,t,false,false,ct,29.518198,0,137,0,true,head,false,false,0,0,t,false,31726,-1437.972,2690.1833,14.290335,100,BombsiteB,lux,76561198074017668,ct,ak47,17293822569150152711,30576196202,"",0,4
false,,,,,,,,,-2026.0038,3071.9688,33.720516,74,BombsiteB,apEX,76561197989744167,t,false,false,ct,50.851402,4,32,0,false,stomach,false,false,0,0,t,false,32505,-1919.2957,1072.8257,33.653984,24,UpperTunnel,n1ssim,76561198061763596,ct,ak47,17293822569150152711,30576196202,"",0,4
false,,,,,,,,,1212.1776,2734.636,97.86013,100,BombsiteA,saadzin,76561198100494962,ct,false,false,ct,30.875309,1,109,0,false,chest,true,false,0,0,t,false,35302,1580.9397,1572.3213,0.19732475,91,LongA,ZywOo,76561198113666193,t,awp,17293822569107423241,44005270587,"",0,4
false,,,,,,,,,1038.2181,2662.2349,95.548706,100,BombsiteA,saadzin,76561198100494962,ct,false,false,ct,38.674034,1,108,0,false,chest,false,false,0,0,t,false,39449,1548.6512,1227.9677,55.140625,100,LongA,apEX,76561197989744167,t,awp,17293822569107423241,44005270587,"",0,5
false,1315.067,2170.4194,0.95044947,100.0,LongA,flameZ,76561197978835160,t,1380.3606,2027.9204,-7.361267,100,LongA,mezii,76561197973140692,t,false,false,ct,21.366295,3,26,0,false,chest,false,false,0,0,t,false,39525,608.2602,2350.755,67.03125,18,UnderA,lux,76561198074017668,ct,ak47,17293822569144582151,43761314910,"",0,5
true,1622.9219,1737.4978,-0.24084473,100.0,LongA,ZywOo,76561198113666193,t,1151.214,2875.8398,127.551865,100,BombsiteA,flameZ,76561197978835160,t,false,false,ct,10.763668,0,96,0,true,head,false,false,0,0,t,false,39764,973.3185,2492.967,96.53125,87,BombsiteA,saadzin,76561198100494962,ct,mac10,17293822569131081745,26446185551,"",0,5
false,,,,,,,,,-807.93243,2337.1746,-90.88727,15,MidDoors,mezii,76561197973140692,t,false,false,ct,16.007439,15,108,0,true,head,false,false,0,0,t,false,50390,-1408.9337,2173.7852,0.38219166,100,BombsiteB,latto,76561198850020186,ct,ak47,17293822569144582151,43761314910,"",0,6
false,-1409.0142,2174.0703,0.3788786,0.0,BombsiteB,latto,76561198850020186,ct,-54.837463,2063.0254,-123.58203,100,CTSpawn,lux,76561198074017668,ct,false,false,ct,20.110926,6,30,0,false,stomach,false,false,0,0,t,true,50421,-800.91846,2327.3784,-94.86011,15,MidDoors,mezii,76561197973140692,t,m4a1_silencer,17293822569179840572,43263921982,"",0,6
false,,,,,,,,,-50.048157,2052.1128,-122.85986,100,CTSpawn,lux,76561198074017668,ct,false,false,ct,23.492687,17,82,0,true,head,false,false,0,0,t,true,50459,-907.7499,2391.1333,-52.26483,8,MidDoors,flameZ,76561197978835160,t,m4a1_silencer,17293822569179840572,43263921982,"",0,6
false,,,,,,,,,-1848.7487,2495.396,30.728916,100,BombsiteB,n1ssim,76561198061763596,ct,false,false,ct,15.239534,6,30,0,false,stomach,false,false,0,0,t,false,50666,-2080.2905,1942.8589,1.3507257,22,BombsiteB,ropz,76561197991272318,t,m4a1_silencer,17293822569131868220,41090025361,"",0,6
false,,,,,,,,,-2115.4255,1949.2139,2.9023786,20,BombsiteB,ZywOo,76561198113666193,t,false,false,ct,15.804446,0,454,0,true,head,false,false,0,0,t,false,50838,-1884.4119,2526.9097,29.87333,100,BombsiteB,n1ssim,76561198061763596,ct,awp,17293822569152249865,39421212964,"",0,6
false,,,,,,,,,-510.92566,2135.1704,-123.58685,100,MidDoors,saadzin,76561198100494962,ct,false,false,ct,23.749166,0,77,0,false,left_arm,false,false,1,0,t,false,51583,-1430.8738,2271.2678,0.031251907,76,BombsiteB,apEX,76561197989744167,t,awp,17293822569107423241,44005270587,"",0,6
false,-1884.3462,2526.8823,29.87753,0.0,BombsiteB,n1ssim,76561198061763596,ct,-946.2183,2308.246,-57.60565,100,MidDoors,dumau,76561198194325317,ct,false,false,ct,26.228796,17,81,0,true,head,false,false,0,0,t,false,51878,-1945.3425,2046.822,-2.8374023,20,BombsiteB,ZywOo,76561198113666193,t,m4a1_silencer,17293822569135276092,43737766283,"",0,6
false,,,,,,,,,1485.3668,1388.4122,-9.499939,100,LongA,lux,76561198074017668,ct,false,false,ct,29.437763,15,106,0,true,head,false,false,0,0,t,true,55024,579.1957,666.01715,1.1962776,22,LongDoors,apEX,76561197989744167,t,ak47,17293822569179447303,40315850357,"",0,7
false,,,,,,,,,1419.3542,1927.9293,-9.594238,42,LongA,lux,76561198074017668,ct,false,false,ct,29.787308,0,25,0,false,right_leg,false,false,0,0,t,false,55341,1561.2465,763.839,-8.96875,8,Pit,ropz,76561197991272318,t,ak47,17293822569179447303,40315850357,"",0,7
false,,,,,,,,,1176.4083,983.86176,-1.0012817,15,LongDoors,mezii,76561197973140692,t,false,false,ct,28.943008,3,26,0,false,chest,false,false,0,0,t,true,55442,1700.831,1993.9232,60.44331,8,LongA,dumau,76561198194325317,ct,ak47,17293822569144582151,43761314910,"",0,7
false,1493.3411,2392.8264,21.585365,24.0,ARamp,flameZ,76561197978835160,t,1546.8698,1587.5275,1.0312519,100,LongA,ZywOo,76561198113666193,t,false,false,ct,30.553877,0,449,0,true,head,false,false,0,0,t,false,58212,1038.6824,2678.3003,95.295105,13,BombsiteA,saadzin,76561198100494962,ct,awp,17293822569152249865,39421212964,"",0,7
false,,,,,,,,,1040.3771,2680.9258,95.27086,0,BombsiteA,saadzin,76561198100494962,ct,true,false,ct,13.84174,0,8,0,false,generic,false,false,0,0,t,false,58292,1526.9294,2446.4338,35.856888,8,ARamp,flameZ,76561197978835160,t,inferno,"","","",0,7
false,1700.7512,1994.1749,60.445107,0.0,LongA,dumau,76561198194325317,ct,461.03604,2304.001,-118.96875,100,CTSpawn,n1ssim,76561198061763596,ct,false,false,ct,21.263659,20,30,0,false,generic,false,false,0,0,t,false,58854,1235.9688,2561.0317,99.602425,15,BombsiteA,mezii,76561197973140692,t,hegrenade,"","","",0,7
false,973.8836,2278.5598,12.248411,100.0,UnderA,latto,76561198850020186,ct,720.19763,2320.7026,6.03125,100,UnderA,n1ssim,76561198061763596,ct,false,false,ct,28.103832,3,18,0,false,chest,false,false,2,0,t,false,59048,1777.0208,1992.231,3.572013,33,LongA,ZywOo,76561198113666193,t,m4a1_silencer,17293822569131868220,41090025361,"",0,7
false,,,,,,,,,-407.79126,2423.974,-89.884766,100,MidDoors,saadzin,76561198100494962,ct,false,false,ct,56.086815,1,134,0,false,stomach,false,false,0,0,t,true,61207,-405.03198,224.087,-0.101135254,100,TopofMid,ropz,76561197991272318,t,awp,17293822569152249865,39421212964,"",0,8
false,,,,,,,,,-118.90515,1509.973,0.5511441,100,Catwalk,lux,76561198074017668,ct,false,false,ct,13.624644,15,109,0,true,head,false,false,0,0,t,false,63743,-638.98206,1439.0074,-114.842224,100,LowerTunnel,apEX,76561197989744167,t,ak47,17293822569179447303,40315850357,"",0,8
false,,,,,,,,,462.63654,2291.0042,-118.96875,100,CTSpawn,dumau,76561198194325317,ct,false,false,ct,21.999247,5,23,0,false,chest,false,false,0,0,t,false,65328,1309.0857,2163.8342,0.68552876,6,LongA,mezii,76561197973140692,t,m4a1_silencer,17293822569135276092,43737766283,"",0,8
false,,,,,,,,,462.50626,2291.5024,-118.96875,74,CTSpawn,dumau,76561198194325317,ct,false,false,ct,23.229883,5,23,0,false,right_arm,false,false,0,0,t,false,65473,1316.8408,1988.2782,1.0312495,4,LongA,flameZ,76561197978835160,t,m4a1_silencer,17293822569135276092,43737766283,"",0,8
false,,,,,,,,,328.8605,2349.8396,96.58042,88,ExtendedA,lux,76561198074017668,ct,false,false,ct,36.462723,15,105,0,true,head,false,false,0,0,t,false,65579,1676.3279,1865.4149,0.57334375,100,LongA,ZywOo,76561198113666193,t,ak47,17293822569179447303,40315850357,"",0,8
false,,,,,,,,,-1319.3351,1125.768,33.306007,100,UpperTunnel,ropz,76561197991272318,t,false,false,ct,16.177113,0,14,0,false,right_arm,false,false,1,0,t,false,67900,-817.5957,1490.1893,-110.17706,11,LowerTunnel,lux,76561198074017668,ct,tec9,17293822569127215134,34438583809,"",0,9
true,-1251.3881,1108.9243,32.031246,100.0,TunnelStairs,flameZ,76561197978835160,t,-1073.6947,1266.3601,-104.14514,50,TunnelStairs,ropz,76561197991272318,t,false,false,ct,6.7224874,5,105,0,true,head,false,false,0,0,t,false,68211,-1147.405,1519.9325,-75.96875,100,LowerTunnel,latto,76561198850020186,ct,tec9,17293822569127215134,34438583809,"",0,9
false,,,,,,,,,-386.11053,1529.8751,-126.31958,50,MidDoors,ropz,76561197991272318,t,false,false,ct,15.37149,4,34,0,false,stomach,false,false,0,0,t,false,68571,-493.0703,2125.2168,-124.82745,22,MidDoors,saadzin,76561198100494962,ct,ak47,17293822569179447303,40315850357,"",0,9
false,-1147.4752,1519.9169,-75.96875,0.0,LowerTunnel,latto,76561198850020186,ct,-1321.5391,2233.515,1.9967799,100,BDoors,n1ssim,76561198061763596,ct,false,false,ct,25.04806,4,33,0,false,stomach,false,false,0,0,t,false,69367,-348.47534,2129.6628,-128.16919,24,MidDoors,ropz,76561197991272318,t,ak47,17293822569150152711,30576196202,"",0,9
false,,,,,,,,,-275.46155,606.9125,1.737926,100,TopofMid,apEX,76561197989744167,t,false,false,ct,25.82315,15,107,0,true,head,false,false,0,0,t,false,70063,-398.92468,1602.7188,-126.4577,100,MidDoors,n1ssim,76561198061763596,ct,ak47,17293822569179447303,40315850357,"",0,9
false,-1729.8346,1878.7872,26.359375,100.0,BombsiteB,flameZ,76561197978835160,t,-1127.29,1496.0951,-75.96875,100,LowerTunnel,ZywOo,76561198113666193,t,false,false,ct,16.314613,5,156,0,true,head,false,false,0,0,t,false,71201,-486.42822,1459.7991,-110.96875,31,Middle,dumau,76561198194325317,ct,deagle,17293822569174138881,43901946676,"",0,9
false,,,,,,,,,-578.1484,1873.9656,-118.81555,100,MidDoors,latto,76561198850020186,ct,false,false,ct,13.175281,5,24,0,false,chest,false,false,0,0,t,true,78439,-275.32568,1464.0872,-27.967773,22,Middle,ZywOo,76561198113666193,t,m4a1_silencer,17293822569135276092,43753025447,"",0,10
false,521.8349,2081.5378,127.12549,100.0,ExtendedA,dumau,76561198194325317,ct,317.31473,1493.3911,1.4233956,3,ShortStairs,flameZ,76561197978835160,t,false,false,ct,10.394891,3,27,0,false,chest,false,false,0,0,t,false,79377,432.50723,1874.9615,95.651505,9,ShortStairs,lux,76561198074017668,ct,ak47,17293822569150152711,30576196202,"",0,10
false,,,,,,,,,355.82782,1940.261,96.11531,2,ShortStairs,flameZ,76561197978835160,t,false,false,ct,24.513853,2,19,0,false,left_arm,false,false,1,0,t,false,79610,1052.9135,2610.0325,96.53125,15,BombsiteA,saadzin,76561198100494962,ct,ak47,17293822569150152711,30576196202,"",0,10
false,432.1272,1875.0837,95.64091,0.0,ShortStairs,lux,76561198074017668,ct,1053.7533,2609.6687,96.53125,0,BombsiteA,saadzin,76561198100494962,ct,false,false,ct,24.439814,0,2,0,false,generic,false,false,0,0,t,false,79652,426.7761,1881.1332,137.5,1,ShortStairs,flameZ,76561197978835160,t,inferno,"","","",0,10
true,442.54486,2354.8354,-119.62079,100.0,CTSpawn,latto,76561198850020186,ct,1302.492,2284.1375,13.924116,17,LongA,dumau,76561198194325317,ct,false,false,ct,43.16906,16,74,0,true,head,false,false,0,0,t,false,79988,1434.263,591.67847,-70.01294,37,Pit,ropz,76561197991272318,t,m4a1_silencer,17293822569135276092,43737766283,"",0,10
