ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1352,-1313.9553,-487.97156,129.87064,100,TSpawn,ZywOo,76561198113666193,t,weapon_knife_karambit,1
ct,false,t,1388,-1377.0298,-362.28528,128.66827,100,TSpawn,ZywOo,76561198113666193,t,weapon_knife_karambit,1
ct,false,t,1462,-299.96875,-1163.968,77.68324,100,TSpawn,apEX,76561197989744167,t,weapon_smokegrenade,1
ct,false,t,1539,1295.7925,2020.125,56.078125,100,LongA,dumau,76561198194325317,ct,weapon_bayonet,1
ct,false,t,1544,-1540.8813,209.39839,2.3382244,100,OutsideTunnel,ZywOo,76561198113666193,t,weapon_knife_karambit,1
ct,false,t,1551,-409.75708,1717.7544,-127.56055,100,MidDoors,lux,76561198074017668,ct,weapon_knife_butterfly,1
ct,false,t,1570,-1560.5416,309.03973,2.0585377,100,OutsideTunnel,ZywOo,76561198113666193,t,weapon_knife_karambit,1
ct,false,t,1656,1297.6257,1569.1664,1.03125,100,LongA,dumau,76561198194325317,ct,weapon_bayonet,1
ct,false,t,1746,-1494.8253,2242.3818,-0.29486084,100,BombsiteB,n1ssim,76561198061763596,ct,weapon_knife_butterfly,1
ct,false,t,1835,-1602.2073,570.37115,32.266846,100,OutsideTunnel,ropz,76561197991272318,t,weapon_knife_skeleton,1
ct,false,t,1970,-419.14404,-455.24182,0.3703699,100,TopofMid,apEX,76561197989744167,t,weapon_glock,1
ct,false,t,1979,-391.7204,-469.1903,3.890623,100,TopofMid,apEX,76561197989744167,t,weapon_glock,1
ct,false,t,1989,-359.5852,-484.26324,9.031248,100,TopofMid,apEX,76561197989744167,t,weapon_glock,1
ct,false,t,2628,1337.1426,1924.7843,-4.046753,100,LongA,dumau,76561198194325317,ct,weapon_bayonet,1
ct,false,t,2755,272.9461,-5.7022705,0.4307952,100,OutsideLong,apEX,76561197989744167,t,weapon_flashbang,1
ct,false,t,4253,1235.9688,2561.032,99.602425,100,BombsiteA,dumau,76561198194325317,ct,weapon_flashbang,1
ct,false,t,4420,514.80096,2097.6018,127.03125,99,ExtendedA,lux,76561198074017668,ct,weapon_hkp2000,1
ct,false,t,4429,246.23444,1468.9258,0.34421468,100,Catwalk,ZywOo,76561198113666193,t,weapon_p250,1
ct,false,t,4574,1212.2832,2622.397,97.52206,100,BombsiteA,dumau,76561198194325317,ct,weapon_smokegrenade,1
ct,false,t,4938,190.18135,1334.2272,1.0837612,100,Catwalk,ZywOo,76561198113666193,t,weapon_smokegrenade,1
ct,false,t,5014,992.6915,2620.476,96.53126,100,BombsiteA,dumau,76561198194325317,ct,weapon_hegrenade,1
ct,false,t,5183,323.26984,1875.1273,97.082275,60,ShortStairs,mezii,76561197973140692,t,weapon_molotov,1
ct,false,t,5240,397.24188,1690.6974,61.443977,44,ShortStairs,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,5367,1291.9043,1194.5916,1.03125,100,LongA,apEX,76561197989744167,t,weapon_glock,1
ct,true,t,5375,1771.0842,2019.9362,3.5428712,100,LongA,saadzin,76561198100494962,ct,weapon_usp_silencer,1
ct,false,t,5383,1278.3512,1184.678,1.03125,71,LongA,apEX,76561197989744167,t,weapon_glock,1
ct,true,t,5392,1775.3385,2005.7391,3.6195474,100,LongA,saadzin,76561198100494962,ct,weapon_usp_silencer,1
ct,false,t,5393,1260.9387,1181.406,0.033489704,71,LongA,apEX,76561197989744167,t,weapon_glock,1
ct,true,t,5401,1374.7598,2664.749,92.12298,81,ARamp,dumau,76561198194325317,ct,weapon_usp_silencer,1
ct,false,t,5405,1236.4862,1181.3566,0.093054295,71,LongDoors,apEX,76561197989744167,t,weapon_glock,1
ct,true,t,5408,1764.3976,2011.8945,3.3818893,100,LongA,saadzin,76561198100494962,ct,weapon_usp_silencer,1
ct,false,t,5514,382.91797,2123.5955,95.33137,71,ExtendedA,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,5528,1356.3236,2718.0732,102.69643,81,ARamp,dumau,76561198194325317,ct,weapon_usp_silencer,1
ct,false,t,5534,329.5339,2163.3193,97.55882,71,ExtendedA,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,5548,1371.8406,2689.4993,96.87501,81,ARamp,dumau,76561198194325317,ct,weapon_usp_silencer,1
ct,false,t,5549,303.19305,2202.9753,98.238686,71,ExtendedA,flameZ,76561197978835160,t,weapon_glock,1
ct,false,t,5560,299.72733,2207.1216,98.32456,71,ExtendedA,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,5562,1376.3655,2679.858,95.026375,81,ARamp,dumau,76561198194325317,ct,weapon_usp_silencer,1
ct,false,t,5570,300.43225,2205.5212,98.30584,71,ExtendedA,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,5587,1367.8577,2699.6802,98.77924,81,ARamp,dumau,76561198194325317,ct,weapon_usp_silencer,1
ct,false,t,5589,300.3124,2159.4104,98.28624,71,ExtendedA,ZywOo,76561198113666193,t,weapon_p250,1
ct,false,t,5590,301.2458,2204.588,98.28575,71,ExtendedA,flameZ,76561197978835160,t,weapon_glock,1
ct,false,t,5606,300.84668,2158.4495,98.2753,71,ExtendedA,ZywOo,76561198113666193,t,weapon_p250,1
ct,false,t,5611,309.30667,2246.1519,98.12754,71,ExtendedA,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,5616,1787.9685,1917.8325,3.074047,100,LongA,saadzin,76561198100494962,ct,weapon_usp_silencer,1
ct,false,t,5623,306.14178,2284.363,97.972176,71,ExtendedA,flameZ,76561197978835160,t,weapon_glock,1
ct,false,t,5628,323.92087,2235.847,97.79674,60,ExtendedA,mezii,76561197973140692,t,weapon_glock,1
ct,true,t,5634,1786.909,1894.6931,2.8441362,92,LongA,saadzin,76561198100494962,ct,weapon_usp_silencer,1
ct,true,t,5634,1379.7725,2674.725,93.98213,81,ARamp,dumau,76561198194325317,ct,weapon_usp_silencer,1
ct,false,t,5636,301.12497,2308.7263,97.853676,71,ExtendedA,flameZ,76561197978835160,t,weapon_glock,1
ct,false,t,5644,327.71985,2247.657,97.68703,60,ExtendedA,mezii,76561197973140692,t,weapon_glock,1
