tick,event,X,Y,Z,steamid,name,bombsite,round_num
4140,drop,703.0451,638.7522,96.031265,76561198838822582,Mzinho,,1
4400,pickup,681.8099,502.79578,92.88017,76561198959824088,bLitz,,1
6066,plant,546.4436,2944.4692,161.53123,76561198959824088,bLitz,BombsiteB,1
8291,pickup,1317.2423,2808.8252,127.328125,76561199203563345,910-,,2
8355,drop,-1662.18,288.762,-63.96875,76561199203563345,910-,,2
8362,pickup,-1675.62,351.695,-63.96875,76561198966340160,Techno4K,,2
9351,drop,-1675.62,351.695,-63.96875,76561198966340160,Techno4K,,2
9358,pickup,-1657.23,419.577,-63.96875,76561198920720017,Senzu,,2
9955,drop,-658.4946,622.13354,-30.949524,76561198920720017,Senzu,,2
10056,pickup,-433.4657,640.03467,15.796875,76561198959824088,bLitz,,2
15079,drop,1311.9827,451.49918,124.29813,76561198959824088,bLitz,,2
15563,pickup,303.28668,1849.265,130.3544,76561198966340160,Techno4K,,3
15842,drop,-1586.52,440.79,-63.96875,76561198966340160,Techno4K,,3
15849,pickup,-1657.23,419.577,-63.96875,76561199203563345,910-,,3
17340,drop,-625.534,723.45703,-22.844482,76561199203563345,910-,,3
18060,pickup,-428.66724,669.33563,-16.21875,76561198959824088,bLitz,,3
19461,drop,233.0966,1537.644,112.3832,76561198959824088,bLitz,,3
19803,pickup,235.48418,1540.0798,112.812836,76561198959824088,bLitz,,4
22877,drop,205.4962,717.7143,80.03125,76561198959824088,bLitz,,4
23916,pickup,-129.32935,913.7131,53.555553,76561198920720017,Senzu,,5
24120,drop,-1657.23,419.577,-63.96875,76561198920720017,Senzu,,5
24127,pickup,-1586.52,440.79,-63.96875,76561198966340160,Techno4K,,5
28914,drop,546.95874,2908.3232,224.82812,76561198966340160,Techno4K,,5
29922,pickup,709.4373,2946.762,157.39062,76561198838822582,Mzinho,,5
30521,plant,429.94382,2912.7322,164.03125,76561198838822582,Mzinho,BombsiteB,5
32760,pickup,763.01,2613.3528,136.03148,76561198838822582,Mzinho,,6
33793,drop,-1657.23,419.577,-63.96875,76561198838822582,Mzinho,,6
33800,pickup,-1586.52,440.79,-63.96875,76561198959824088,bLitz,,6
40737,plant,569.38605,2879.6357,168.03123,76561198959824088,bLitz,BombsiteB,6
42758,defuse,581.88727,2820.5083,161.53123,76561198113666193,ZywOo,BombsiteB,6
43078,pickup,11.172526,2899.346,161.03125,76561199203563345,910-,,7
43214,drop,-1657.23,419.577,-63.96875,76561199203563345,910-,,7
43221,pickup,-1586.52,440.79,-63.96875,76561198966340160,Techno4K,,7
44949,drop,-637.8794,627.2635,-30.486633,76561198966340160,Techno4K,,7
