armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
100,398.53745,1718.3716,134.03125,100.0,Banana,Techno4K,76561198966340160,t,ct,0,1,99,generic,t,2525,475.72244,1851.7673,136.03122,100,Banana,ZywOo,76561198113666193,ct,decoy,1,1
100,865.3062,2184.8645,136.3229,100.0,Banana,flameZ,76561197978835160,ct,ct,0,1,99,chest,t,3221,362.11578,1703.6624,186.38281,100,Banana,Senzu,76561198920720017,t,hkp2000,1,1
94,363.3977,1696.2455,186.38281,99.0,Banana,Senzu,76561198920720017,t,ct,6,11,89,chest,t,3236,840.97235,2210.2495,136.03128,100,Banana,flameZ,76561197978835160,ct,glock,11,1
71,554.1364,2473.9417,290.07812,100.0,BombsiteB,apEX,76561197989744167,ct,ct,29,44,55,generic,t,3363,395.252,1744.3859,134.03123,99,Banana,Senzu,76561198920720017,t,hegrenade,44,1
84,554.1364,2473.9417,290.07812,100.0,BombsiteB,apEX,76561197989744167,ct,ct,16,25,75,generic,t,3363,395.52856,1711.0007,134.03127,100,Banana,Techno4K,76561198966340160,t,hegrenade,25,1
99,554.1364,2473.9417,290.07812,100.0,BombsiteB,apEX,76561197989744167,ct,ct,1,2,98,generic,t,3363,273.77783,1550.0878,121.21232,100,Banana,Mzinho,76561198838822582,t,hegrenade,2,1
99,999.50757,-204.21765,256.03125,100.0,Apartments,ropz,76561197991272318,ct,ct,0,21,77,head,t,4108,727.9092,623.3057,127.25,98,Middle,Mzinho,76561198838822582,t,hkp2000,21,1
99,991.0769,-205.81769,256.03125,100.0,Apartments,ropz,76561197991272318,ct,ct,0,86,0,head,t,4140,703.0451,638.7522,96.031265,77,Middle,Mzinho,76561198838822582,t,hkp2000,77,1
94,685.4544,516.9739,92.88017,100.0,Middle,bLitz,76561198959824088,t,ct,6,10,90,chest,t,4456,1017.1441,-212.95068,256.03125,100,Apartments,ropz,76561197991272318,ct,glock,10,1
71,1069.5895,2732.6572,127.67559,89.0,Ruins,flameZ,76561197978835160,ct,ct,0,132,0,head,t,5512,772.6846,2743.7295,182.57812,55,BombsiteB,Senzu,76561198920720017,t,hkp2000,55,1
94,1791.8589,2820.8406,124.03191,100.0,CTSpawn,apEX,76561197989744167,ct,ct,0,40,49,head,t,5526,1029.4327,2746.684,129.7558,89,Ruins,flameZ,76561197978835160,ct,hkp2000,40,1
100,454.42697,2554.7217,161.53125,75.0,BombsiteB,Techno4K,76561198966340160,t,ct,0,105,0,head,t,5622,37.050808,2546.792,161.03125,99,BombsiteB,ZywOo,76561198113666193,ct,glock,99,1
0,809.0755,2737.5918,136.03116,49.0,BombsiteB,flameZ,76561197978835160,ct,ct,0,34,66,chest,t,5632,710.22595,2808.1973,139.90887,100,BombsiteB,bLitz,76561198959824088,t,hkp2000,34,1
0,833.8777,2779.6008,135.65997,49.0,BombsiteB,flameZ,76561197978835160,ct,ct,0,34,32,chest,t,5660,695.71466,2805.814,140.91898,66,BombsiteB,bLitz,76561198959824088,t,hkp2000,34,1
