round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1263,7971,8291,t,ct_killed,6066,bombsite_b
2,8291,9571,15243,15563,ct,t_killed,,not_planted
3,15563,16843,19483,19803,ct,t_killed,,not_planted
4,19803,21083,23596,23916,ct,t_killed,,not_planted
5,23916,27432,32440,32760,t,ct_killed,30521,bombsite_b
6,32760,34040,42758,43078,ct,bomb_defused,40737,bombsite_b
7,43078,44358,51395,51715,ct,t_killed,,not_planted
8,51715,52995,60355,60675,ct,time_ran_out,,not_planted
9,60675,61955,67140,67460,ct,t_killed,,not_planted
10,67460,71680,77336,77656,ct,t_killed,,not_planted
11,77656,78936,84836,85156,t,ct_killed,83243,bombsite_b
12,85156,86436,92659,93203,t,ct_killed,91059,bombsite_b
13,93203,107536,111881,112201,t,ct_killed,111333,bombsite_b
14,112201,113481,118308,118628,t,ct_killed,117748,bombsite_b
15,118628,119908,123862,124182,t,ct_killed,,not_planted
16,124182,125462,129567,129887,ct,t_killed,,not_planted
17,129887,131167,139780,140100,ct,bomb_defused,137963,bombsite_b
18,140100,141380,147251,147571,ct,t_killed,,not_planted
19,147571,150952,155409,155729,t,ct_killed,153883,bombsite_b
20,155729,157009,160949,161269,ct,t_killed,,not_planted
21,161269,162549,165181,165501,ct,t_killed,,not_planted
22,165501,166781,174505,174825,ct,bomb_defused,172824,bombsite_b
23,174825,178494,185268,185268,t,ct_killed,184371,bombsite_b
