tick,event,X,Y,Z,steamid,name,bombsite,round_num
1198,drop,-1832.0,-1160.0,-415.96875,76561198113666193,ZywOo,,1
3561,drop,1431.2113,-528.7757,-415.96875,76561197989744167,apEX,,1
4024,pickup,1483.1028,-484.98877,-415.96875,76561198113666193,ZywOo,,1
4674,plant,790.6134,-501.87592,-411.58392,76561198113666193,ZywOo,BombsiteA,1
6723,defuse,817.1156,-556.8326,-399.96826,76561198959824088,bLitz,BombsiteA,1
7043,pickup,425.6117,-1261.5878,-415.96875,76561197991272318,ropz,,2
8628,drop,-860.0603,-985.35266,-413.96875,76561197991272318,ropz,,2
8983,pickup,-597.8968,-945.50964,-415.96875,76561197973140692,mezii,,2
11135,plant,608.023,-771.6922,-415.96875,76561197973140692,mezii,BombsiteA,2
12735,defuse,656.2669,-805.4816,-415.96875,76561198838822582,Mzinho,BombsiteA,2
13055,pickup,613.0004,-787.2408,-415.96875,76561198113666193,ZywOo,,3
14554,drop,-1094.924,-948.3365,-415.96875,76561198113666193,ZywOo,,3
14561,pickup,-1120.7949,-1034.5448,-415.96875,76561197978835160,flameZ,,3
20119,plant,498.52988,-931.2912,-409.93542,76561197978835160,flameZ,BombsiteA,3
20943,defuse,541.86804,-898.8833,-402.11224,76561198838822582,Mzinho,BombsiteA,3
21263,pickup,496.1764,-906.5121,-404.16138,76561197978835160,flameZ,,4
21447,drop,-1947.01,-1102.11,-415.96875,76561197978835160,flameZ,,4
21454,pickup,-1929.0,-1025.0,-415.96875,76561197989744167,apEX,,4
22490,drop,-1929.0,-1025.0,-415.96875,76561197989744167,apEX,,4
22497,pickup,-1874.0,-1076.0,-415.96875,76561197991272318,ropz,,4
22881,drop,-701.8859,-847.8949,-415.96875,76561197991272318,ropz,,4
22960,pickup,-558.47363,-834.4329,-407.96875,76561197978835160,flameZ,,4
23831,drop,337.33453,24.911213,-415.96875,76561197978835160,flameZ,,4
24270,pickup,307.4274,60.660763,-415.96875,76561198113666193,ZywOo,,4
26867,drop,574.16364,-1234.3455,-415.96875,76561198113666193,ZywOo,,4
