entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
380,8955,9187,770.746826171875,-869.8661499023438,-263.984375,100,Rafters,Techno4K,76561198966340160,ct,304.7226257324219,-1232.5020751953125,-399.0,2
347,10189,10638,-209.92218017578125,-539.2728271484375,-79.90625,100,Roof,apEX,76561197989744167,t,307.703125,-746.1004028320312,-128.0,2
301,10201,10650,100.292236328125,-820.8380126953125,-41.109375,100,Roof,mezii,76561197973140692,t,421.8782958984375,-1023.9595947265625,-256.0,2
231,10294,10743,136.3433380126953,-1188.901123046875,-415.96875,100,Squeaky,ropz,76561197991272318,t,919.5182495117188,-1377.245849609375,-413.96875,2
108,14807,15160,1784.3846435546875,-1544.4144287109375,-413.0625,100,Outside,910-,76561199203563345,ct,237.20587158203125,-2149.03173828125,-416.0,3
320,14959,15312,797.6033325195312,-822.8304443359375,-228.953125,100,Rafters,Senzu,76561198920720017,ct,208.49844360351562,-1199.083251953125,-416.0,3
109,14973,15422,-368.59375,-1067.0340576171875,-171.96875,100,Roof,apEX,76561197989744167,t,439.12823486328125,-1133.865966796875,-256.0,3
324,15004,15351,468.2860107421875,29.66273307800293,-415.96875,100,Ramp,Mzinho,76561198838822582,ct,105.66033172607422,-172.6119842529297,-413.96875,3
306,15056,15409,448.2634582519531,-906.7406616210938,-251.46875,100,HutRoof,Techno4K,76561198966340160,ct,395.198486328125,-880.7311401367188,-389.96875,3
71,23021,23061,1534.898681640625,-1521.067626953125,-402.75,100,Outside,910-,76561199203563345,ct,231.1741943359375,-2142.779541015625,-416.0,4
243,23171,23524,742.5380249023438,-839.5950927734375,-241.03125,100,Rafters,Techno4K,76561198966340160,ct,303.3047180175781,-1240.593994140625,-399.0,4
224,23198,23315,432.525634765625,33.60606002807617,-415.96875,100,Ramp,Mzinho,76561198838822582,ct,100.12713623046875,-165.94769287109375,-413.96875,4
130,24536,24889,720.6521606445312,-1610.7275390625,-415.96875,100,Mini,Senzu,76561198920720017,ct,1059.968017578125,-357.3898620605469,-125.96875,4
194,26703,27056,545.83251953125,-824.6425170898438,-771.96875,100,BombsiteB,bLitz,76561198959824088,ct,871.9754638671875,71.4302749633789,-637.96875,4
324,28928,29281,1536.0556640625,-857.0746459960938,-415.96875,100,Outside,910-,76561199203563345,ct,253.09722900390625,-2134.158447265625,-416.0,5
310,29084,29437,782.5829467773438,-809.6611328125,-216.734375,100,Rafters,Senzu,76561198920720017,ct,353.1206359863281,-1306.996826171875,-416.0,5
218,29096,29449,503.8102111816406,30.59608268737793,-415.96875,100,Ramp,Mzinho,76561198838822582,ct,96.92955017089844,-155.18592834472656,-413.96875,5
308,30368,30721,712.7504272460938,-653.3024291992188,-206.96875,100,Rafters,Techno4K,76561198966340160,ct,379.3812561035156,-910.0376586914062,-389.96875,5
553,35314,35667,1334.2935791015625,-1336.4822998046875,-415.96875,100,Outside,bLitz,76561198959824088,ct,104.20201110839844,-2066.692138671875,-416.0,6
560,35440,35793,796.2763671875,-831.1539306640625,-235.1875,100,Rafters,Senzu,76561198920720017,ct,214.4393310546875,-1190.3927001953125,-416.0,6
569,35831,36280,27.808870315551758,-1891.243408203125,-415.96875,96,Outside,apEX,76561197989744167,t,731.9401245117188,-2363.536865234375,-413.96875,6
577,37101,37454,1146.3311767578125,-1784.22705078125,-634.96875,100,Tunnels,910-,76561199203563345,ct,1564.508544921875,-2057.9931640625,-637.96875,6
585,37354,37803,251.96859741210938,-47.32305908203125,-415.96875,100,Control,flameZ,76561197978835160,t,582.9277954101562,341.18896484375,-563.5497436523438,6
591,37822,38271,746.171142578125,-113.4501953125,-415.96875,30,Ramp,ropz,76561197991272318,t,1087.951416015625,-158.20419311523438,-413.96875,6
598,38973,39326,788.1455078125,-563.5071411132812,-399.9683837890625,100,BombsiteA,Techno4K,76561198966340160,ct,367.57623291015625,-836.0136108398438,-389.96875,6
601,39125,39574,290.2591247558594,-999.274658203125,-391.96875,100,Hut,flameZ,76561197978835160,t,770.1156616210938,-520.551025390625,-407.5641174316406,6
838,41892,42341,1507.9857177734375,-791.67041015625,-415.96875,100,Outside,910-,76561199203563345,ct,219.11741638183594,-2156.45849609375,-416.0,7
846,42063,42416,801.7293090820312,342.3968505859375,-417.3895263671875,100,Ramp,Mzinho,76561198838822582,ct,94.38196563720703,-122.11981201171875,-413.96875,7
847,42074,42427,797.3247680664062,-833.350830078125,-235.1875,100,Rafters,Senzu,76561198920720017,ct,213.9715576171875,-1192.820068359375,-416.0,7
857,43163,43516,658.1719360351562,-1444.503173828125,-607.96875,100,Vents,bLitz,76561198959824088,ct,1065.447021484375,-1773.4599609375,-632.96875,7
861,43468,43821,796.7071533203125,-538.340576171875,-402.7818603515625,100,BombsiteA,Techno4K,76561198966340160,ct,286.2557373046875,-999.9703979492188,-389.96875,7
872,45468,45917,1313.72900390625,-1859.0216064453125,-621.265625,68,Tunnels,flameZ,76561197978835160,t,1181.058349609375,-1036.9677734375,-751.0,7
884,47705,48154,1214.19970703125,-527.0211181640625,-639.96875,68,Observation,flameZ,76561197978835160,t,529.8762817382812,34.024044036865234,-637.9693603515625,7
569,50060,50093,1505.049560546875,-780.0067138671875,-415.96875,100,Outside,910-,76561199203563345,ct,268.4559326171875,-2140.955078125,-416.0,8
570,50202,50555,519.6102294921875,41.92274475097656,-415.96875,100,Ramp,Mzinho,76561198838822582,ct,100.46104431152344,-162.62057495117188,-413.96875,8
584,50232,50585,783.083251953125,-796.7037353515625,-213.21875,100,Rafters,Senzu,76561198920720017,ct,213.4153594970703,-1200.3143310546875,-412.8179931640625,8
187,50407,50856,-149.8985595703125,-763.2827758789062,-171.96875,100,Roof,mezii,76561197973140692,t,410.91107177734375,-1117.0406494140625,-256.0,8
337,50515,50868,929.7888793945312,-1553.0284423828125,-415.96875,100,Outside,bLitz,76561198959824088,ct,761.0064697265625,-2316.41943359375,-413.96875,8
595,52440,52889,-165.5257568359375,-978.5557250976562,-415.96875,100,Lobby,ropz,76561197991272318,t,694.958984375,-1500.3114013671875,-413.96875,8
360,54799,55248,31.37125587463379,-773.2286987304688,-86.96875,7,Roof,apEX,76561197989744167,t,454.4491271972656,-987.2528076171875,-255.99998474121094,8
586,54799,55248,718.4973754882812,-1757.239501953125,-227.3453369140625,100,Silo,flameZ,76561197978835160,t,1482.0291748046875,-1562.214599609375,-413.96875,8
479,54937,55290,807.9445190429688,-527.5462036132812,-405.387451171875,100,BombsiteA,Techno4K,76561198966340160,ct,282.7153625488281,-1052.5416259765625,-389.96875,8
521,56041,56490,933.522705078125,-1410.6300048828125,-415.96875,94,BombsiteA,ZywOo,76561198113666193,t,1076.4332275390625,-387.60894775390625,-125.96875,8
770,61977,62330,1295.6361083984375,-1349.6019287109375,-415.96875,100,Outside,bLitz,76561198959824088,ct,91.0635986328125,-2068.11767578125,-416.0,9
870,62111,62464,796.3815307617188,-827.5028076171875,-231.96875,100,Rafters,Senzu,76561198920720017,ct,212.7759552001953,-1196.8511962890625,-413.96875,9
873,62531,62980,-186.139404296875,-1795.666015625,-379.703125,100,Outside,apEX,76561197989744167,t,769.5048217773438,-2375.82666015625,-413.96875,9
814,63730,64179,538.0885009765625,-2340.378173828125,-415.96875,100,Outside,apEX,76561197989744167,t,1518.78271484375,-2438.7919921875,-557.96875,9
878,64498,64851,1152.6400146484375,-1763.66259765625,-592.3125,100,Tunnels,910-,76561199203563345,ct,1397.3543701171875,-1885.19775390625,-637.96875,9
753,64960,65409,737.721923828125,-1591.740478515625,-239.96875,100,Silo,flameZ,76561197978835160,t,1491.620849609375,-1572.58935546875,-413.96875,9
622,67713,68066,974.9658813476562,-735.0404663085938,-127.96875,88,Crane,Techno4K,76561198966340160,ct,1205.921142578125,-430.1427307128906,-416.0,9
628,68457,68906,289.8149108886719,-1072.699951171875,-391.96875,79,Hut,ZywOo,76561198113666193,t,964.6251831054688,-454.2530212402344,-125.96875,9
175,73371,73724,1818.2156982421875,-1470.54541015625,-415.96875,100,Outside,910-,76561199203563345,ct,247.91329956054688,-2164.083251953125,-416.0,10
514,73554,73594,778.42529296875,-846.4497680664062,-254.21875,100,Rafters,Techno4K,76561198966340160,ct,324.1289978027344,-1221.09423828125,-416.0,10
526,73556,73909,1058.634521484375,-470.76123046875,-127.96875,100,Heaven,Senzu,76561198920720017,ct,318.9170227050781,-947.9762573242188,-389.96875,10
348,74334,74783,116.71459197998047,-1192.6956787109375,-415.96875,100,Squeaky,ropz,76561197991272318,t,902.353515625,-1398.974853515625,-413.96875,10
759,77312,77761,357.1243896484375,100.94281005859375,-415.96875,100,Ramp,mezii,76561197973140692,t,1188.4832763671875,-82.61604309082031,-413.96875,10
531,77856,78305,614.5986938476562,-437.31878662109375,-713.4398803710938,100,BombsiteB,flameZ,76561197978835160,t,1145.4847412109375,-1017.294189453125,-765.96875,10
523,81532,81981,-163.214599609375,-841.2450561523438,-415.96875,100,Lobby,ropz,76561197991272318,t,673.8147583007812,-1520.733154296875,-413.46875,11
853,82976,83425,1145.1942138671875,-1250.1883544921875,-654.5035400390625,100,Tunnels,flameZ,76561197978835160,t,466.89984130859375,-1450.879150390625,-591.0,11
784,83432,83881,461.86419677734375,-1581.17431640625,-660.052978515625,100,Tunnels,mezii,76561197973140692,t,556.3869018554688,-1447.924072265625,-608.0,11
868,83737,84186,1208.599609375,-483.7852783203125,-639.96875,100,Observation,ZywOo,76561198113666193,t,459.17242431640625,12.210301399230957,-637.96875,11
467,88915,89269,1470.0870361328125,-755.7792358398438,-415.96875,100,Outside,910-,76561199203563345,ct,244.94189453125,-2147.782958984375,-416.0,12
528,89066,89420,768.1130981445312,-813.3422241210938,-218.78125,100,Rafters,Senzu,76561198920720017,ct,214.8974609375,-1207.6392822265625,-416.0,12
549,92308,92757,1121.273193359375,-1114.0751953125,-745.2456665039062,55,Tunnels,ZywOo,76561198113666193,t,465.9268798828125,-1452.92138671875,-605.96875,12
516,93017,93371,468.6996154785156,-1425.9779052734375,-604.046875,36,Vents,Techno4K,76561198966340160,ct,418.651611328125,-1674.6129150390625,-695.0,12
695,114862,115216,636.1409912109375,-758.4078369140625,-193.515625,100,Rafters,mezii,76561197973140692,ct,282.2830810546875,-1227.6766357421875,-416.0,14
315,118381,118830,99.04840850830078,-1188.205810546875,-415.96875,100,Squeaky,Techno4K,76561198966340160,t,944.7893676757812,-1403.6561279296875,-416.0,14
615,121780,122229,-211.8492431640625,-850.677978515625,-415.96875,100,Lobby,Techno4K,76561198966340160,t,693.41796875,-1511.077392578125,-413.96875,15
306,123183,123632,1339.0537109375,-1962.0330810546875,-639.96875,100,Tunnels,bLitz,76561198959824088,t,1190.8402099609375,-1046.0208740234375,-768.0,15
238,125558,,840.5513305664062,-1298.948974609375,-415.96875,76,BombsiteA,Mzinho,76561198838822582,t,831.706787109375,-1707.2396240234375,-413.96875,15
732,127669,127824,1677.51416015625,-1520.679443359375,-415.96875,100,Outside,apEX,76561197989744167,ct,137.61041259765625,-2085.702392578125,-416.0,16
738,127767,128216,76.61286163330078,-1289.38818359375,-159.929931640625,100,Roof,Senzu,76561198920720017,t,434.3544921875,-1114.519287109375,-256.0,16
739,127771,128125,902.5491333007812,-409.7030029296875,-415.96875,100,BombsiteA,mezii,76561197973140692,ct,394.2928466796875,-879.1085205078125,-389.96875,16
740,127791,128119,828.0125122070312,-874.146240234375,-294.859375,100,Rafters,flameZ,76561197978835160,ct,250.26393127441406,-1292.6806640625,-416.0,16
997,129707,130156,1151.330810546875,-906.6212158203125,-767.96875,100,Tunnels,Mzinho,76561198838822582,t,912.10888671875,-1301.9400634765625,-765.96875,16
1008,131677,132126,292.7257385253906,-949.2467651367188,-391.96875,14,Hut,Techno4K,76561198966340160,t,748.5552368164062,-525.06396484375,-406.4747619628906,16
1009,131907,132356,231.78762817382812,-1446.4359130859375,-775.96875,100,Decon,910-,76561199203563345,t,649.8837280273438,-1467.5360107421875,-591.0,16
978,137013,137367,1493.4183349609375,-1548.757080078125,-407.96875,100,Outside,apEX,76561197989744167,ct,131.82373046875,-2087.77978515625,-416.0,17
797,137110,137259,879.0256958007812,-284.606689453125,-127.96875,100,Rafters,mezii,76561197973140692,ct,294.97662353515625,-974.9441528320312,-389.96875,17
633,137143,137183,760.7815551757812,-871.8549194335938,-278.15625,100,Rafters,flameZ,76561197978835160,ct,251.28143310546875,-1292.53515625,-416.0,17
349,137163,137612,-338.0223388671875,-1131.21337890625,-170.3583984375,100,Roof,Techno4K,76561198966340160,t,448.1002502441406,-1126.667724609375,-256.0,17
613,137345,137794,380.7537536621094,-777.2854614257812,-391.96875,70,Hut,bLitz,76561198959824088,t,709.70068359375,-492.0972900390625,-413.96875,17
652,142670,142799,1635.8001708984375,-1577.684326171875,-407.96875,100,Outside,apEX,76561197989744167,ct,132.8632354736328,-2093.347412109375,-416.0,18
716,142841,143111,757.8723754882812,307.311767578125,-370.36871337890625,100,Ramp,ropz,76561197991272318,ct,97.8011474609375,-117.53516387939453,-413.96875,18
717,142842,143196,979.8699951171875,-654.3907470703125,-127.96875,100,Rafters,flameZ,76561197978835160,ct,293.02911376953125,-987.6726684570312,-375.0,18
646,142847,143296,-330.76019287109375,-795.0841064453125,-156.60302734375,100,Roof,Senzu,76561198920720017,t,460.7707214355469,-1105.142578125,-121.96875,18
674,142847,143201,662.6715698242188,-737.6533813476562,-206.96875,100,Rafters,mezii,76561197973140692,ct,221.2771453857422,-1216.234375,-413.96875,18
729,144871,145320,-61.67657470703125,-1305.8638916015625,-415.96875,100,Squeaky,910-,76561199203563345,t,813.566162109375,-1298.7166748046875,-413.96875,18
742,145616,146065,347.5473937988281,-691.7258911132812,-415.96875,97,BombsiteA,mezii,76561197973140692,ct,347.7790832519531,-1137.8585205078125,-375.0,18
736,147656,148010,1122.1759033203125,-393.53961181640625,-127.96875,100,Heaven,ZywOo,76561198113666193,ct,363.6295166015625,-810.5350341796875,-389.96875,18
573,151671,152025,1697.3919677734375,-1561.542724609375,-407.96875,100,Outside,apEX,76561197989744167,ct,115.7107162475586,-2091.1435546875,-416.0,19
819,151738,152092,923.8197631835938,-395.1080322265625,-389.5625,100,BombsiteA,mezii,76561197973140692,ct,291.5550537109375,-987.91943359375,-375.0,19
478,151747,152101,828.0455932617188,-848.943115234375,-263.21875,100,Rafters,flameZ,76561197978835160,ct,285.1759338378906,-1230.3262939453125,-416.0,19
1014,151800,152121,637.0068359375,96.79011535644531,-414.96875,100,Ramp,ropz,76561197991272318,ct,96.7904281616211,-90.37626647949219,-413.96875,19
107,151800,152249,51.99397659301758,-1271.2691650390625,-159.929931640625,100,Roof,Senzu,76561198920720017,t,458.22174072265625,-1102.24951171875,-121.96875,19
117,156926,157280,1672.1219482421875,-964.2180786132812,-351.96875,100,Outside,ZywOo,76561198113666193,ct,135.8141326904297,-2131.713134765625,-416.0,20
862,157021,157375,928.8150634765625,-385.5966796875,-380.90625,100,BombsiteA,mezii,76561197973140692,ct,290.1148681640625,-976.826904296875,-392.0,20
670,157047,157496,616.3807983398438,-741.582275390625,-206.96875,100,Rafters,flameZ,76561197978835160,ct,261.6934814453125,-1279.9385986328125,-415.46875,20
1006,158539,158893,1152.1202392578125,-281.21533203125,-415.46875,100,Admin,ropz,76561197991272318,ct,91.25985717773438,-33.6826057434082,-413.96875,20
661,162294,162648,848.8515625,705.4744262695312,-479.96875,100,Ramp,mezii,76561197973140692,ct,732.0989990234375,-12.368399620056152,-637.9688720703125,20
