assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,1571.1768,-340.78436,-415.96875,100.0,Outside,910-,76561199203563345,ct,false,false,ct,9.28007,0,130,0,true,head,false,false,0,0,t,false,3473,1277.2734,-559.8983,-415.46875,80,Hell,mezii,76561197973140692,t,usp_silencer,17293822569102704701,0,"",0,1
false,,,,,,,,,1506.5057,-314.03186,-415.96875,100.0,Outside,910-,76561199203563345,ct,false,false,ct,5.7065125,0,134,0,true,head,false,false,0,0,t,false,3561,1431.2113,-528.7757,-415.96875,100,Outside,apEX,76561197989744167,t,usp_silencer,17293822569102704701,0,"",0,1
false,,,,,,,,,1377.6444,-1707.7676,-415.96875,100.0,Outside,bLitz,76561198959824088,ct,false,false,ct,12.374974,9,20,0,false,stomach,false,false,0,0,t,false,3691,921.7456,-1557.3411,-353.85938,12,Silo,flameZ,76561197978835160,t,usp_silencer,17293822569135734845,38741313177,"",0,1
false,,,,,,,,,1390.822,-532.7217,-415.46875,100.0,Hell,ZywOo,76561198113666193,t,false,false,ct,5.622947,0,112,0,true,head,false,false,0,0,t,false,3893,1455.9377,-320.1936,-415.96875,100,Outside,910-,76561199203563345,ct,glock,17293822569181872132,43805746730,"",0,1
false,,,,,,,,,571.40283,-553.3054,-399.96875,9.0,BombsiteA,ropz,76561197991272318,t,false,false,ct,19.934908,0,93,0,true,head,false,false,0,0,t,false,4063,590.59375,-1337.9146,-415.96875,7,BombsiteA,Senzu,76561198920720017,ct,glock,17293822569105195012,30219531045,"",0,1
false,,,,,,,,,-155.86316,-1121.5371,-415.96875,9.0,Lobby,ropz,76561197991272318,t,false,false,ct,13.916382,0,100,0,true,head,false,false,0,0,t,false,4956,345.49017,-1344.3538,-415.96875,80,BombsiteA,Techno4K,76561198966340160,ct,glock,17293822569105195012,30219531045,"",0,1
false,,,,,,,,,565.5769,-1574.1466,-415.96875,89.0,Mini,bLitz,76561198959824088,ct,false,false,ct,18.728941,0,121,0,true,head,false,false,0,0,t,false,5609,607.1971,-839.49945,-415.96875,38,BombsiteA,ZywOo,76561198113666193,t,usp_silencer,17293822569135734845,38741313177,"",0,1
false,345.49017,-1344.3538,-415.96875,0.0,BombsiteA,Techno4K,76561198966340160,ct,-47.737244,-1276.8446,-415.96875,100.0,Squeaky,Mzinho,76561198838822582,ct,false,false,ct,12.043741,0,128,0,true,head,false,false,0,0,t,false,5789,425.73245,-1262.2551,-415.96875,9,BombsiteA,ropz,76561197991272318,t,usp_silencer,17293822569135734845,43320655560,"",0,1
false,,,,,,,,,185.48268,-1184.9506,-415.96875,100.0,Squeaky,ropz,76561197991272318,t,false,false,ct,7.780745,13,91,0,true,head,false,false,0,0,t,true,10371,369.89465,-1426.8374,-415.96875,9,BombsiteA,Techno4K,76561198966340160,ct,galilar,17293822569146023949,26038645564,"",0,2
false,,,,,,,,,284.94443,-934.26764,-391.96875,100.0,Hut,ZywOo,76561198113666193,t,false,false,ct,20.249128,13,90,0,true,head,false,false,0,0,t,false,10378,984.57513,-673.9004,-127.96875,29,Rafters,Senzu,76561198920720017,ct,galilar,17293822569166405645,26390742273,"",0,2
