entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
114,2065,3477,-399.2200927734375,-750.2900390625,-415.96875,100,Outside,apEX,76561197989744167,t,835.4862060546875,-1631.0325927734375,-237.96875,1
354,8819,10231,-521.5195922851562,-1167.0255126953125,-154.71875,100,Outside,apEX,76561197989744167,t,247.57582092285156,-2171.7958984375,-413.96875,2
203,9013,10425,835.8129272460938,44.371341705322266,-415.96875,100,Ramp,Mzinho,76561198838822582,ct,106.11934661865234,-198.8164825439453,-413.96875,2
74,9109,10521,-313.193359375,-937.2838134765625,-415.96875,100,Lobby,flameZ,76561197978835160,t,889.9080810546875,-2152.641357421875,-413.96875,2
349,9162,10574,-528.7151489257812,-1145.0592041015625,-154.96875,100,Outside,mezii,76561197973140692,t,1149.405029296875,-2136.27294921875,-413.96875,2
340,9162,10574,912.82666015625,-1628.4996337890625,-415.96875,100,Outside,bLitz,76561198959824088,ct,299.4326171875,-1282.835693359375,-413.96875,2
473,10260,11672,92.73767852783203,-1215.5977783203125,-415.96875,100,Squeaky,ropz,76561197991272318,t,634.7252807617188,-1542.7386474609375,-413.96875,2
338,10446,11858,984.259521484375,-673.0404052734375,-127.96875,0,Rafters,Senzu,76561198920720017,ct,217.46485900878906,-1213.2645263671875,-413.96875,2
372,11402,12814,331.0351257324219,-1407.93798828125,-415.96875,14,BombsiteA,ropz,76561197991272318,t,675.007080078125,-1538.28271484375,-413.78717041015625,2
355,11913,,496.3806457519531,-981.30224609375,-415.96875,100,BombsiteA,bLitz,76561198959824088,ct,348.4364929199219,-998.6868286132812,-389.96875,2
110,15019,16431,286.2020263671875,-1264.7708740234375,-415.96875,81,Squeaky,ropz,76561197991272318,t,419.9692687988281,-1314.6236572265625,-413.9690856933594,3
242,15329,16741,638.016357421875,315.0814514160156,-350.15625,100,Ramp,Mzinho,76561198838822582,ct,110.89230346679688,-73.17963409423828,-413.2351379394531,3
354,16121,17533,744.38525390625,-1427.760009765625,-415.96875,73,BombsiteA,Techno4K,76561198966340160,ct,292.16680908203125,-1282.245361328125,-413.96875,3
349,23041,24453,-719.1793823242188,-1082.234619140625,-415.96875,100,Outside,apEX,76561197989744167,t,175.31024169921875,-2188.33154296875,-413.2063903808594,4
123,23315,24727,145.03636169433594,-396.897216796875,-415.96875,100,Trophy,ZywOo,76561198113666193,t,100.12713623046875,-165.94769287109375,-413.96875,4
378,24224,25636,382.58941650390625,-1300.8746337890625,-415.96875,100,BombsiteA,Senzu,76561198920720017,ct,-162.57003784179688,-551.8873901367188,-413.96875,4
193,25008,26420,676.8530883789062,-1336.33251953125,-767.96875,100,BombsiteB,Techno4K,76561198966340160,ct,853.242919921875,77.02147674560547,-637.96875,4
119,25702,27114,460.92852783203125,35.87417984008789,-639.96875,30,Ramp,apEX,76561197989744167,t,607.2708129882812,-1256.369384765625,-766.96875,4
326,29129,30541,-707.7152709960938,-777.7601318359375,-415.96875,100,Outside,mezii,76561197973140692,t,1008.5233764648438,-1890.816162109375,-413.96875,5
189,29184,30596,-527.9173583984375,-684.8132934570312,-415.96875,100,Outside,mezii,76561197973140692,t,1158.8128662109375,-2041.1903076171875,-413.96875,5
