tick,event,X,Y,Z,steamid,name,bombsite,round_num
500,drop,1296.0,-352.0,-167.96875,76561198966340160,Techno4K,,1
526,pickup,1216.0,-211.0,-163.96875,76561198838822582,Mzinho,,1
1168,drop,1216.0,-211.0,-163.96875,76561198838822582,Mzinho,,1
1196,pickup,1136.0,-64.0,-164.49915,76561198959824088,bLitz,,1
3308,plant,-277.23218,-2157.1904,-173.69531,76561198959824088,bLitz,BombsiteA,1
4585,pickup,-1445.8273,-2225.0034,-241.16309,76561198838822582,Mzinho,,2
5014,drop,1216.0,-307.0,-164.81482,76561198838822582,Mzinho,,2
5021,pickup,1136.0,-256.0,-164.83655,76561199203563345,910-,,2
6197,drop,497.56717,450.28296,-259.16364,76561199203563345,910-,,2
7069,pickup,277.53174,194.48058,-254.8537,76561198838822582,Mzinho,,2
7304,drop,585.605,633.89056,-135.96875,76561198838822582,Mzinho,,2
8432,pickup,564.2365,781.6517,-135.96875,76561198838822582,Mzinho,,2
11078,drop,-1955.2467,767.31757,-47.96875,76561198838822582,Mzinho,,2
11378,pickup,-2011.2463,695.9873,-47.96875,76561199203563345,910-,,2
11939,plant,-1969.0312,450.0316,-159.96875,76561199203563345,910-,BombsiteB,2
14563,detonate,-856.41583,-286.8075,-167.01642,76561199203563345,910-,,2
14883,pickup,-1041.1697,-106.19379,-167.96875,76561199203563345,910-,,3
16844,drop,338.71518,16.679365,-207.46881,76561199203563345,910-,,3
18785,pickup,217.56114,62.570885,-215.67181,76561199203563345,910-,,3
21379,drop,-460.34692,-1768.8866,-175.06104,76561199203563345,910-,,3
22662,pickup,-481.36743,-1983.2765,-179.96875,76561198966340160,Techno4K,,3
22746,drop,-507.96252,-2099.5103,-179.96875,76561198966340160,Techno4K,,3
23066,pickup,-598.7829,-773.3521,-261.96875,76561198920720017,Senzu,,4
23137,drop,1216.0,-211.0,-163.96875,76561198920720017,Senzu,,4
23146,pickup,1216.0,-115.0,-163.96875,76561199203563345,910-,,4
25062,drop,274.80313,-32.069946,-192.10352,76561199203563345,910-,,4
26470,pickup,213.0018,36.675148,-207.72906,76561198920720017,Senzu,,4
27661,drop,-1721.8081,726.1336,-47.96875,76561198920720017,Senzu,,4
27849,pickup,-2067.0942,423.03784,-159.96875,76561198838822582,Mzinho,,4
28136,plant,-1987.0334,413.54956,-159.96875,76561198838822582,Mzinho,BombsiteB,4
30760,detonate,-66.868164,-1589.4246,-34.21875,76561198838822582,Mzinho,,4
31071,pickup,1191.1318,-456.85522,-171.89734,76561198959824088,bLitz,,5
36266,plant,-425.89624,-1994.5544,-179.96875,76561198959824088,bLitz,BombsiteA,5
38890,detonate,1422.3174,31.287184,-167.96875,76561198959824088,bLitz,,5
39210,pickup,201.15103,-1468.4285,-175.96875,76561198966340160,Techno4K,,6
40724,drop,1090.9062,424.0606,-261.39355,76561198966340160,Techno4K,,6
44807,pickup,1072.12,656.8024,-241.60938,76561198959824088,bLitz,,6
45986,pickup,-1140.6488,-208.91425,-55.96875,76561198838822582,Mzinho,,7
49530,drop,1357.6195,49.348854,-167.96875,76561198838822582,Mzinho,,7
51089,pickup,1013.15356,412.65393,-256.78467,76561198959824088,bLitz,,7
54983,drop,-1201.9205,216.68452,-168.95135,76561198959824088,bLitz,,7
56048,pickup,-1448.3882,212.94357,-166.96875,76561198920720017,Senzu,,7
56921,pickup,-744.19586,98.08842,-143.96875,76561199203563345,910-,,8
56993,drop,1216.0,-115.0,-163.96875,76561199203563345,910-,,8
57021,pickup,1296.0,32.0,-167.96875,76561198838822582,Mzinho,,8
57620,drop,1296.0,32.0,-167.96875,76561198838822582,Mzinho,,8
57647,pickup,1216.0,-115.0,-163.96875,76561199203563345,910-,,8
61451,drop,1064.9866,366.47614,-260.77197,76561199203563345,910-,,8
61556,pickup,933.2821,653.88885,-247.83716,76561198959824088,bLitz,,8
65487,drop,-699.2526,-787.3767,-263.96875,76561198959824088,bLitz,,8
65494,pickup,-703.22736,-853.1149,-257.4076,76561198920720017,Senzu,,8
67015,drop,-673.6705,-825.5311,-263.96875,76561198920720017,Senzu,,8
68031,pickup,-673.9622,-826.42975,-263.96875,76561198920720017,Senzu,,9
68091,drop,1296.0,32.0,-167.96875,76561198920720017,Senzu,,9
68119,pickup,1216.0,-115.0,-163.96875,76561199203563345,910-,,9
69707,drop,1187.8373,-424.84924,-163.96875,76561199203563345,910-,,9
69783,pickup,1226.4182,-357.1789,-164.82947,76561198920720017,Senzu,,9
69937,drop,1303.1418,-843.89246,-167.96875,76561198920720017,Senzu,,9
69966,pickup,1344.1543,-1099.1849,-167.96875,76561198966340160,Techno4K,,9
70333,drop,960.47437,-1688.6501,-95.52899,76561198966340160,Techno4K,,9
70340,pickup,959.5019,-1651.7823,-119.96875,76561198920720017,Senzu,,9
70416,drop,950.0034,-1803.7606,-71.96875,76561198920720017,Senzu,,9
