armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
100,-1447.6863,-2236.2312,-241.08966,100.0,CTSpawn,mezii,76561197973140692,ct,ct,0,122,0,head,t,3217,-742.0674,-2355.755,-176.70447,100,BombsiteA,Senzu,76561198920720017,t,hkp2000,100,1
68,-776.62897,-2167.717,-179.96875,100.0,BombsiteA,910-,76561199203563345,t,ct,32,49,51,generic,t,3370,-1407.9396,-2167.4155,-235.96875,100,CTSpawn,ropz,76561197991272318,ct,hegrenade,49,1
79,-776.62897,-2167.717,-179.96875,100.0,BombsiteA,910-,76561199203563345,t,ct,21,31,69,generic,t,3370,-1447.6168,-2107.1777,-246.1914,100,CTSpawn,flameZ,76561197978835160,ct,hegrenade,31,1
0,-776.62897,-2167.717,-179.96875,100.0,BombsiteA,910-,76561199203563345,t,ct,0,42,58,generic,t,3370,-1526.503,-2158.521,-251.13226,100,CTSpawn,mezii,76561197973140692,ct,hegrenade,42,1
0,-1563.9012,-2292.584,-248.48975,58.0,CTSpawn,mezii,76561197973140692,ct,ct,0,29,71,chest,t,3489,-594.572,-2368.9666,-168.9748,100,BombsiteA,bLitz,76561198959824088,t,hkp2000,29,1
0,-1563.5743,-2289.0596,-248.66376,58.0,CTSpawn,mezii,76561197973140692,ct,ct,0,36,35,stomach,t,3504,-613.79926,-2354.5532,-131.01562,71,BombsiteA,bLitz,76561198959824088,t,hkp2000,36,1
0,-1562.9078,-2281.2363,-249.05414,58.0,CTSpawn,mezii,76561197973140692,ct,ct,0,29,6,chest,t,3520,-606.9269,-2324.8857,-107.859375,35,BombsiteA,bLitz,76561198959824088,t,hkp2000,29,1
0,-884.9431,-2309.3281,-168.62573,100.0,BombsiteA,Techno4K,76561198966340160,t,ct,0,97,0,head,t,3554,-1537.8519,-2354.1445,-245.09814,58,CTSpawn,mezii,76561197973140692,ct,glock,58,1
0,-1101.0839,-2335.736,-167.96875,100.0,CTSpawn,apEX,76561197989744167,ct,ct,0,31,0,chest,t,3579,-594.9496,-2233.902,-179.96875,6,BombsiteA,bLitz,76561198959824088,t,hkp2000,6,1
78,-594.9496,-2233.902,-179.96875,0.0,BombsiteA,bLitz,76561198959824088,t,ct,1,2,67,generic,t,3592,-1454.6425,-2349.917,-235.46857,69,CTSpawn,flameZ,76561197978835160,ct,hegrenade,2,1
92,-1099.1337,-2365.7285,-167.96875,100.0,CTSpawn,apEX,76561197989744167,ct,ct,8,16,84,chest,t,3608,-884.64056,-2302.4336,-168.95905,100,BombsiteA,Techno4K,76561198966340160,t,hkp2000,16,1
84,-1105.572,-2343.7432,-167.96875,100.0,CTSpawn,apEX,76561197989744167,ct,ct,8,16,68,chest,t,3619,-885.3269,-2323.0986,-167.97961,84,BombsiteA,Techno4K,76561198966340160,t,hkp2000,16,1
97,-1269.9884,-2328.207,-199.28528,51.0,CTSpawn,ropz,76561197991272318,ct,ct,3,7,93,stomach,t,3626,-1108.713,-2323.7485,-167.96875,100,CTSpawn,apEX,76561197989744167,ct,hkp2000,7,1
83,-1269.9884,-2328.207,-199.28528,51.0,CTSpawn,ropz,76561197991272318,ct,ct,1,3,65,chest,t,3626,-885.5524,-2325.4211,-167.96875,68,BombsiteA,Techno4K,76561198966340160,t,hkp2000,3,1
