entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
325,7922,8371,497.32733154296875,-512.6029052734375,-160.1839599609375,100,TopofMid,Senzu,76561198920720017,t,-1234.1351318359375,-586.4180297851562,-165.96875,2
327,9326,9775,-767.2073364257812,-737.6849365234375,-233.859375,100,Middle,bLitz,76561198959824088,t,-1138.3721923828125,-241.13539123535156,-39.0,2
334,16674,17123,218.0872039794922,46.67169189453125,-210.8946533203125,100,SideAlley,910-,76561199203563345,t,-287.7042541503906,-657.2483520507812,-259.3780822753906,3
312,19287,19736,-915.181884765625,-788.4635620117188,-221.96875,100,Middle,bLitz,76561198959824088,t,-1138.52880859375,-242.3869171142578,-39.0,3
265,20260,20709,324.2542724609375,-1599.481689453125,-175.96875,100,TRamp,Techno4K,76561198966340160,t,-1273.4879150390625,-1443.0545654296875,-156.80445861816406,3
368,20846,21295,-307.78070068359375,-1798.4915771484375,-167.96875,100,BombsiteA,Mzinho,76561198838822582,t,-1275.148193359375,-1262.7044677734375,-151.0,3
323,25163,25516,-2172.368896484375,720.90673828125,-121.328125,100,Truck,mezii,76561197973140692,ct,-1026.926513671875,661.1679077148438,-47.34714889526367,4
288,25365,25718,-904.2372436523438,97.84300231933594,-168.8865966796875,100,Catwalk,ropz,76561197991272318,ct,-979.4715576171875,-447.94775390625,-328.0,4
499,33041,33490,396.16900634765625,-79.907958984375,-180.10302734375,100,TopofMid,Senzu,76561198920720017,t,-1020.92431640625,-625.0927734375,-288.0,5
208,35399,35848,44.377689361572266,-2343.484130859375,-39.96875,100,PalaceInterior,Mzinho,76561198838822582,t,148.2271728515625,-2060.742919921875,-151.0,5
331,35864,36313,131.67921447753906,-1691.409912109375,-167.96875,100,PalaceInterior,Senzu,76561198920720017,t,-1171.3717041015625,-1340.2911376953125,-166.24310302734375,5
298,36442,36891,-289.68212890625,-1697.64111328125,-167.96875,100,BombsiteA,bLitz,76561198959824088,t,-1026.8936767578125,-2387.215087890625,-165.96875,5
158,42046,42495,480.6787109375,-542.932861328125,-160.7210693359375,100,TopofMid,bLitz,76561198959824088,t,-900.00244140625,-258.5106201171875,-165.93887329101562,6
359,49649,50002,-794.6035766601562,-2232.371826171875,-179.96875,100,CTSpawn,flameZ,76561197978835160,ct,395.06494140625,-1545.22900390625,-224.0,7
104,49989,50438,258.15496826171875,145.94395446777344,-238.1444091796875,100,SideAlley,bLitz,76561198959824088,t,-1061.0150146484375,-694.7109375,-189.96875,7
271,50169,50522,-2151.921630859375,541.0528564453125,-163.27227783203125,100,BombsiteB,mezii,76561197973140692,ct,-1086.384765625,616.0947875976562,-77.96875,7
289,51016,51465,614.874755859375,-1497.196533203125,-263.95263671875,100,PalaceAlley,Mzinho,76561198838822582,t,-307.12750244140625,-1602.3419189453125,-165.96875,7
76,51556,52005,361.6016540527344,-520.4828491210938,-162.98583984375,100,TopofMid,Senzu,76561198920720017,t,-1235.801513671875,-603.83251953125,-165.96875,7
203,53081,53530,-248.01055908203125,-748.6155395507812,-248.22119140625,100,Middle,910-,76561199203563345,t,-870.4411010742188,119.2160873413086,-170.0640106201172,7
276,53193,53246,-1071.969970703125,-788.9677734375,-263.96875,100,CTSpawn,Techno4K,76561198966340160,t,-1163.2342529296875,-354.2657165527344,-53.96875,7
101,61713,62066,-475.4453125,-2197.151611328125,-178.95269775390625,100,BombsiteA,flameZ,76561197978835160,ct,388.771240234375,-1544.1527099609375,-216.0,8
342,61951,62400,362.7873229980469,-108.0887451171875,-169.876220703125,100,TopofMid,Senzu,76561198920720017,t,-934.9735717773438,-610.8335571289062,-272.0,8
309,62240,62593,-2153.1123046875,547.981201171875,-161.6336669921875,100,BombsiteB,mezii,76561197973140692,ct,-1096.478759765625,603.62158203125,-77.96875,8
284,64312,64761,-1032.902587890625,-232.757080078125,-367.96875,39,Underpass,bLitz,76561198959824088,t,-555.2135620117188,-998.3927001953125,-165.96875,8
93,64730,65179,-343.634033203125,-630.0169677734375,-267.615478515625,100,Middle,Senzu,76561198920720017,t,-756.3936767578125,194.55235290527344,-172.3522491455078,8
381,65033,65386,-1208.538818359375,-943.6453857421875,-167.96875,100,CTSpawn,apEX,76561197989744167,ct,-951.4111938476562,-585.7943725585938,-277.96875,8
189,69676,70029,-719.3734741210938,-2105.177490234375,-179.96875,100,BombsiteA,ZywOo,76561198113666193,ct,231.7721405029297,-1568.8538818359375,-173.96875,9
328,69924,70373,349.2104187011719,-90.83160400390625,-175.481201171875,100,TopofMid,bLitz,76561198959824088,t,-999.459228515625,-672.3463745117188,-261.96875,9
102,69972,70325,-139.9786376953125,-2034.9281005859375,-167.96875,100,BombsiteA,flameZ,76561197978835160,ct,300.6546936035156,-1571.251220703125,-173.96875,9
341,70092,70445,-1974.430908203125,470.0926208496094,-159.96875,100,BombsiteB,mezii,76561197973140692,ct,-1361.9384765625,705.48046875,-77.96875,9
301,71584,71624,283.23577880859375,-1617.5255126953125,-175.96875,100,TRamp,910-,76561199203563345,t,-520.6071166992188,-1542.1781005859375,-37.96875,9
282,71746,72099,-1012.1998901367188,-1403.43408203125,-166.69964599609375,100,Jungle,apEX,76561197989744167,ct,12.26848030090332,-2012.7630615234375,-36.96875,9
125,72129,72169,159.9993133544922,-2367.245849609375,-39.96875,100,PalaceInterior,Senzu,76561198920720017,t,-477.9294738769531,-1529.0634765625,-37.96875,9
117,72777,73130,-785.1783447265625,-1234.1842041015625,-167.96875,100,Connector,ropz,76561197991272318,ct,-342.71923828125,-2205.69482421875,-173.96875,9
354,77834,78283,176.03317260742188,-128.15887451171875,-151.96875,100,TopofMid,910-,76561199203563345,t,-663.723876953125,-917.4672241210938,-223.00161743164062,10
68,78655,79009,-2147.014892578125,551.9542236328125,-160.695068359375,100,BombsiteB,mezii,76561197973140692,ct,-1088.4947509765625,606.1700439453125,-77.96875,10
183,80917,81366,-958.5103759765625,-632.8220825195312,-263.96875,94,Middle,bLitz,76561198959824088,t,-1138.294921875,-240.6219024658203,-39.0,10
212,89109,89463,-770.14111328125,-1863.8638916015625,-179.96875,100,BombsiteA,flameZ,76561197978835160,ct,401.3515625,-1555.9310302734375,-224.0,11
93,89698,90052,-2154.924560546875,748.384521484375,-128.01983642578125,100,Truck,mezii,76561197973140692,ct,-1370.7725830078125,706.6837158203125,-77.96875,11
342,93536,93890,-729.6287231445312,-2000.4444580078125,-125.765625,100,BombsiteA,flameZ,76561197978835160,ct,391.61749267578125,-1541.857177734375,-216.0,12
322,94047,94401,-2156.907958984375,581.027099609375,-154.3748779296875,100,BombsiteB,mezii,76561197973140692,ct,-1097.8939208984375,608.9871826171875,-77.96875,12
319,94478,94832,-1325.2047119140625,410.42901611328125,-167.96875,100,BombsiteB,ropz,76561197991272318,ct,-1627.8150634765625,766.312744140625,-45.96875,12
283,94648,95097,-832.6675415039062,574.0820922851562,-81.8668212890625,100,BackAlley,910-,76561199203563345,t,-2222.795654296875,768.12548828125,-125.96875,12
198,95286,95735,30.04889678955078,-2138.605712890625,-39.96875,100,PalaceInterior,Techno4K,76561198966340160,t,-868.8117065429688,-1306.4876708984375,-165.96875,12
362,114093,114542,-1372.3994140625,711.5370483398438,-79.96875,100,Apartments,mezii,76561197973140692,t,-2075.7783203125,803.6650390625,-41.96875,13
141,120186,120635,534.1932373046875,-2213.869384765625,-39.96875,100,PalaceInterior,apEX,76561197989744167,t,69.71892547607422,-2052.568359375,-35.96875,14
208,120601,121050,110.75739288330078,-2357.29736328125,-39.96875,100,PalaceInterior,ropz,76561197991272318,t,160.88787841796875,-1945.6641845703125,-168.0,14
125,121131,121580,-102.5186767578125,-1626.1795654296875,-167.96875,58,BombsiteA,flameZ,76561197978835160,t,-779.0237426757812,-1882.8472900390625,-177.96875,14
209,127259,127708,493.31207275390625,-2144.5361328125,-39.96875,100,PalaceInterior,apEX,76561197989744167,t,82.0638656616211,-2031.8919677734375,-35.96875,15
312,127698,128147,407.7917785644531,-1541.76904296875,-215.859130859375,100,TRamp,flameZ,76561197978835160,t,-25.881484985351562,-1525.5115966796875,-169.96875,15
313,127698,128147,305.8008117675781,-2316.722900390625,-39.96875,100,PalaceInterior,ropz,76561197991272318,t,162.62930297851562,-1936.561279296875,-151.0,15
287,128158,128607,181.95196533203125,-1717.4881591796875,-167.96875,29,PalaceInterior,flameZ,76561197978835160,t,-811.4818725585938,-2087.5537109375,-180.0,15
210,129065,,-1205.878173828125,-1238.3868408203125,-167.96875,100,CTSpawn,ZywOo,76561198113666193,t,-1462.3582763671875,-1065.5260009765625,-165.96875,15
302,131142,131496,-754.2798461914062,-2214.146728515625,-179.96875,100,BombsiteA,Mzinho,76561198838822582,ct,372.7047119140625,-1493.8394775390625,-173.96875,16
300,131286,131735,207.43527221679688,-359.6275634765625,-167.04449462890625,100,TopofMid,flameZ,76561197978835160,t,-657.2239379882812,-949.0383911132812,-221.96875,16
