assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-1447.6863,-2236.2312,-241.08966,100.0,CTSpawn,mezii,76561197973140692,ct,false,false,ct,18.216427,0,122,0,true,head,false,false,0,0,t,false,3217,-742.0674,-2355.755,-176.70447,100,BombsiteA,Senzu,76561198920720017,t,usp_silencer,17293822569121710141,42100201314,"",0,1
false,-806.2179,-2260.7964,-177.78052,100.0,BombsiteA,910-,76561199203563345,t,-884.9431,-2309.3281,-168.62573,100.0,BombsiteA,Techno4K,76561198966340160,t,false,false,ct,16.844376,0,97,0,true,head,false,false,0,0,t,false,3554,-1537.8519,-2354.1445,-245.09814,58,CTSpawn,mezii,76561197973140692,ct,glock,17293822569181872132,43485865435,"",0,1
false,-1537.8519,-2354.1445,-245.09814,0.0,CTSpawn,mezii,76561197973140692,ct,-1101.0839,-2335.736,-167.96875,100.0,CTSpawn,apEX,76561197989744167,ct,false,false,ct,13.076347,0,31,0,false,chest,false,false,0,0,t,false,3579,-594.9496,-2233.902,-179.96875,6,BombsiteA,bLitz,76561198959824088,t,usp_silencer,17293822569123217469,15487619157,"",0,1
false,,,,,,,,,-886.18604,-2318.608,-168.10278,49.0,BombsiteA,Techno4K,76561198966340160,t,false,false,ct,5.686814,0,111,0,true,head,false,false,0,0,t,false,3633,-1110.2777,-2303.797,-168.97046,93,CTSpawn,apEX,76561197989744167,ct,glock,17293822569181872132,43485865435,"",0,1
false,-1110.2777,-2303.797,-168.97046,0.0,CTSpawn,apEX,76561197989744167,ct,-1368.5319,-2370.387,-216.182,56.0,CTSpawn,flameZ,76561197978835160,ct,false,false,ct,14.006717,0,126,0,true,head,false,false,0,0,t,false,3686,-820.6053,-2320.5942,-173.84393,67,BombsiteA,910-,76561199203563345,t,usp_silencer,17293822569135734845,34768257646,"",0,1
false,-820.6067,-2320.713,-173.83856,0.0,BombsiteA,910-,76561199203563345,t,-769.08344,-2290.153,-179.77661,94.0,BombsiteA,Mzinho,76561198838822582,t,false,false,ct,15.442583,0,98,0,true,head,false,false,0,0,t,false,3702,-1367.9963,-2381.839,-215.3114,56,CTSpawn,flameZ,76561197978835160,ct,glock,17293822569105195012,43320655576,"",0,1
false,-1110.2777,-2303.797,-168.97046,0.0,CTSpawn,apEX,76561197989744167,ct,-1257.0507,-2340.8613,-195.85413,27.0,CTSpawn,ropz,76561197991272318,ct,false,false,ct,9.684897,8,16,0,false,chest,false,false,0,0,t,false,3743,-878.9419,-2304.5205,-169.37286,9,BombsiteA,Techno4K,76561198966340160,t,usp_silencer,17293822569135734845,43490047096,"",0,1
false,-820.6067,-2320.713,-173.83856,0.0,BombsiteA,910-,76561199203563345,t,-749.9397,-2351.8796,-177.3988,88.0,BombsiteA,Mzinho,76561198838822582,t,false,false,ct,12.932948,0,101,0,true,head,false,false,0,0,t,false,3765,-1257.8738,-2328.088,-196.8703,27,CTSpawn,ropz,76561197991272318,ct,glock,17293822569105195012,43320655576,"",0,1
false,,,,,,,,,-762.7228,-2049.8948,-179.96875,56.0,BombsiteA,Mzinho,76561198838822582,t,false,false,ct,7.657161,0,109,0,true,head,false,false,0,0,t,false,4265,-750.3665,-2350.5596,-177.53516,100,BombsiteA,ZywOo,76561198113666193,ct,glock,17293822569105195012,43320655576,"",0,1
false,,,,,,,,,-1593.9753,808.42426,-47.96875,100.0,Apartments,Mzinho,76561198838822582,t,false,false,ct,25.362263,0,89,0,true,head,false,false,1,0,t,false,10800,-2339.6338,155.16425,-167.96875,56,BombsiteB,apEX,76561197989744167,ct,galilar,17293822569130754061,43104645763,"",0,2
false,,,,,,,,,-2013.8651,383.83844,-159.96875,34.0,BombsiteB,mezii,76561197973140692,ct,false,false,ct,10.16731,18,55,0,true,head,false,false,0,0,t,false,11078,-1955.2467,767.31757,-47.96875,17,Apartments,Mzinho,76561198838822582,t,mp9,17293822569177022498,40458558849,"",0,2
false,-1955.4066,767.3501,-47.96875,0.0,Apartments,Mzinho,76561198838822582,t,-1943.7346,772.0129,-47.96875,100.0,Apartments,910-,76561199203563345,t,false,false,ct,10.512436,3,22,0,false,chest,false,false,0,0,t,false,11121,-1992.3043,376.25897,-159.96875,9,BombsiteB,mezii,76561197973140692,ct,galilar,17293822569102704653,0,"",0,2
false,,,,,,,,,-556.8048,-1067.6908,-167.96875,56.0,Connector,flameZ,76561197978835160,ct,false,false,ct,8.820341,4,14,0,false,chest,false,false,0,0,t,false,19626,-725.8171,-779.51794,-261.96875,10,Middle,bLitz,76561198959824088,t,mp9,17293822569149562914,27512960954,"",0,3
false,,,,,,,,,-773.2118,-1034.4126,-167.96875,45.0,Connector,apEX,76561197989744167,ct,false,false,ct,8.307249,6,173,0,true,head,false,false,0,0,t,false,19628,-598.8594,-773.30475,-261.96875,100,Middle,Senzu,76561198920720017,t,deagle,17293822569105129473,43701421227,"",0,3
false,-598.7829,-773.3521,-261.96875,0.0,Middle,Senzu,76561198920720017,t,-536.3834,-1643.8304,-39.968506,100.0,Stairs,910-,76561199203563345,t,false,false,ct,20.062,3,27,0,false,chest,false,false,0,0,t,false,20822,-693.84247,-892.5349,-237.69763,18,Connector,apEX,76561197989744167,ct,ak47,17293822569114501127,41774368669,"",0,3
false,-725.8171,-779.51794,-261.96875,0.0,Middle,bLitz,76561198959824088,t,-770.1524,-1551.1716,-167.96875,78.0,BombsiteA,Mzinho,76561198838822582,t,false,false,ct,9.484097,13,91,0,true,head,false,false,0,0,t,false,21191,-588.41144,-1224.9043,-167.96875,28,Connector,flameZ,76561197978835160,ct,galilar,17293822569102704653,0,"",0,3
false,,,,,,,,,-706.27277,-2151.9663,-179.96875,100.0,BombsiteA,mezii,76561197973140692,ct,false,false,ct,17.186733,4,12,0,false,left_arm,false,false,0,0,t,false,21274,-804.0506,-1481.4874,-167.96875,3,BombsiteA,Mzinho,76561198838822582,t,mp9,17293822569104867362,43487623394,"",0,3
false,-1087.6146,-2492.3403,-167.96875,28.0,CTSpawn,ZywOo,76561198113666193,ct,-517.5,-2316.8389,-170.18292,46.0,BombsiteA,mezii,76561197973140692,ct,false,false,ct,14.005584,17,53,0,true,head,false,false,0,0,t,false,21379,-460.34692,-1768.8866,-175.06104,16,BombsiteA,910-,76561199203563345,t,mp9,17293822569104867362,43487623394,"",0,3
false,-460.47827,-1768.8716,-175.07208,0.0,BombsiteA,910-,76561199203563345,t,-39.634766,-1531.8286,-167.96875,58.0,BombsiteA,Techno4K,76561198966340160,t,false,false,ct,23.526602,3,22,0,false,chest,false,false,0,0,t,false,21425,-524.77344,-2320.714,-170.16174,2,BombsiteA,mezii,76561197973140692,ct,galilar,17293822569130754061,43104645763,"",0,3
false,,,,,,,,,-842.6374,-2287.883,-173.33936,28.0,CTSpawn,ZywOo,76561198113666193,ct,false,false,ct,9.784886,6,73,0,false,chest,false,false,0,0,t,false,22746,-507.96252,-2099.5103,-179.96875,58,BombsiteA,Techno4K,76561198966340160,t,ssg08,17293822569171648552,42099898109,"",0,3
false,,,,,,,,,310.60706,-1492.9414,-175.96875,15.0,TRamp,Mzinho,76561198838822582,t,false,false,ct,30.600798,0,114,0,true,head,false,false,0,0,t,true,24968,-775.9503,-2012.9348,-179.96875,78,BombsiteA,flameZ,76561197978835160,ct,galilar,17293822569128787981,43461324058,"",0,4
false,,,,,,,,,-560.12915,-347.26038,-167.91418,4.0,Catwalk,Senzu,76561198920720017,t,false,false,ct,42.33784,15,104,0,true,head,false,false,0,0,t,false,25284,-775.14966,-2000.1316,-179.96875,42,BombsiteA,apEX,76561197989744167,ct,ak47,17293822569121185799,43547224574,"",0,4
false,,,,,,,,,-1181.5947,-729.6299,-167.96875,100.0,SnipersNest,ZywOo,76561198113666193,ct,false,false,ct,45.21276,1,108,0,false,chest,false,false,0,0,t,false,26579,500.11383,-146.27142,-160.09412,100,TopofMid,910-,76561199203563345,t,awp,17293822569120989193,42303465222,"",0,4
false,,,,,,,,,-864.7141,-1357.2538,-167.96875,86.0,Jungle,bLitz,76561198959824088,t,false,false,ct,10.743858,15,109,0,true,head,false,false,0,0,t,false,27495,-1275.9685,-1455.8474,-155.19684,100,CTSpawn,ZywOo,76561198113666193,ct,ak47,17293822569105588231,43994386070,"",0,4
false,,,,,,,,,-1218.7064,-1526.8075,-153.16791,86.0,Jungle,bLitz,76561198959824088,t,false,false,ct,33.569447,1,109,0,false,chest,false,false,0,0,t,false,28720,-1143.2045,-211.11804,-55.96875,100,Ladder,ropz,76561197991272318,ct,awp,17293822569120989193,42303465222,"",0,4
false,,,,,,,,,1319.0587,-1458.6315,-167.96875,86.0,PalaceInterior,bLitz,76561198959824088,t,false,false,ct,40.960735,1,108,0,false,chest,false,false,0,0,t,false,30751,1131.4888,145.48616,-163.96875,100,TSpawn,mezii,76561197973140692,ct,awp,17293822569120989193,42303465222,"",0,4
false,,,,,,,,,-1185.3749,-729.5695,-128.96875,100.0,SnipersNest,ZywOo,76561198113666193,ct,false,false,ct,43.86112,1,108,0,false,chest,false,false,0,0,t,false,32913,446.17624,-165.99225,-159.96875,100,TopofMid,910-,76561199203563345,t,awp,17293822569152249865,39421212964,"",0,5
false,,,,,,,,,154.84334,-1717.9702,-167.96875,46.0,PalaceInterior,flameZ,76561197978835160,ct,false,false,ct,6.4624934,19,58,0,true,head,false,false,0,0,t,false,35359,200.76991,-1468.3365,-175.96875,58,PalaceInterior,Techno4K,76561198966340160,t,mp9,17293822569149562914,27512960954,"",0,5
true,249.21281,-1457.6788,-175.96875,100.0,TRamp,bLitz,76561198959824088,t,376.09885,-1457.2029,-175.96875,100.0,TRamp,Senzu,76561198920720017,t,false,false,ct,43.9716,1,108,0,false,chest,false,false,0,0,t,false,35497,-1019.91425,-2480.994,-167.96875,100,CTSpawn,apEX,76561197989744167,ct,awp,17293822569120989193,42303465222,"",0,5
false,201.15103,-1468.4285,-175.96875,0.0,PalaceInterior,Techno4K,76561198966340160,t,248.23636,-1457.3339,-175.96875,100.0,TRamp,bLitz,76561198959824088,t,false,false,ct,6.8838573,4,27,0,false,left_arm,false,false,0,0,t,false,35501,153.9321,-1710.1909,-167.96875,19,PalaceInterior,flameZ,76561197978835160,ct,ak47,17293822569105588231,43994386070,"",0,5
false,,,,,,,,,87.37297,-2182.4133,-39.96875,16.0,PalaceInterior,Mzinho,76561198838822582,t,false,false,ct,9.644887,3,21,0,false,right_arm,false,false,1,0,t,false,35616,-275.53906,-2164.405,-172.97876,17,BombsiteA,mezii,76561197973140692,ct,ak47,17293822569146941447,43044588581,"",0,5
false,,,,,,,,,-252.30127,-1808.9401,-167.96875,100.0,BombsiteA,bLitz,76561198959824088,t,false,false,ct,11.315859,15,109,0,true,head,false,false,0,0,t,false,35833,-665.29065,-1641.6798,-169.73657,100,BombsiteA,ropz,76561197991272318,ct,ak47,17293822569105588231,43994386070,"",0,5
false,,,,,,,,,-403.85522,500.49347,-43.96875,100.0,BackAlley,ZywOo,76561198113666193,ct,false,false,ct,5.99577,1,139,0,false,stomach,false,false,0,0,t,false,38137,-219.9942,642.83765,-79.96875,100,BackAlley,Senzu,76561198920720017,t,awp,17293822569152249865,39421212964,"",0,5
false,,,,,,,,,-434.44897,869.8113,-83.96875,16.0,BackAlley,Mzinho,76561198838822582,t,false,false,ct,15.352492,3,27,0,false,chest,true,false,0,0,t,false,39171,162.23251,778.0589,-135.96875,25,House,ZywOo,76561198113666193,ct,ak47,17293822569146941447,43044588581,"",0,5
false,,,,,,,,,-939.9699,469.1924,-367.96875,12.0,Underpass,Techno4K,76561198966340160,t,false,false,ct,16.687183,3,27,0,false,chest,false,false,0,0,t,false,41928,-1015.3853,-183.1767,-367.96875,12,Underpass,ropz,76561197991272318,ct,ak47,17293822569146941447,43044588581,"",0,6
false,,,,,,,,,-246.85962,425.6785,-79.96875,100.0,BackAlley,910-,76561199203563345,t,false,false,ct,21.525864,0,43,0,false,stomach,false,false,0,0,t,false,43520,-1037.6794,318.36758,-367.96875,40,Underpass,flameZ,76561197978835160,ct,ak47,17293822569146941447,43044588581,"",0,6
false,-286.64087,395.86105,-79.38635,100.0,BackAlley,910-,76561199203563345,t,-216.8205,471.0606,-80.304504,100.0,BackAlley,bLitz,76561198959824088,t,false,false,ct,21.060375,0,139,0,true,head,false,false,0,0,t,false,43580,-987.0026,433.68738,-367.96875,100,Underpass,apEX,76561197989744167,ct,ak47,17293822569105588231,43994386070,"",0,6
false,-537.63043,362.20242,-187.71606,9.0,Underpass,910-,76561199203563345,t,-300.1438,373.10883,-76.95105,67.0,BackAlley,bLitz,76561198959824088,t,false,false,ct,28.68829,0,26,0,false,chest,false,false,1,0,t,false,43960,-1368.6084,738.7667,-79.96875,7,Apartments,mezii,76561197973140692,ct,ak47,17293822569105588231,43994386070,"",0,6
false,,,,,,,,,-240.35364,-913.0011,-167.52234,100.0,Middle,Senzu,76561198920720017,t,false,false,ct,25.781603,0,34,0,false,chest,false,false,0,0,t,false,45666,-841.34576,-95.285645,-168.10901,32,Underpass,ZywOo,76561198113666193,ct,ak47,17293822569121185799,43547224574,"",0,6
false,-779.1612,-1818.3969,-179.96875,100.0,BombsiteA,Techno4K,76561198966340160,t,-464.57257,-490.7212,-163.99426,76.0,Catwalk,bLitz,76561198959824088,t,false,false,ct,16.20823,0,140,0,true,head,false,false,0,0,t,false,53991,-950.31274,-74.628174,-167.96875,57,Catwalk,ropz,76561197991272318,ct,ak47,17293822569105588231,43994386070,"",0,7
false,,,,,,,,,113.82001,-1616.8706,-169.48157,100.0,BombsiteA,flameZ,76561197978835160,ct,false,false,ct,24.10491,5,23,0,false,left_arm,false,false,0,0,t,false,54059,-759.60114,-1987.7433,-179.96875,18,BombsiteA,Techno4K,76561198966340160,t,m4a1_silencer,17293822569179840572,41455687841,"",0,7
false,,,,,,,,,-2288.6892,353.5187,-167.96875,100.0,BombsiteB,ZywOo,76561198113666193,ct,false,false,ct,39.838642,1,108,0,false,chest,false,false,0,0,t,false,54395,-743.80707,95.080894,-143.96875,100,Catwalk,910-,76561199203563345,t,awp,17293822569152249865,39421212964,"",0,7
false,,,,,,,,,-517.86676,-1321.0991,-159.96875,100.0,BombsiteA,Senzu,76561198920720017,t,false,false,ct,13.888851,3,27,0,false,right_arm,false,false,0,0,t,false,54704,-784.3943,-1797.5208,-128.5625,5,BombsiteA,flameZ,76561197978835160,ct,ak47,17293822569121185799,43547224574,"",0,7
false,,,,,,,,,-2098.2805,788.59125,-43.96875,100.0,Apartments,Mzinho,76561198838822582,t,false,false,ct,10.636149,0,141,0,true,head,false,false,0,0,t,false,54849,-2030.03,390.55716,-159.96875,65,BombsiteB,ZywOo,76561198113666193,ct,ak47,17293822569146941447,43044588581,"",0,7
false,,,,,,,,,-2234.5178,-97.13782,-168.26624,100.0,BombsiteB,apEX,76561197989744167,ct,false,false,ct,27.467936,17,80,0,true,head,false,false,0,0,t,false,54983,-1201.9205,216.68452,-168.95135,76,Catwalk,bLitz,76561198959824088,t,m4a1_silencer,17293822569126297660,23563090332,"",0,7
false,,,,,,,,,-2086.2463,28.854288,-162.75421,73.0,BombsiteB,apEX,76561197989744167,ct,false,false,ct,10.521758,18,87,0,true,head,false,false,0,0,t,false,55286,-2274.9834,396.2627,-167.96875,13,BombsiteB,Mzinho,76561198838822582,t,m4a1_silencer,17293822569126297660,23563090332,"",0,7
false,-2274.6765,396.1059,-167.96875,0.0,BombsiteB,Mzinho,76561198838822582,t,-1858.1787,334.64578,-159.96875,78.0,BombsiteB,Senzu,76561198920720017,t,false,false,ct,10.749454,0,141,0,true,head,true,false,0,0,t,false,56634,-2280.9258,296.0487,-167.96875,73,BombsiteB,apEX,76561197989744167,ct,ak47,17293822569121185799,43547224574,"",0,7
false,-496.45074,-1399.4054,-109.23566,77.0,Stairs,ZywOo,76561198113666193,ct,-978.34296,131.04773,-170.85156,42.0,Catwalk,ropz,76561197991272318,ct,false,false,ct,6.166601,17,82,0,true,head,false,false,0,0,t,false,66312,-755.05,34.284756,-165.31885,12,Catwalk,bLitz,76561198959824088,t,famas,17293822569127018506,26819094551,"",0,8
false,,,,,,,,,-1107.9148,-665.0234,-134.96875,86.0,Middle,Techno4K,76561198966340160,t,false,false,ct,16.436405,0,140,0,true,head,false,false,0,0,t,false,66493,-1204.4028,-1295.2611,-167.96875,100,CTSpawn,apEX,76561197989744167,ct,ak47,17293822569121185799,43798987692,"",0,8
false,,,,,,,,,93.47854,-2052.942,-39.96875,100.0,PalaceInterior,flameZ,76561197978835160,ct,false,false,ct,3.6328878,20,60,0,true,head,false,false,0,0,t,false,66782,77.374466,-2195.1523,-39.96875,40,PalaceInterior,Mzinho,76561198838822582,t,mp9,17293822569149562914,27512960954,"",0,8
false,,,,,,,,,-520.0339,-1151.3387,-167.96875,77.0,Connector,ZywOo,76561198113666193,ct,false,false,ct,9.500268,18,88,0,true,head,false,false,0,0,t,false,67015,-673.6705,-825.5311,-263.96875,56,Middle,Senzu,76561198920720017,t,m4a1_silencer,17293822569131868220,43761314923,"",0,8
false,,,,,,,,,-1129.8232,-187.67743,-55.96875,73.0,Ladder,mezii,76561197973140692,ct,false,false,ct,25.968975,6,29,0,false,stomach,false,false,0,0,t,false,67104,-1204.6415,-1201.0013,-167.96875,5,CTSpawn,Techno4K,76561198966340160,t,m4a1_silencer,17293822569131868220,43761314923,"",0,8
false,,,,,,,,,500.70517,-1946.8477,12.03125,10.0,PalaceInterior,flameZ,76561197978835160,ct,false,false,ct,10.698219,3,27,0,false,chest,false,false,0,0,t,false,67711,254.65775,-2288.7488,-39.96875,19,PalaceInterior,910-,76561199203563345,t,ak47,17293822569121185799,43798987692,"",0,8
true,765.55457,-1175.8054,-238.75,100.0,PalaceAlley,bLitz,76561198959824088,t,54.5685,-2313.4006,-39.96875,12.0,PalaceInterior,Mzinho,76561198838822582,t,false,false,ct,9.949267,15,109,0,true,head,false,false,0,0,t,false,71522,106.44441,-1925.1356,-39.96875,75,PalaceInterior,flameZ,76561197978835160,ct,ak47,17293822569121185799,43798987692,"",0,9
false,,,,,,,,,-121.34235,-2371.6665,-167.63483,100.0,BombsiteA,ZywOo,76561198113666193,ct,false,false,ct,9.685329,1,111,0,false,chest,false,false,0,0,t,false,71700,-121.81238,-1986.8125,-167.96875,100,BombsiteA,Techno4K,76561198966340160,t,awp,17293822569152249865,39421212964,"",0,9
false,106.44441,-1925.1356,-39.96875,0.0,PalaceInterior,flameZ,76561197978835160,ct,-1014.3374,-1397.8085,-166.71375,100.0,Jungle,apEX,76561197989744167,ct,false,false,ct,32.823036,0,4,0,false,generic,false,false,0,0,t,false,71824,144.27568,-1967.0009,-81.8125,3,PalaceInterior,Mzinho,76561198838822582,t,inferno,"","","",0,9
false,,,,,,,,,-151.48767,-2383.041,-165.35992,74.0,BombsiteA,ZywOo,76561198113666193,ct,false,false,ct,22.560114,5,440,0,true,head,false,false,0,0,t,false,71854,18.15911,-1511.2114,-171.38452,100,BombsiteA,910-,76561199203563345,t,awp,17293822569152249865,39421212964,"",0,9
false,18.15911,-1511.2114,-171.38452,0.0,BombsiteA,910-,76561199203563345,t,-24.174744,-1418.583,-167.96875,100.0,BombsiteA,bLitz,76561198959824088,t,false,false,ct,24.838793,15,107,0,true,head,false,false,0,0,t,false,71916,-119.77533,-2391.5032,-163.96875,48,BombsiteA,ZywOo,76561198113666193,ct,ak47,17293822569114501127,41774368669,"",0,9
false,,,,,,,,,150.00496,-1914.7657,-167.96875,100.0,PalaceInterior,Senzu,76561198920720017,t,false,false,ct,27.402077,3,26,0,false,chest,false,false,0,0,t,false,73174,-791.62585,-2441.2407,-171.0578,15,CTSpawn,mezii,76561197973140692,ct,ak47,17293822569146941447,43044588581,"",0,9
false,,,,,,,,,99.460495,-1957.813,-167.96875,20.0,PalaceInterior,Senzu,76561198920720017,t,false,false,ct,14.507593,3,27,0,false,chest,false,false,0,0,t,false,73285,-424.42896,-1730.4641,-170.1607,6,BombsiteA,apEX,76561197989744167,ct,ak47,17293822569146941447,43044588581,"",0,9
