ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,true,t,1488,-1633.5736,-1342.9309,-264.25073,100,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,2038,814.96814,-1548.8417,-96.15625,100,PalaceAlley,bLitz,76561198959824088,t,weapon_smokegrenade,1
ct,false,t,2159,814.96814,-1548.8417,-108.96875,100,PalaceAlley,bLitz,76561198959824088,t,weapon_smokegrenade,1
ct,false,t,2389,788.7217,-1240.8992,-103.625,100,PalaceAlley,bLitz,76561198959824088,t,weapon_flashbang,1
ct,false,t,2540,-1557.0325,-1437.8671,-260.40845,100,CTSpawn,apEX,76561197989744167,ct,weapon_knife_outdoor,1
ct,false,t,2565,-1561.836,-1533.6339,-262.46716,100,CTSpawn,apEX,76561197989744167,ct,weapon_knife_outdoor,1
ct,false,t,2585,385.05276,-1573.4875,-204.49146,100,TRamp,bLitz,76561198959824088,t,weapon_glock,1
ct,false,t,2595,384.19757,-1574.2502,-204.06384,100,TRamp,bLitz,76561198959824088,t,weapon_glock,1
ct,false,t,2605,384.19757,-1574.2502,-204.06384,100,TRamp,bLitz,76561198959824088,t,weapon_glock,1
ct,false,t,2615,384.19757,-1574.2502,-204.06384,100,TRamp,bLitz,76561198959824088,t,weapon_glock,1
ct,false,t,2719,16.032217,-2260.6143,-39.96875,100,PalaceInterior,Mzinho,76561198838822582,t,weapon_glock,1
ct,false,t,2729,16.031723,-2246.649,-39.96875,100,PalaceInterior,Mzinho,76561198838822582,t,weapon_glock,1
ct,false,t,2738,16.031715,-2235.187,-39.96875,100,PalaceInterior,Mzinho,76561198838822582,t,weapon_glock,1
ct,false,t,2748,16.032906,-2228.5503,-39.96875,100,PalaceInterior,Mzinho,76561198838822582,t,weapon_glock,1
ct,false,t,2757,19.16008,-2235.6187,-39.96875,100,PalaceInterior,Mzinho,76561198838822582,t,weapon_glock,1
ct,false,t,2821,-1437.1245,-1053.8389,-167.96875,100,CTSpawn,ropz,76561197991272318,ct,weapon_knife_skeleton,1
ct,false,t,2904,-1535.9767,-1301.5919,-259.96875,100,CTSpawn,ropz,76561197991272318,ct,weapon_knife_skeleton,1
ct,true,t,3069,-1302.5015,-1162.4017,-167.96875,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_usp_silencer,1
ct,true,t,3090,-1302.5015,-1162.4017,-167.96875,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_usp_silencer,1
ct,true,t,3110,-1302.5015,-1162.4017,-167.96875,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_usp_silencer,1
ct,true,t,3128,-1302.5015,-1162.4017,-167.96875,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_usp_silencer,1
ct,true,t,3147,-1302.5015,-1162.4017,-167.96875,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_usp_silencer,1
ct,false,t,3193,-743.2684,-2361.2898,-176.26587,100,BombsiteA,Senzu,76561198920720017,t,weapon_glock,1
ct,false,t,3211,-742.5027,-2357.7983,-176.54218,100,BombsiteA,Senzu,76561198920720017,t,weapon_glock,1
ct,true,t,3217,-1447.6863,-2236.2312,-241.08966,100,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,3259,-491.18005,-2109.6638,-179.96875,100,BombsiteA,910-,76561199203563345,t,weapon_hegrenade,1
ct,false,t,3372,-887.46313,-2331.187,-167.96875,100,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,false,t,3382,-886.1538,-2328.7075,-167.96875,100,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,false,t,3448,-889.15076,-2317.5178,-167.96875,100,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,true,t,3448,-1560.6819,-2250.7466,-250.1883,58,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,true,t,3456,-1412.6677,-2216.5623,-236.08777,51,CTSpawn,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,3458,-889.2798,-2318.6855,-167.96875,100,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,true,t,3459,-1560.267,-2249.1023,-250.16656,58,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,true,t,3472,-1562.6859,-2278.971,-249.16516,58,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,3482,-570.0899,-2370.6992,-167.96875,100,BombsiteA,bLitz,76561198959824088,t,weapon_hegrenade,1
ct,true,t,3489,-1563.9012,-2292.584,-248.48975,58,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,true,t,3504,-1563.5743,-2289.0596,-248.66376,58,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,true,t,3509,-1414.7278,-2216.7874,-236.58398,51,CTSpawn,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,true,t,3520,-1562.9078,-2281.2363,-249.05414,58,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,true,t,3533,-1563.4927,-2297.1694,-248.20496,58,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,3554,-884.9431,-2309.3281,-168.62573,100,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,true,t,3579,-1101.0839,-2335.736,-167.96875,100,CTSpawn,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,true,t,3595,-1100.5231,-2354.7107,-167.96875,100,CTSpawn,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,true,t,3608,-1099.1337,-2365.7285,-167.96875,100,CTSpawn,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,true,t,3619,-1105.572,-2343.7432,-167.96875,100,CTSpawn,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,false,t,3620,-885.27765,-2324.8394,-167.96875,68,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,true,t,3626,-1269.9884,-2328.207,-199.28528,51,CTSpawn,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,true,t,3630,-1109.748,-2311.7737,-168.33276,93,CTSpawn,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,true,t,3631,-1366.0625,-2433.6602,-211.46985,67,CTSpawn,flameZ,76561197978835160,ct,weapon_usp_silencer,1
ct,false,t,3633,-886.18604,-2318.608,-168.10278,49,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,true,t,3642,-1357.2627,-2441.7083,-209.1734,67,CTSpawn,flameZ,76561197978835160,ct,weapon_usp_silencer,1
ct,false,t,3643,-886.4023,-2308.3386,-168.54004,49,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,true,t,3645,-1258.2522,-2309.5479,-198.182,51,CTSpawn,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,3647,-822.83325,-2337.527,-172.89331,67,BombsiteA,910-,76561199203563345,t,weapon_glock,1
ct,false,t,3653,-887.2771,-2297.577,-168.94055,33,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,true,t,3653,-1360.131,-2423.8816,-210.93549,67,CTSpawn,flameZ,76561197978835160,ct,weapon_usp_silencer,1
ct,false,t,3657,-822.49744,-2344.7998,-172.59998,67,BombsiteA,910-,76561199203563345,t,weapon_glock,1
ct,true,t,3658,-1258.1959,-2326.544,-197.03766,39,CTSpawn,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,3666,-821.36707,-2334.4734,-173.15936,67,BombsiteA,910-,76561199203563345,t,weapon_glock,1
ct,true,t,3666,-1366.8159,-2384.109,-214.92395,67,CTSpawn,flameZ,76561197978835160,ct,weapon_usp_silencer,1
ct,false,t,3669,-770.2696,-2316.896,-178.4826,100,BombsiteA,Mzinho,76561198838822582,t,weapon_glock,1
ct,true,t,3670,-1258.0375,-2328.5532,-196.87201,39,CTSpawn,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,3676,-820.7292,-2324.4902,-173.65979,67,BombsiteA,910-,76561199203563345,t,weapon_glock,1
ct,true,t,3681,-1257.4668,-2311.1501,-197.91809,27,CTSpawn,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,3682,-768.8912,-2314.4175,-178.71527,100,BombsiteA,Mzinho,76561198838822582,t,weapon_glock,1
ct,false,t,3683,-876.496,-2298.1028,-169.87549,33,BombsiteA,Techno4K,76561198966340160,t,weapon_glock,1
ct,false,t,3686,-820.6053,-2320.5942,-173.84393,67,BombsiteA,910-,76561199203563345,t,weapon_glock,1
ct,true,t,3686,-1368.5319,-2370.387,-216.182,56,CTSpawn,flameZ,76561197978835160,ct,weapon_usp_silencer,1
ct,true,t,3693,-1258.0695,-2320.1306,-197.43994,27,CTSpawn,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,true,t,3697,-1367.5685,-2385.5676,-214.97723,56,CTSpawn,flameZ,76561197978835160,ct,weapon_usp_silencer,1
ct,false,t,3702,-769.08344,-2290.153,-179.77661,94,BombsiteA,Mzinho,76561198838822582,t,weapon_glock,1
