entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
180,2318,3730,781.1846313476562,-1346.678466796875,-108.96875,100,PalaceAlley,bLitz,76561198959824088,t,-486.7486267089844,-1569.0887451171875,-37.96875,1
113,2470,3882,648.9049682617188,-1402.95458984375,-263.54931640625,100,PalaceAlley,bLitz,76561198959824088,t,-715.8739013671875,-1627.1988525390625,-169.96875,1
291,6404,7816,166.97354125976562,804.496337890625,-135.96875,100,House,Techno4K,76561198966340160,t,-1201.024658203125,-660.7250366210938,-165.96875,2
296,6477,7889,1142.1434326171875,246.4293670654297,-220.21875,100,TSpawn,Mzinho,76561198838822582,t,-621.9905395507812,-898.2080078125,-245.96875,2
132,8675,10087,412.7893981933594,-730.9171752929688,-165.4434814453125,100,TopofMid,Senzu,76561198920720017,t,-1155.1458740234375,-624.1856689453125,-165.96875,2
104,8737,10149,-946.2714233398438,-443.952392578125,-263.96875,100,Underpass,bLitz,76561198959824088,t,-700.37841796875,-1305.3948974609375,-165.96875,2
263,9005,10417,-2144.376953125,688.4529418945312,-84.40625,100,Truck,mezii,76561197973140692,ct,-1482.1103515625,731.8045654296875,-45.96875,2
308,10318,11730,-652.7924194335938,545.889404296875,-82.04486083984375,100,BackAlley,910-,76561199203563345,t,-1860.697021484375,-325.6159973144531,-165.96875,2
195,16629,18041,378.9488830566406,169.4551239013672,-248.66241455078125,100,SideAlley,Senzu,76561198920720017,t,-1164.2757568359375,-633.3359375,-165.96875,3
116,16752,18164,1320.474853515625,-1201.5888671875,-167.96875,100,TSpawn,Mzinho,76561198838822582,t,-621.0999145507812,-899.9989013671875,-245.96875,3
206,18414,19826,-928.0593872070312,-2348.181396484375,-167.96875,100,CTSpawn,ZywOo,76561198113666193,ct,130.97975158691406,-2322.405029296875,-37.96875,3
307,18534,19946,218.13729858398438,-529.0146484375,-164.795654296875,100,TopofMid,Senzu,76561198920720017,t,-1131.4964599609375,-622.007080078125,-165.96875,3
328,18658,20070,-958.242919921875,-540.276611328125,-263.96875,100,Middle,bLitz,76561198959824088,t,-666.993896484375,-1261.697265625,-165.96875,3
