round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1266,5390,5710,t,ct_killed,5066,bombsite_b
2,5710,6990,15238,15558,ct,bomb_defused,14103,bombsite_b
3,15558,16838,22196,22516,ct,t_killed,,not_planted
4,22516,23796,28390,28710,ct,t_killed,,not_planted
5,28710,29990,37984,38304,t,ct_killed,36109,bombsite_b
6,38304,39584,46944,47264,ct,time_ran_out,,not_planted
7,47264,48544,56215,56535,ct,bomb_defused,54536,bombsite_b
8,56535,59735,67095,67415,ct,time_ran_out,,not_planted
9,67415,68695,73701,74021,t,ct_killed,,not_planted
10,74021,75301,83384,83704,t,bomb_exploded,80760,bombsite_b
11,83704,84984,94709,95029,t,bomb_exploded,92085,bombsite_b
12,95029,98486,104171,104715,ct,t_killed,,not_planted
13,104715,119769,124734,125054,t,ct_killed,123966,bombsite_b
14,125054,126334,133076,133396,t,bomb_exploded,130452,bombsite_b
15,133396,134676,139146,139466,ct,t_killed,,not_planted
16,139466,140746,149157,149477,t,bomb_exploded,146533,bombsite_b
17,149477,153168,159714,160034,t,ct_killed,,not_planted
18,160034,161314,164645,164965,t,ct_killed,,not_planted
19,164965,168378,174996,175316,ct,t_killed,,not_planted
20,175316,176596,182986,182986,t,ct_killed,,not_planted
