assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-1103.1814,-312.80933,-183.9455,100.0,LongDog,m0NESY,76561198074762801,ct,false,false,ct,4.9712996,0,34,0,false,chest,false,false,0,0,t,false,2600,-1238.0331,-432.5166,-98.53052,32,LongDog,apEX,76561197989744167,t,elite,17293822569110044674,40887962561,"",0,1
false,,,,,,,,,-1312.6631,-503.66394,-88.96875,44.0,LongDog,ropz,76561197991272318,t,false,false,ct,6.156966,0,111,0,true,head,false,false,0,0,t,false,2653,-1172.9548,-311.44604,-132.96875,74,LongDog,m0NESY,76561198074762801,ct,glock,17293822569105195012,30219531045,"",0,1
false,,,,,,,,,-1243.3337,-300.46753,-132.96875,77.0,LongDog,Magisk,76561197983956651,ct,false,false,ct,6.1957655,0,136,0,true,head,false,false,0,0,t,false,2956,-1275.1577,-537.4189,-88.96875,96,LongDog,ZywOo,76561198113666193,t,elite,17293822569110044674,40887962561,"",0,1
false,-1172.9548,-311.44604,-132.96875,0.0,LongDog,m0NESY,76561198074762801,ct,-1228.5605,-302.29272,-132.96875,77.0,LongDog,Magisk,76561197983956651,ct,false,false,ct,7.6615996,0,132,0,true,head,false,false,0,0,t,false,2965,-1285.4009,-595.1125,-88.96875,7,LongDog,ropz,76561197991272318,t,elite,17293822569110044674,40887962561,"",0,1
false,374.71585,1666.956,-211.13342,100.0,Alley,flameZ,76561197978835160,t,940.6676,1652.4215,-215.96875,48.0,Ivy,mezii,76561197973140692,t,false,false,ct,14.991003,0,99,0,true,head,false,false,0,0,t,false,3747,1150.2396,1100.8972,-215.96875,11,Ivy,TeSeS,76561197996678278,ct,glock,17293822569125838852,40458558825,"",0,1
false,,,,,,,,,-665.36115,-356.7688,-213.46875,100.0,LongDog,kyxsan,76561198057282432,ct,false,false,ct,6.044331,0,136,0,true,head,false,false,0,0,t,false,5546,-428.0692,-347.41052,-214.96875,100,LongDog,flameZ,76561197978835160,t,elite,17293822569110044674,40887962561,"",0,1
false,,,,,,,,,-410.67297,-379.9472,-214.96875,15.0,LongDog,mezii,76561197973140692,t,false,false,ct,6.478011,0,110,0,true,head,false,false,0,0,t,false,5609,-665.4868,-373.82623,-213.46875,73,LongDog,kyxsan,76561198057282432,ct,glock,17293822569125838852,40458558825,"",0,1
false,1150.2396,1100.8972,-215.96875,0.0,Ivy,TeSeS,76561197996678278,ct,-178.55176,-1334.0934,-275.96875,53.0,BombsiteB,Magisk,76561197983956651,ct,false,false,ct,9.545485,0,127,0,true,head,false,false,0,0,t,false,8892,38.512985,-1637.8573,-318.96875,15,BombsiteB,mezii,76561197973140692,t,elite,17293822569110044674,40887962561,"",0,1
false,,,,,,,,,640.56445,-180.61658,-159.73041,100.0,BombsiteA,m0NESY,76561198074762801,ct,true,false,ct,26.946312,4,23,0,false,right_arm,false,false,0,0,t,false,12796,-418.74548,-174.8534,-215.96875,19,LongDog,ZywOo,76561198113666193,t,m4a1_silencer,17293822569126297660,30597131242,"",0,2
false,,,,,,,,,-414.97546,165.53433,-215.96875,67.0,BombsiteA,mezii,76561197973140692,t,false,false,ct,21.530127,5,146,0,true,head,false,false,0,0,t,false,12943,348.2745,-196.03192,-176.71875,99,BombsiteA,kyxsan,76561198057282432,ct,deagle,17293822569174138881,43901946676,"",0,2
false,,,,,,,,,664.1847,-20.700256,-215.96875,100.0,BombsiteA,m0NESY,76561198074762801,ct,false,false,ct,27.81817,0,115,0,true,head,false,false,0,0,t,true,13007,-418.2068,144.16188,-215.96875,67,BombsiteA,mezii,76561197973140692,t,m4a1_silencer,17293822569126297660,30597131242,"",0,2
false,-117.27124,451.50272,-215.96875,27.0,BombsiteA,apEX,76561197989744167,t,697.82965,351.65186,-215.96875,76.0,BombsiteA,flameZ,76561197978835160,t,false,false,ct,19.38376,4,83,0,true,head,false,false,0,0,t,false,13479,550.03186,-394.9674,-160.89941,15,BombsiteA,m0NESY,76561198074762801,ct,tec9,17293822569157689374,20315745458,"",0,2
false,,,,,,,,,339.03934,-258.72656,-215.96875,100.0,BombsiteA,Magisk,76561197983956651,ct,false,false,ct,4.723316,1,25,0,false,left_arm,false,false,0,0,t,false,13484,524.9381,-233.21936,-215.96875,22,BombsiteA,ropz,76561197991272318,t,aug,17293822569158082568,16181679391,"",0,2
false,,,,,,,,,648.50183,645.5135,-215.96875,60.0,BombsiteA,NiKo,76561198041683378,ct,false,false,ct,20.11879,29,61,0,true,head,false,false,0,0,t,false,13554,-116.39838,440.08173,-215.96875,12,BombsiteA,apEX,76561197989744167,t,usp_silencer,17293822569177546813,27770856656,"",0,2
false,,,,,,,,,896.0558,167.80005,-211.96875,100.0,Tunnels,TeSeS,76561197996678278,ct,false,false,ct,3.6283367,17,83,0,true,head,false,false,0,0,t,false,13566,765.2233,222.15955,-211.96875,36,BombsiteA,flameZ,76561197978835160,t,famas,17293822569134948362,34339194615,"",0,2
false,,,,,,,,,-917.41113,-1774.5902,-153.96875,100.0,BackofB,Magisk,76561197983956651,ct,false,false,ct,18.85564,0,27,0,false,chest,false,false,0,0,t,false,19630,-943.7635,-1031.9855,-153.96875,19,BackofB,ZywOo,76561198113666193,t,aug,17293822569158082568,16181679391,"",0,3
false,,,,,,,,,-923.79407,-1774.4529,-153.96875,100.0,BackofB,Magisk,76561197983956651,ct,false,false,ct,19.919708,0,27,0,false,chest,false,false,0,0,t,false,19681,-923.77435,-989.84045,-153.96875,2,BackofB,ropz,76561197991272318,t,aug,17293822569158082568,16181679391,"",0,3
false,,,,,,,,,-1215.0127,-520.4078,-88.09375,76.0,LongDog,m0NESY,76561198074762801,ct,false,false,ct,9.44417,0,23,0,false,chest,false,false,0,0,t,false,19688,-962.48303,-781.9078,-153.96875,8,BackofB,flameZ,76561197978835160,t,mp9,17293822569155395618,17072524978,"",0,3
false,,,,,,,,,-1242.8065,-518.1302,-88.96875,76.0,LongDog,m0NESY,76561198074762801,ct,false,false,ct,16.597996,0,21,0,false,chest,false,false,0,0,t,false,20047,-591.8909,-518.1984,-35.72766,14,BackofB,mezii,76561197973140692,t,mp9,17293822569155395618,17072524978,"",0,3
false,,,,,,,,,866.5251,228.98355,-211.96875,100.0,Tunnels,TeSeS,76561197996678278,ct,false,false,ct,44.966106,0,38,0,false,stomach,false,false,0,0,t,false,20185,-872.1663,561.99274,-215.96875,27,TMain,apEX,76561197989744167,t,m4a1_silencer,17293822569138618428,24993671061,"",0,3
false,,,,,,,,,36.93933,-1274.6439,-274.89313,71.0,BombsiteB,Magisk,76561197983956651,ct,false,false,ct,17.414158,5,98,0,true,head,false,false,0,0,t,false,22954,-529.86914,-894.13275,-318.96875,76,BackofB,ropz,76561197991272318,t,aug,17293822569158082568,16181679391,"",0,4
false,36.93933,-1274.6439,-274.89313,71.0,BombsiteB,Magisk,76561197983956651,ct,688.995,-809.45074,-218.26294,100.0,BombsiteB,m0NESY,76561198074762801,ct,false,false,ct,31.862738,1,136,0,false,stomach,false,false,0,0,t,false,23005,-560.5005,-848.0434,-318.96875,3,BackofB,apEX,76561197989744167,t,awp,17293822569125249033,43287757702,"",0,4
false,,,,,,,,,-877.4776,352.92905,-215.96875,100.0,TMain,flameZ,76561197978835160,t,false,false,ct,36.466232,0,25,0,false,left_leg,false,false,0,0,t,false,23994,522.1557,660.3888,-174.10938,16,BombsiteA,TeSeS,76561197996678278,ct,ak47,17293822569150152711,30576196202,"",0,4
false,,,,,,,,,-382.15912,416.52332,-215.96875,11.0,BombsiteA,kyxsan,76561198057282432,ct,false,false,ct,12.706752,18,87,0,true,head,false,false,0,0,t,false,24057,-882.07245,410.56894,-215.96875,44,TMain,flameZ,76561197978835160,t,m4a1_silencer,17293822569126297660,30597131242,"",0,4
false,-882.07245,410.56894,-215.96875,0.0,TMain,flameZ,76561197978835160,t,-874.6871,569.93463,-215.96875,100.0,TMain,mezii,76561197973140692,t,false,false,ct,22.486193,0,26,0,false,right_leg,false,false,0,0,t,false,24232,2.409183,411.9681,-163.95312,11,BombsiteA,kyxsan,76561198057282432,ct,ak47,17293822569144582151,43761314910,"",0,4
false,,,,,,,,,-446.98352,-215.30322,-215.96875,100.0,LongDog,ZywOo,76561198113666193,t,false,false,ct,22.364944,15,107,0,true,head,false,false,0,0,t,false,24984,435.8697,-211.49982,-215.96875,100,BombsiteA,m0NESY,76561198074762801,ct,ak47,17293822569179447303,37225099379,"",0,4
false,-529.3967,-894.0233,-318.96875,0.0,BackofB,ropz,76561197991272318,t,211.90027,-438.7079,-216.52698,100.0,Connector,ZywOo,76561198113666193,t,false,false,ct,10.132656,3,27,0,false,right_arm,false,false,0,0,t,false,25343,536.6308,-669.4493,-215.96875,17,Connector,Magisk,76561197983956651,ct,ak47,17293822569179447303,37225099379,"",0,4
false,,,,,,,,,-1319.3904,-481.22607,-88.96875,50.0,LongDog,mezii,76561197973140692,t,false,false,ct,7.212985,16,110,0,true,head,false,false,0,0,t,false,27027,-1048.796,-567.2953,-87.9823,46,BackofB,NiKo,76561198041683378,ct,ak47,17293822569144582151,43761314910,"",0,4
false,,,,,,,,,-428.8081,-327.7621,-213.96753,100.0,LongDog,m0NESY,76561198074762801,ct,false,false,ct,22.244696,1,137,0,false,stomach,false,false,0,0,t,true,29563,-1300.129,-365.89746,-132.96875,93,LongDog,ZywOo,76561198113666193,t,awp,17293822569147990025,16510152081,"",0,5
false,,,,,,,,,-252.62994,248.0391,-37.96875,100.0,BombsiteA,NiKo,76561198041683378,ct,false,false,ct,18.21401,5,24,0,false,chest,false,false,0,0,t,true,30052,-844.3981,618.74713,-215.96875,22,TMain,mezii,76561197973140692,t,m4a1_silencer,17293822569167192124,27275000159,"",0,5
false,,,,,,,,,-488.27118,306.69882,-215.96875,62.0,BombsiteA,kyxsan,76561198057282432,ct,false,false,ct,5.736121,19,58,0,true,head,false,false,0,0,t,false,30429,-479.77454,81.738495,-215.96875,58,BombsiteA,ropz,76561197991272318,t,mp9,17293822569177022498,30256974906,"",0,5
false,,,,,,,,,141.7564,379.1885,-215.96875,100.0,BombsiteA,m0NESY,76561198074762801,ct,false,false,ct,26.324036,1,137,0,false,stomach,false,false,0,0,t,false,30550,-889.71606,478.28918,-215.96875,100,TMain,apEX,76561197989744167,t,awp,17293822569147990025,16510152081,"",0,5
false,439.87766,-613.0118,-215.96863,100.0,Connector,TeSeS,76561197996678278,ct,929.9674,205.83182,-211.96875,100.0,Tunnels,m0NESY,76561198074762801,ct,false,false,ct,46.24344,1,108,0,false,chest,false,false,0,0,t,false,40066,-848.6234,594.2834,-215.96875,54,TMain,ZywOo,76561198113666193,t,awp,17293822569147990025,16510152081,"",0,6
false,-848.4127,595.1871,-215.96875,0.0,TMain,ZywOo,76561198113666193,t,-768.85913,423.9322,-215.96875,74.0,TMain,flameZ,76561197978835160,t,false,false,ct,23.368708,0,138,0,true,head,false,false,0,0,t,false,40181,149.78033,374.29895,-215.96875,65,BombsiteA,kyxsan,76561198057282432,ct,ak47,17293822569150152711,30576196202,"",0,6
false,,,,,,,,,972.1162,1730.4851,-150.88727,100.0,Ivy,mezii,76561197973140692,t,false,false,ct,34.198837,4,124,0,true,head,false,false,0,0,t,false,41117,1050.2192,388.3372,-211.96875,100,Tunnels,NiKo,76561198041683378,ct,deagle,17293822569111748609,40458558836,"",0,6
false,,,,,,,,,-168.12946,118.368576,-215.96875,50.0,ElectricalBox,flameZ,76561197978835160,t,false,false,ct,18.927309,15,108,0,true,head,false,false,0,0,t,false,43120,327.5405,-437.8579,-217.11023,100,Connector,Magisk,76561197983956651,ct,ak47,17293822569150152711,30576196202,"",0,6
false,,,,,,,,,-172.4754,137.36005,-215.96875,50.0,ElectricalBox,flameZ,76561197978835160,t,false,false,ct,22.508776,15,107,0,true,head,false,false,0,0,t,false,43174,699.59717,-19.306763,-215.96875,100,BombsiteA,TeSeS,76561197996678278,ct,ak47,17293822569150152711,30576196202,"",0,6
false,,,,,,,,,444.44073,743.71893,-215.96875,100.0,BombsiteA,m0NESY,76561198074762801,ct,false,false,ct,26.957012,1,109,0,false,chest,false,false,0,0,t,false,43303,-113.92578,-159.20789,-215.96875,100,BombsiteA,apEX,76561197989744167,t,awp,17293822569147990025,16510152081,"",0,6
false,208.11842,529.9271,-215.96875,50.0,BombsiteA,flameZ,76561197978835160,t,801.8619,545.7316,-211.96875,100.0,Tunnels,mezii,76561197973140692,t,false,false,ct,8.163372,15,110,0,true,head,false,false,0,0,t,false,43602,484.60394,551.4547,-215.96875,9,BombsiteA,m0NESY,76561198074762801,ct,ak47,17293822569144582151,43761314910,"",0,6
false,,,,,,,,,-872.87036,603.9587,-215.96875,100.0,TMain,ZywOo,76561198113666193,t,false,false,ct,27.354086,1,109,0,false,right_arm,false,false,0,0,t,true,48221,168.92328,360.84375,-215.96875,100,BombsiteA,kyxsan,76561198057282432,ct,awp,17293822569147990025,16510152081,"",0,7
false,-787.17737,-840.7772,-196.44965,72.0,BackofB,TeSeS,76561197996678278,ct,-733.3942,-911.7067,-236.2124,100.0,BackofB,Magisk,76561197983956651,ct,false,false,ct,11.446941,5,17,0,false,stomach,false,false,0,0,t,false,48500,-1141.9232,-771.0513,-98.54004,4,BackofB,ropz,76561197991272318,t,mp9,17293822569177022498,30256974906,"",0,7
false,-1141.895,-770.9225,-98.50598,0.0,BackofB,ropz,76561197991272318,t,-14.752014,195.64943,-215.96875,39.0,BombsiteA,apEX,76561197989744167,t,false,false,ct,21.937574,0,139,0,true,head,false,false,0,0,t,false,50924,351.86383,-586.69543,-215.84998,72,Connector,TeSeS,76561197996678278,ct,ak47,17293822569179447303,40315850357,"",0,7
false,,,,,,,,,869.57776,89.67524,-139.9375,100.0,Tunnels,Magisk,76561197983956651,ct,false,false,ct,31.877415,0,24,0,false,left_leg,false,false,0,0,t,true,51182,-279.76465,587.8905,-215.96875,12,BombsiteA,ZywOo,76561198113666193,t,m4a1_silencer,17293822569138618428,24993671061,"",0,7
false,,,,,,,,,69.96259,440.92682,-215.96875,16.0,BombsiteA,apEX,76561197989744167,t,false,false,ct,22.27161,15,107,0,true,head,false,false,0,0,t,true,51195,868.5331,87.45872,-139.9375,100,Tunnels,Magisk,76561197983956651,ct,ak47,17293822569179447303,40315850357,"",0,7
false,,,,,,,,,,,,,,,,,false,false,ct,0.0,9,9,0,false,generic,false,false,0,0,t,false,52717,1767.6997,-1097.5579,-319.56427,8,CTSpawn,m0NESY,76561198074762801,ct,planted_c4,"","","",0,7
false,,,,,,,,,671.9693,-792.86536,-213.96875,74.0,BombsiteB,m0NESY,76561198074762801,ct,false,false,ct,28.025496,1,111,0,true,head,false,false,0,0,t,false,56681,-416.5808,-842.2192,-318.96875,100,BombsiteB,flameZ,76561197978835160,t,usp_silencer,17293822569135734845,37441967518,"",0,8
false,-416.5808,-842.2192,-318.96875,0.0,BombsiteB,flameZ,76561197978835160,t,-428.99847,-1771.998,-166.96875,100.0,BombsiteB,ropz,76561197991272318,t,false,false,ct,18.56917,0,139,0,true,head,false,false,0,0,t,false,56793,-137.34436,-1129.5486,-348.64368,14,BombsiteB,Magisk,76561197983956651,ct,ak47,17293822569144582151,40342529944,"",0,8
false,-383.70404,-940.5059,-318.96875,76.0,BombsiteB,apEX,76561197989744167,t,-421.61157,-1686.0328,-166.96875,100.0,BombsiteB,ropz,76561197991272318,t,false,false,ct,39.11103,0,10,0,false,right_arm,false,false,2,0,t,false,56947,741.9659,-680.2646,-215.96875,10,Connector,m0NESY,76561198074762801,ct,ak47,17293822569144582151,40342529944,"",0,8
false,,,,,,,,,-535.74316,-901.639,-318.96875,70.0,BackofB,ZywOo,76561198113666193,t,false,false,ct,16.540638,1,110,0,false,chest,false,false,0,0,t,false,57147,-1142.49,-806.8899,-101.96875,100,BackofB,NiKo,76561198041683378,ct,awp,17293822569147990025,16510152081,"",0,8
false,,,,,,,,,-398.1103,-892.83405,-318.96875,91.0,BombsiteB,mezii,76561197973140692,t,false,false,ct,12.442903,0,35,0,false,chest,false,false,0,0,t,false,57239,-857.3023,-860.58246,-152.96875,12,BackofB,kyxsan,76561198057282432,ct,ak47,17293822569144582151,43761314910,"",0,8
