assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,2561.57,-81.70398,95.36666,100.0,Pit,mezii,76561197973140692,ct,false,false,ct,30.278465,0,112,0,true,head,false,false,0,0,t,false,4157,1383.0875,61.659096,132.03125,100,TopofMid,NiKo,76561198041683378,t,usp_silencer,17293822569145499709,44111836510,"",0,1
false,,,,,,,,,1997.777,-178.92749,256.03125,100.0,Balcony,ropz,76561197991272318,ct,false,false,ct,4.6507454,0,139,0,true,head,false,false,0,0,t,false,4215,1835.811,-262.5785,261.03125,80,Apartments,TeSeS,76561197996678278,t,elite,17293822569105784834,11081995323,"",0,1
false,,,,,,,,,2033.257,-183.53015,262.03125,100.0,Balcony,ropz,76561197991272318,ct,false,false,ct,7.2382812,0,133,0,true,head,false,false,0,0,t,false,4286,1895.9697,22.493528,125.075676,85,BombsiteA,m0NESY,76561198074762801,t,elite,17293822569105784834,11081995323,"",0,1
false,,,,,,,,,2566.7905,-62.685303,96.18701,100.0,Pit,mezii,76561197973140692,ct,false,false,ct,20.704287,0,120,0,true,head,false,false,0,0,t,false,4323,1759.181,43.823837,128.93433,100,BombsiteA,Magisk,76561197983956651,t,usp_silencer,17293822569145499709,44111836510,"",0,1
false,,,,,,,,,1951.9688,-1.9660645,125.29862,35.0,BombsiteA,kyxsan,76561198057282432,t,false,false,ct,5.8029304,0,111,0,true,head,false,false,0,0,t,false,4483,2009.88,-182.13776,256.97495,87,Balcony,ropz,76561197991272318,ct,glock,17293822569167454212,40738391855,"",0,1
false,2009.88,-182.13776,256.97495,0.0,Balcony,ropz,76561197991272318,ct,2534.0774,1296.3795,160.03125,100.0,Library,ZywOo,76561198113666193,ct,false,false,ct,28.401249,0,35,0,false,stomach,false,false,0,0,t,true,4671,2035.8008,295.66553,160.03125,7,BombsiteA,kyxsan,76561198057282432,t,usp_silencer,17293822569135734845,14293785255,"",0,1
false,234.84087,2526.9094,161.1021,100.0,BombsiteB,flameZ,76561197978835160,ct,619.1772,2660.1545,154.32092,100.0,BombsiteB,apEX,76561197989744167,ct,false,false,ct,15.458334,0,88,0,true,head,false,false,0,0,t,true,12568,926.96814,2136.7507,133.8207,21,Banana,kyxsan,76561198057282432,t,mp9,17293822569134293026,15487622187,"",0,2
false,501.4194,2603.2793,161.53123,100.0,BombsiteB,apEX,76561197989744167,ct,917.8115,2757.4883,134.157,100.0,BombsiteB,mezii,76561197973140692,ct,false,false,ct,13.802443,0,89,0,true,head,false,false,0,0,t,false,12764,700.20795,2267.2537,136.03146,41,Banana,m0NESY,76561198074762801,t,mp9,17293822569177022498,40458558849,"",0,2
false,,,,,,,,,665.84576,2076.9485,138.82689,77.0,Banana,NiKo,76561198041683378,t,false,false,ct,18.43307,5,152,0,true,head,false,false,0,0,t,false,12766,920.70807,2756.379,134.07002,100,BombsiteB,mezii,76561197973140692,ct,deagle,17293822569105129473,5017186386,"",0,2
false,712.08606,2301.5059,136.03146,28.0,Banana,TeSeS,76561197996678278,t,451.0852,2717.1855,193.03125,49.0,BombsiteB,flameZ,76561197978835160,ct,false,false,ct,13.567267,0,89,0,true,head,false,false,0,0,t,false,13083,863.77594,2382.656,140.0843,18,BombsiteB,NiKo,76561198041683378,t,mp9,17293822569149562914,27512960954,"",0,2
false,142.48296,2697.2166,161.53127,33.0,BombsiteB,apEX,76561197989744167,ct,469.7885,2731.2427,193.03125,49.0,BombsiteB,flameZ,76561197978835160,ct,false,false,ct,11.41983,0,91,0,true,head,false,false,0,0,t,false,13131,746.26483,2381.0222,136.03146,42,BombsiteB,Magisk,76561197983956651,t,mp9,17293822569149562914,27512960954,"",0,2
false,136.60036,2721.3333,161.53127,33.0,BombsiteB,apEX,76561197989744167,ct,474.92892,2735.67,193.03125,49.0,BombsiteB,flameZ,76561197978835160,ct,false,false,ct,12.153626,0,8,0,false,generic,false,false,0,0,t,false,13138,810.8342,2399.491,136.03146,6,BombsiteB,TeSeS,76561197996678278,t,inferno,"","","",0,2
