round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1263,4671,4990,ct,t_killed,,not_planted
2,4990,6270,13138,13458,ct,t_killed,,not_planted
3,13458,14738,19768,20088,ct,t_killed,,not_planted
4,20088,21368,27345,27665,ct,t_killed,,not_planted
5,27665,31095,37791,38111,ct,t_killed,,not_planted
6,38111,39391,43326,43646,ct,t_killed,,not_planted
7,43646,44926,51154,51474,t,bomb_exploded,48530,bombsite_b
8,51474,52754,60658,60978,t,bomb_exploded,58034,bombsite_b
9,60978,64815,73217,73537,t,bomb_exploded,70593,bombsite_b
10,73537,74817,82107,82427,t,ct_killed,79484,bombsite_b
11,82427,83707,89618,89938,t,ct_killed,,not_planted
12,89938,91218,97297,97841,t,ct_killed,96326,bombsite_b
13,97841,112649,118440,118760,t,ct_killed,117008,bombsite_b
14,118760,120040,125751,126071,t,bomb_exploded,123127,bombsite_b
15,126071,127351,137231,137551,t,bomb_exploded,134607,bombsite_b
16,137551,138831,146235,146555,t,ct_killed,145697,bombsite_b
17,146555,150505,155726,156046,ct,t_killed,,not_planted
18,156046,157326,163636,163956,t,ct_killed,161920,bombsite_b
19,163956,165236,170136,170456,t,ct_killed,168160,bombsite_b
20,170456,174093,179613,179933,ct,t_killed,,not_planted
21,179933,181213,185320,185640,ct,t_killed,,not_planted
22,185640,186920,191193,191513,ct,t_killed,,not_planted
23,191513,192793,198835,199155,ct,bomb_defused,196384,bombsite_b
24,199155,202419,209589,209589,t,ct_killed,208842,bombsite_b
