round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1265,8976,9296,t,bomb_exploded,6352,bombsite_b
2,9296,10576,17634,17954,t,ct_killed,16934,bombsite_b
3,17954,19234,24480,24800,t,bomb_exploded,21856,bombsite_b
4,24800,26080,35173,35493,t,bomb_exploded,32549,bombsite_b
5,35493,36773,43330,43650,t,bomb_exploded,40706,bombsite_b
6,43650,44930,52796,53116,ct,bomb_defused,51441,bombsite_b
7,53116,54396,59048,59368,ct,t_killed,,not_planted
8,59368,60648,65579,65899,ct,t_killed,,not_planted
9,65899,67179,71201,71521,t,ct_killed,,not_planted
10,71521,75286,81296,81616,ct,t_killed,,not_planted
11,81616,82896,91589,91909,t,ct_killed,89836,bombsite_b
12,91909,93189,99349,99893,t,ct_killed,,not_planted
13,99893,114470,117781,118101,ct,t_killed,,not_planted
14,118101,119381,124987,125307,ct,t_killed,,not_planted
15,125307,126587,131647,131967,t,ct_killed,,not_planted
16,131967,133247,139682,140002,t,ct_killed,,not_planted
17,140002,141282,144967,145287,t,ct_killed,,not_planted
18,145287,146567,153145,153465,t,ct_killed,152805,bombsite_b
19,153465,154745,160667,160987,t,bomb_exploded,158043,bombsite_b
20,160987,164660,173508,173828,t,bomb_exploded,170884,bombsite_b
21,173828,177302,181871,182191,ct,bomb_defused,180455,bombsite_b
22,182191,185950,194598,194918,t,bomb_exploded,191974,bombsite_b
23,194918,196198,203558,203878,ct,time_ran_out,,not_planted
24,203878,205158,209078,209078,ct,t_killed,,not_planted
