assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,991.0769,-205.81769,256.03125,100.0,Apartments,ropz,76561197991272318,ct,false,false,ct,22.944527,0,86,0,true,head,false,false,1,0,t,false,4140,703.0451,638.7522,96.031265,77,Middle,Mzinho,76561198838822582,t,usp_silencer,17293822569135734845,43490047096,"",0,1
false,1837.5127,2825.7666,124.03189,100.0,CTSpawn,apEX,76561197989744167,ct,1069.5895,2732.6572,127.67559,89.0,Ruins,flameZ,76561197978835160,ct,false,false,ct,7.54037,0,132,0,true,head,false,false,0,0,t,true,5512,772.6846,2743.7295,182.57812,55,BombsiteB,Senzu,76561198920720017,t,usp_silencer,17293822569135734845,34768257646,"",0,1
false,,,,,,,,,454.42697,2554.7217,161.53125,75.0,BombsiteB,Techno4K,76561198966340160,t,false,false,ct,10.524607,0,105,0,true,head,false,false,0,0,t,false,5622,37.050808,2546.792,161.03125,99,BombsiteB,ZywOo,76561198113666193,ct,glock,17293822569181872132,43485865435,"",0,1
false,1308.193,2942.9746,128.03183,100.0,Ruins,apEX,76561197989744167,ct,697.5116,2811.058,140.34409,32.0,BombsiteB,bLitz,76561198959824088,t,false,false,ct,3.689532,0,114,0,true,head,false,false,0,0,t,false,5670,837.2299,2767.3176,135.71124,49,BombsiteB,flameZ,76561197978835160,ct,glock,17293822569176104964,31033869469,"",0,1
false,,,,,,,,,503.95758,3109.1848,211.76596,38.0,BombsiteB,910-,76561199203563345,t,false,false,ct,17.387983,0,96,0,true,head,false,false,0,0,t,false,7554,746.53,2474.0857,136.03146,90,BombsiteB,ropz,76561197991272318,ct,glock,17293822569165815812,38786162926,"",0,1
false,,,,,,,,,28.411314,2630.82,161.03125,58.0,BombsiteB,Techno4K,76561198966340160,t,false,false,ct,29.491722,0,20,0,false,chest,false,false,0,0,t,false,7693,703.229,3575.8767,141.03125,15,BombsiteB,apEX,76561197989744167,ct,glock,17293822569181872132,43485865435,"",0,1
false,703.229,3575.8767,141.03125,0.0,BombsiteB,apEX,76561197989744167,ct,645.46844,2946.4426,189.03125,89.0,BombsiteB,mezii,76561197973140692,ct,false,false,ct,15.649612,7,15,0,false,chest,false,false,0,0,t,false,7840,59.12792,2757.316,161.03125,9,BombsiteB,Techno4K,76561198966340160,t,usp_silencer,17293822569121710141,42100201314,"",0,1
false,439.24872,3007.2856,160.9755,38.0,BombsiteB,910-,76561199203563345,t,1.2224305,2976.278,161.03125,32.0,BombsiteB,bLitz,76561198959824088,t,false,false,ct,16.340832,7,15,0,false,chest,false,false,0,0,t,false,7971,646.0088,2970.3938,189.03125,15,BombsiteB,mezii,76561197973140692,ct,usp_silencer,17293822569135734845,34768257646,"",0,1
false,776.3099,2217.7195,191.82812,100.0,Banana,apEX,76561197989744167,ct,604.05853,1917.947,136.03125,58.0,Banana,flameZ,76561197978835160,ct,false,false,ct,7.8357396,4,14,0,false,chest,false,false,0,0,t,false,12143,303.0407,1850.3733,130.75589,13,Banana,Techno4K,76561198966340160,t,mp9,17293822569149562914,27512960954,"",0,2
false,,,,,,,,,443.8071,1931.3865,136.03125,90.0,Banana,mezii,76561197973140692,ct,false,false,ct,7.5868144,4,14,0,false,chest,false,false,0,0,t,false,12741,261.3344,1695.103,117.264946,8,Banana,Senzu,76561198920720017,t,mp9,17293822569177022498,40458558849,"",0,2
false,,,,,,,,,1294.5245,332.7137,129.53125,27.0,Apartments,Mzinho,76561198838822582,t,false,false,ct,4.073675,23,62,0,true,head,false,false,0,0,t,false,13661,1349.3539,181.98383,137.78296,8,TopofMid,ropz,76561197991272318,ct,mac10,17293822569102704657,0,"",0,2
false,1629.8998,1193.8331,177.03125,100.0,Arch,ZywOo,76561198113666193,ct,1315.958,802.7935,141.93636,33.0,TopofMid,flameZ,76561197978835160,ct,false,false,ct,8.943022,4,14,0,false,chest,false,false,0,0,t,false,15079,1311.9827,451.49918,124.29813,6,Middle,bLitz,76561198959824088,t,mp9,17293822569149562914,27512960954,"",0,2
false,,,,,,,,,1602.5896,1208.0112,177.03125,100.0,Arch,ZywOo,76561198113666193,ct,false,false,ct,21.269735,6,72,0,false,chest,false,false,0,0,t,false,15236,1241.0359,456.22165,117.554214,29,Middle,910-,76561199203563345,t,ssg08,17293822569171648552,42099898109,"",0,2
false,1349.3539,181.98383,137.78296,0.0,TopofMid,ropz,76561197991272318,ct,2441.1917,924.5618,166.63206,18.0,BombsiteA,mezii,76561197973140692,ct,false,false,ct,28.867575,15,45,0,true,head,false,false,0,0,t,true,15243,1954.0321,-90.75122,286.57812,16,Balcony,Mzinho,76561198838822582,t,mp9,17293822569177022498,40458558849,"",0,2
false,853.7289,2325.1956,140.0843,67.0,BombsiteB,mezii,76561197973140692,ct,861.10394,2177.8992,136.34631,100.0,Banana,flameZ,76561197978835160,ct,false,false,ct,26.943977,3,26,0,false,chest,false,false,0,0,t,true,19053,85.069115,1463.7843,232.85938,24,Banana,Senzu,76561198920720017,t,ak47,17293822569146941447,43044588581,"",0,3
