round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1266,6723,7043,ct,bomb_defused,4674,bombsite_b
2,7043,8323,12735,13055,ct,bomb_defused,11135,bombsite_b
3,13055,14335,20943,21263,ct,bomb_defused,20119,bombsite_b
4,21263,22543,26867,27187,ct,t_killed,,not_planted
5,27187,28467,31164,31484,ct,t_killed,,not_planted
6,31484,34814,39823,40143,ct,t_killed,,not_planted
7,40143,41423,47995,48315,ct,t_killed,,not_planted
8,48315,49595,57948,58268,t,ct_killed,56234,bombsite_b
9,58268,61490,71316,71636,t,bomb_exploded,68692,bombsite_b
10,71636,72916,79299,79619,t,ct_killed,78314,bombsite_b
11,79619,80899,84865,85185,t,ct_killed,,not_planted
12,85185,88450,93233,93777,ct,t_killed,,not_planted
13,93777,108201,112609,112929,t,ct_killed,111166,bombsite_b
14,112929,114209,119505,119825,t,ct_killed,,not_planted
15,119825,121105,125562,125882,t,ct_killed,,not_planted
16,125882,127162,134915,135235,t,bomb_exploded,132291,bombsite_b
17,135235,136515,138649,138969,ct,t_killed,,not_planted
18,138969,142190,149550,149870,ct,time_ran_out,,not_planted
19,149870,151150,154817,155137,ct,t_killed,,not_planted
20,155137,156417,163111,163111,t,ct_killed,161563,bombsite_b
