round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1263,4265,4585,t,ct_killed,3308,bombsite_b
2,4585,5865,14563,14883,t,bomb_exploded,11939,bombsite_b
3,14883,16163,22746,23066,ct,t_killed,,not_planted
4,23066,24346,30751,31071,t,ct_killed,28136,bombsite_b
5,31071,32351,38890,39210,t,bomb_exploded,36266,bombsite_b
6,39210,40490,45666,45986,t,ct_killed,,not_planted
7,45986,49241,56601,56921,ct,time_ran_out,,not_planted
8,56921,61305,67711,68031,ct,t_killed,,not_planted
9,68031,69311,73347,73667,t,ct_killed,,not_planted
10,73667,77257,85072,85392,ct,bomb_defused,83698,bombsite_b
11,85392,88721,91503,91823,ct,t_killed,,not_planted
12,91823,93103,96287,96831,t,ct_killed,95988,bombsite_b
13,96831,111633,117572,117892,t,bomb_exploded,114948,bombsite_b
14,117892,119172,124721,125041,t,bomb_exploded,122097,bombsite_b
15,125041,126321,129107,129427,t,ct_killed,128627,bombsite_b
16,129427,130707,136627,136947,ct,bomb_defused,134767,bombsite_b
17,136947,138227,145633,145953,ct,bomb_defused,143361,bombsite_b
18,145953,147233,154877,155197,ct,bomb_defused,152377,bombsite_b
19,155197,158983,165549,165869,t,ct_killed,164073,bombsite_b
20,165869,167149,176025,176345,t,bomb_exploded,173401,bombsite_b
21,176345,177625,184067,184387,t,ct_killed,183362,bombsite_b
22,184387,188437,195797,196117,ct,time_ran_out,,not_planted
23,196117,197397,205217,205537,t,bomb_exploded,202593,bombsite_b
24,205537,206817,214832,214832,t,ct_killed,213118,bombsite_b
